"Setting_Name","Alert_Recipient_Emails","Low_Stock_Threshold_Percent","Alerts_Enabled","Request_Notifications_Enabled","Critical_Complaint_Notifications_Enabled"
"Low Stock Alerts","inventory@zylker.com,warehouse@zylker.com","20.00","true","true","true"
"Asset Request Alerts","assets@zylker.com,approvals@zylker.com","25.00","true","true","false"
"Critical Complaint Alerts","support@zylker.com,quality@zylker.com","15.00","true","false","true"
"Warehouse Operations Alerts","warehouse@zylker.com,operations@zylker.com","30.00","true","true","true"
"IT Equipment Alerts","it.support@zylker.com,technology@zylker.com","18.50","true","true","true"
"Facilities Asset Alerts","facilities@zylker.com,maintenance@zylker.com","22.00","true","true","false"
"Safety Equipment Alerts","safety@zylker.com,compliance@zylker.com","35.00","true","false","true"
"Medical Equipment Alerts","health.services@zylker.com,procurement@zylker.com","28.00","true","true","true"
"Vehicle Fleet Alerts","fleet@zylker.com,transport@zylker.com","16.00","true","true","false"
"Office Supply Alerts","office.admin@zylker.com,purchasing@zylker.com","40.00","true","true","false"
"Security Equipment Alerts","security@zylker.com,risk@zylker.com","12.50","true","false","true"
"Laboratory Asset Alerts","laboratory@zylker.com,research@zylker.com","24.00","true","true","true"
"Audio Visual Alerts","av.support@zylker.com,events@zylker.com","26.00","true","true","false"
"Network Hardware Alerts","network@zylker.com,it.operations@zylker.com","14.00","true","true","true"
"Mobile Device Alerts","mobility@zylker.com,helpdesk@zylker.com","19.00","true","true","false"
"Furniture Inventory Alerts","facilities@zylker.com,office.admin@zylker.com","32.00","false","true","false"
"Power Equipment Alerts","engineering@zylker.com,maintenance@zylker.com","21.00","true","true","true"
"Training Equipment Alerts","training@zylker.com,human.resources@zylker.com","38.00","false","true","false"
"Kitchen Equipment Alerts","hospitality@zylker.com,facilities@zylker.com","27.50","true","true","false"
"Printing Equipment Alerts","print.services@zylker.com,it.support@zylker.com","17.00","true","false","false"
"Remote Work Asset Alerts","remote.work@zylker.com,technology@zylker.com","23.00","true","true","true"
"Calibration Due Alerts","calibration@zylker.com,quality@zylker.com","10.00","true","false","true"
"Warranty Expiration Alerts","warranty@zylker.com,procurement@zylker.com","45.00","true","true","false"
"Asset Disposal Alerts","disposals@zylker.com,compliance@zylker.com","50.00","false","true","true"
"Executive Asset Alerts","executive.support@zylker.com,security@zylker.com","8.00","true","true","true"
