"Parent_Logistics_Booking","Logistics_Booking_Product","Purchase_Order","Purchase_Order_Product","Product","Product_ID","Product_Name","Manufacturer_Part_Number","Brand_Make","Model","Configuration","Serial_Number","Received_Quantity","Inspected_Quantity","Accepted_Quantity","Rejected_Quantity","Quality_Result","Defect_Details","Inspection_Remarks"
"1","Dell PowerEdge R760 Rack Server","1","Dell PowerEdge R760 Rack Server","Dell PowerEdge R760 Rack Server","1","Dell PowerEdge R760 Rack Server","PER760-8SFF","Dell Technologies","PowerEdge R760","2 x Xeon Gold CPUs; 256 GB RAM; 4 x 1.92 TB SSD; dual 1100 W PSU","DLR760-26090101,DLR760-26090102","2.00","2.00","2.00","0.00","Passed","No defects detected during packaging, configuration, and serial number verification.","Both servers passed visual inspection and configuration validation."
"2","HPE ProLiant ML350 Gen11","2","HPE ProLiant ML350 Gen11","HPE ProLiant ML350 Gen11","2","HPE ProLiant ML350 Gen11","P53567-B21","HPE","ProLiant ML350 Gen11","1 x Xeon Silver CPU; 128 GB RAM; 4 x 2.4 TB SAS; redundant 800 W PSU","HPEML350-26090201,HPEML350-26090202,HPEML350-26090203","3.00","3.00","3.00","0.00","Passed","No chassis, storage, memory, or accessory defects were identified.","All three tower servers matched the approved specifications."
"3","Lenovo ThinkSystem SN550 V2","3","Lenovo ThinkSystem SN550 V2","Lenovo ThinkSystem SN550 V2","3","Lenovo ThinkSystem SN550 V2","7Z69A01XEA","Lenovo","ThinkSystem SN550 V2","2 x Xeon Silver CPUs; 256 GB RAM; RAID 1 boot drives","LSN550-26090301,LSN550-26090302,LSN550-26090303,LSN550-26090304","4.00","4.00","4.00","0.00","Passed","No physical damage or configuration discrepancies were found.","Blade servers passed boot drive, memory, and documentation checks."
"4","Dell Precision 7960 Workstation","4","Dell Precision 7960 Workstation","Dell Precision 7960 Workstation","4","Dell Precision 7960 Workstation","PREC7960-CTO","Dell Technologies","Precision 7960 Tower","Xeon W processor; 128 GB ECC RAM; RTX 5000 GPU; 2 TB NVMe SSD","DP7960-26090401,DP7960-26090402","2.00","2.00","2.00","0.00","Passed","No chassis damage, display artifacts, or component discrepancies were detected.","Both workstations passed startup and hardware configuration tests."
"5","Cisco Catalyst 8300 Edge Router","5","Cisco Catalyst 8300 Edge Router","Cisco Catalyst 8300 Edge Router","5","Cisco Catalyst 8300 Edge Router","C8300-1N1S-6T","Cisco","Catalyst C8300-1N1S-6T","Base chassis; DNA Essentials license; dual AC power supplies","C8300-26090501,C8300-26090502,C8300-26090503","3.00","3.00","3.00","0.00","Passed","No defects were found in the three units received; one ordered unit remains outstanding.","Received routers passed power-on, model, and accessory verification."
"6","Aruba CX 6300M Network Switch","6","Aruba CX 6300M Network Switch","Aruba CX 6300M Network Switch","6","Aruba CX 6300M Network Switch","JL663A","Aruba","CX 6300M 48G","48-port chassis; dual power supplies; advanced feature license","ACX6300-26090601,ACX6300-26090602,ACX6300-26090603,ACX6300-26090604","4.00","4.00","4.00","0.00","Passed","No port, chassis, power supply, or accessory defects were detected.","All switches passed power-on and port status inspection."
"7","Fortinet FortiGate 200F Firewall","7","Fortinet FortiGate 200F Firewall","Fortinet FortiGate 200F Firewall","7","Fortinet FortiGate 200F Firewall","FG-200F-BDL-950-36","Fortinet","FortiGate 200F","Appliance; three-year unified threat protection subscription; rack kit","FG200F-26090701,FG200F-26090702,FG200F-26090703","3.00","3.00","3.00","0.00","Passed","No physical, licensing, or accessory defects were identified.","All appliances passed startup, firmware, and subscription checks."
"8","Ubiquiti UniFi U6 Enterprise","8","Ubiquiti UniFi U6 Enterprise","Ubiquiti UniFi U6 Enterprise","8","Ubiquiti UniFi U6 Enterprise","U6-ENTERPRISE","Ubiquiti","U6 Enterprise","Access point; mounting kit; PoE+ injector sold separately","U6E-26090801 through U6E-26090815","15.00","15.00","15.00","0.00","Passed","No enclosure, radio startup, or mounting kit defects were found.","All access points passed PoE startup and model verification."
"9","Cisco Catalyst 9800-L Controller","9","Cisco Catalyst 9800-L Controller","Cisco Catalyst 9800-L Controller","9","Cisco Catalyst 9800-L Controller","C9800-L-F-K9","Cisco","Catalyst 9800-L-F","Controller appliance; Network Essentials license; rack mounting kit","C9800L-26090901","1.00","1.00","1.00","0.00","Passed","No defect was found in the received controller; the second ordered unit remains pending.","Received controller passed power-on, licensing, and accessory checks."
"10","F5 BIG-IP i2600 Load Balancer","10","F5 BIG-IP i2600 Load Balancer","F5 BIG-IP i2600 Load Balancer","10","F5 BIG-IP i2600 Load Balancer","F5-BIG-LTM-I2600","F5 Networks","BIG-IP i2600","Local Traffic Manager license; dual PSU; one-year support","F5I2600-26091001,F5I2600-26091002","2.00","2.00","2.00","0.00","Passed","No chassis, power supply, interface, or license defects were detected.","Both load balancers passed startup and licensing validation."
"11","Dell PowerVault ME5024 Array","11","Dell PowerVault ME5024 Array","Dell PowerVault ME5024 Array","11","Dell PowerVault ME5024 Array","ME5024-24SFF","Dell Technologies","PowerVault ME5024","12 x 3.84 TB SSD; dual FC controllers; rack rails","ME5024-26091101","1.00","1.00","1.00","0.00","Passed","No enclosure, controller, drive, or rail kit defects were identified.","Storage array passed controller health and installed drive verification."
"12","Synology RackStation RS3621RPxs","12","Synology RackStation RS3621RPxs","Synology RackStation RS3621RPxs","12","Synology RackStation RS3621RPxs","RS3621RPXS","Synology","RackStation RS3621RPxs","12-bay chassis; 32 GB ECC RAM; rail kit; disks sold separately","SRS3621-26091201,SRS3621-26091202","2.00","2.00","2.00","0.00","Passed","No enclosure, memory, power supply, or rail defects were found.","Both NAS units passed startup and redundant power checks."
"13","HPE MSA 2062 SAN Storage","13","HPE MSA 2062 SAN Storage","HPE MSA 2062 SAN Storage","13","HPE MSA 2062 SAN Storage","R0Q80B","HPE","MSA 2062","Dual FC controllers; 2 x 1.92 TB SSD; rail kit; management software","Pending supplier allocation","0.00","0.00","0.00","0.00","Partially Passed","No SAN units were available for defect assessment because the products remain backordered.","Quality inspection remains pending until both SAN units are received."
"14","Seagate Exos X20 20TB Drive","14","Seagate Exos X20 20TB Drive","Seagate Exos X20 20TB Drive","14","Seagate Exos X20 20TB Drive","ST20000NM007D","Seagate","Exos X20","Single enterprise drive with standard sector format","EX20-26091401 through EX20-26091420","20.00","20.00","19.00","1.00","Partially Passed","Drive EX20-26091417 had a damaged SATA connector and failed interface testing.","Nineteen drives passed capacity and diagnostic checks; one was rejected."
"15","Samsung PM9A3 3.84TB SSD","15","Samsung PM9A3 3.84TB SSD","Samsung PM9A3 3.84TB SSD","15","Samsung PM9A3 3.84TB SSD","MZQL23T8HCLS-00A07","Samsung","PM9A3","Single U.2 NVMe drive with enterprise firmware","Pending warehouse receipt","0.00","0.00","0.00","0.00","Partially Passed","No defect assessment has been completed because the shipment has not arrived.","Inspection will begin after serial numbers are captured at receiving."
"16","Intel Xeon Gold 6430 Processor","16","Intel Xeon Gold 6430 Processor","Intel Xeon Gold 6430 Processor","16","Intel Xeon Gold 6430 Processor","PK8071305121001","Intel","Xeon Gold 6430","Retail processor; compatible heatsink required","Pending staged delivery","0.00","0.00","0.00","0.00","Partially Passed","Processors have not been received and cannot yet be inspected for damage or authenticity.","Quality review is pending completion of the staged delivery."
"17","Kingston Server Premier 64GB Memory","17","Kingston Server Premier 64GB Memory","Kingston Server Premier 64GB Memory","17","Kingston Server Premier 64GB Memory","KSM48R40BD4TMM-64HMR","Kingston","Server Premier DDR5-4800","Single 64 GB RDIMM module","Pending carrier collection","0.00","0.00","0.00","0.00","Partially Passed","No memory modules have been received for physical or diagnostic testing.","Inspection will verify serials, capacity, speed, and ECC registration."
"18","Supermicro X13DEI Motherboard","18","Supermicro X13DEI Motherboard","Supermicro X13DEI Motherboard","18","Supermicro X13DEI Motherboard","MBD-X13DEI-O","Supermicro","X13DEI","Motherboard; I/O shield; driver media; user guide","Pending supplier confirmation","0.00","0.00","0.00","0.00","Partially Passed","Motherboards remain unavailable for socket, connector, and accessory inspection.","Quality check is pending confirmation of complete product availability."
"19","Seasonic Prime TX-1300 Power Supply","19","Seasonic Prime TX-1300 Power Supply","Seasonic Prime TX-1300 Power Supply","19","Seasonic Prime TX-1300 Power Supply","SSR-1300TR","Seasonic","Prime TX-1300","Power supply; modular cable set; AC power cord","Pending warehouse arrival","0.00","0.00","0.00","0.00","Partially Passed","No power supplies have arrived for enclosure, cable, or electrical testing.","Inspection remains pending while the main consignment is in transit."
"20","Broadcom MegaRAID 9560-16i","20","Broadcom MegaRAID 9560-16i","Broadcom MegaRAID 9560-16i","20","Broadcom MegaRAID 9560-16i","05-50077-00","Broadcom","MegaRAID 9560-16i","Controller card; cache protection module; internal cables","Pending carrier delivery","0.00","0.00","0.00","0.00","Partially Passed","RAID controllers and cache protection modules are not yet available for inspection.","Serial, accessory, and firmware checks will follow warehouse receipt."
"21","Intel Ethernet Network Adapter E810","21","Intel Ethernet Network Adapter E810","Intel Ethernet Network Adapter E810","21","Intel Ethernet Network Adapter E810","E810XXVDA2BLK","Intel","E810-XXVDA2","Adapter card; low-profile bracket; driver download access","Pending final delivery","0.00","0.00","0.00","0.00","Partially Passed","Network adapters have not arrived for port, firmware, and bracket verification.","Quality inspection is awaiting delivery and quantity confirmation."
"22","NVIDIA RTX 5000 Ada Graphics Card","22","NVIDIA RTX 5000 Ada Graphics Card","NVIDIA RTX 5000 Ada Graphics Card","22","NVIDIA RTX 5000 Ada Graphics Card","900-5G132-2500-000","NVIDIA","RTX 5000 Ada","Graphics card; power adapter; support documentation","Pending security inspection","0.00","0.00","0.00","0.00","Partially Passed","Graphics cards remain in transit and have not undergone tamper seal or diagnostic checks.","Inspection will include serial, memory, display output, and accessory validation."
"23","Cisco 100G QSFP28 Transceiver","23","Cisco 100G QSFP28 Transceiver","Cisco 100G QSFP28 Transceiver","23","Cisco 100G QSFP28 Transceiver","QSFP-100G-SR4-S","Cisco","QSFP-100G-SR4-S","Single hot-swappable optical transceiver","Pending manufacturer allocation","0.00","0.00","0.00","0.00","Partially Passed","Transceivers remain unallocated and are unavailable for optical diagnostics.","Quality review will begin after the provisional booking is fulfilled."
"24","FS 10GBASE-SR SFP Plus Module","24","FS 10GBASE-SR SFP Plus Module","FS 10GBASE-SR SFP Plus Module","24","FS 10GBASE-SR SFP Plus Module","SFP-10GSR-85","FS","SFP-10GSR-85","Single vendor-compatible SFP Plus module","Pending staged consignment","0.00","0.00","0.00","0.00","Partially Passed","No modules have been received for coding, connector, and optical power testing.","Inspection is pending arrival of the first staged consignment."
"25","APC Smart-UPS SRT 3000VA","25","APC Smart-UPS SRT 3000VA","APC Smart-UPS SRT 3000VA","25","APC Smart-UPS SRT 3000VA","SRT3000XLI","APC","Smart-UPS SRT3000XLI","UPS unit; rack mounting rails; network management card; power cables","Pending carrier release","0.00","0.00","0.00","0.00","Partially Passed","UPS units are not yet available for enclosure, battery, and power-on testing.","Quality inspection will follow final configuration review and delivery."
