"Manifest_Number","Manifest_Type","Origin_Hub","Destination_Hub","Route","Vehicle","Driver","Vehicle_Seal_Code","Departure_Time","Expected_Arrival_Time","Actual_Arrival_Time","Manifest_Status","Total_Bags","Total_Shipments","Total_Weight_Kg","Manifest_Barcode","Created_By_Email","Notes"
"1","Feeder","Milwaukee Collection Center","Chicago Central Sorting Hub","","WI-MKE-1018","","VSC-MKE-0801-A1","01-Aug-2026 14:30:00","01-Aug-2026 16:45:00","","Draft","0","0","0","MNF-20260801-0001","natalie.brooks@zylker.com","Draft feeder movement for consolidating Milwaukee collections at the Chicago sorting hub."
"2","Feeder","Marietta Collection Center","Atlanta Southeast Sorting Hub","","GA-MAR-1020","","VSC-MAR-0803-B2","03-Aug-2026 15:10:00","03-Aug-2026 17:05:00","","Draft","0","0","0","MNF-20260803-0002","natalie.brooks@zylker.com","Planned afternoon feeder from Marietta to its parent Atlanta sorting hub."
"3","Feeder","Aurora Collection Center","Denver Mountain Sorting Hub","","CO-AUR-1025","","VSC-AUR-0805-C3","05-Aug-2026 14:20:00","05-Aug-2026 16:00:00","","Draft","0","0","0","MNF-20260805-0003","natalie.brooks@zylker.com","Aurora feeder draft prepared for transfer to the Denver sorting operation."
"4","Linehaul","Los Angeles Metro Sorting Hub","San Francisco Bay Sorting Hub","Los Angeles to San Francisco Surface Linehaul","CA-LA-1001","","VSC-LAX-0807-D4","07-Aug-2026 20:00:00","08-Aug-2026 06:30:00","","Draft","0","0","0","MNF-20260807-0004","natalie.brooks@zylker.com","Overnight surface linehaul planned for the Los Angeles to San Francisco corridor."
"5","Linehaul","Dallas Fort Worth Sorting Hub","Chicago Central Sorting Hub","Dallas to Chicago Surface Linehaul","TX-DFW-1004","","VSC-DFW-0809-E5","09-Aug-2026 19:30:00","10-Aug-2026 19:00:00","","Draft","0","0","0","MNF-20260809-0005","natalie.brooks@zylker.com","Draft central corridor linehaul with an overnight transit plan to Chicago."
"6","Linehaul","Atlanta Southeast Sorting Hub","Miami South Florida Sorting Hub","Atlanta to Miami Air Express","GA-ATL-1006","","VSC-ATL-0811-F6","11-Aug-2026 18:15:00","11-Aug-2026 21:15:00","","Draft","0","0","0","MNF-20260811-0006","natalie.brooks@zylker.com","Air-supported express movement planned from Atlanta to Miami."
"7","Linehaul","New York Gateway Sorting Hub","Boston New England Sorting Hub","New York to Boston Surface Shuttle","NJ-NYG-1008","","VSC-NYG-0813-G7","13-Aug-2026 16:30:00","13-Aug-2026 23:00:00","","Draft","0","0","0","MNF-20260813-0007","natalie.brooks@zylker.com","Regional surface shuttle draft for New York Gateway freight bound for Boston."
"8","Linehaul","Denver Mountain Sorting Hub","Los Angeles Metro Sorting Hub","Denver to Los Angeles Surface Linehaul","CO-DEN-1010","","VSC-DEN-0815-H8","15-Aug-2026 18:00:00","16-Aug-2026 19:30:00","","Draft","0","0","0","MNF-20260815-0008","natalie.brooks@zylker.com","Westbound surface linehaul planned from Denver to Los Angeles."
"9","Delivery Feeder","Seattle Northwest Sorting Hub","Tacoma Collection Center","","WA-SEA-1003","","VSC-SEA-0817-J9","17-Aug-2026 06:15:00","17-Aug-2026 08:10:00","","Draft","0","0","0","MNF-20260817-0009","natalie.brooks@zylker.com","Morning delivery feeder draft for Tacoma-bound consignments."
"10","Delivery Feeder","Atlanta Southeast Sorting Hub","Marietta Collection Center","","GA-ATL-1006","","VSC-ATL-0819-K1","19-Aug-2026 06:30:00","19-Aug-2026 08:00:00","","Draft","0","0","0","MNF-20260819-0010","natalie.brooks@zylker.com","Local delivery feeder planned from Atlanta sorting to Marietta."
"11","Delivery Feeder","Miami South Florida Sorting Hub","Fort Lauderdale Collection Center","","FL-MIA-1007","","VSC-MIA-0821-L2","21-Aug-2026 07:00:00","21-Aug-2026 08:45:00","","Draft","0","0","0","MNF-20260821-0011","natalie.brooks@zylker.com","South Florida delivery feeder draft for Fort Lauderdale processing."
"12","Delivery Feeder","Los Angeles Metro Sorting Hub","Long Beach Collection Center","","CA-LA-1001","","VSC-LAX-0823-M3","23-Aug-2026 05:45:00","23-Aug-2026 07:15:00","","Draft","0","0","0","MNF-20260823-0012","natalie.brooks@zylker.com","Early delivery feeder planned for Long Beach destination shipments."
"13","Delivery Feeder","Dallas Fort Worth Sorting Hub","Fort Worth Collection Center","","TX-DFW-1004","","VSC-DFW-0824-N4","24-Aug-2026 06:00:00","24-Aug-2026 07:40:00","","Draft","0","0","0","MNF-20260824-0013","natalie.brooks@zylker.com","Fort Worth delivery feeder awaiting bag and shipment allocation."
"14","Delivery Feeder","New York Gateway Sorting Hub","Newark Collection Center","","NJ-NYG-1008","","VSC-NYG-0825-P5","25-Aug-2026 05:30:00","25-Aug-2026 06:45:00","","Draft","0","0","0","MNF-20260825-0014","natalie.brooks@zylker.com","Short-haul delivery feeder prepared for the Newark collection center."
"15","Delivery Feeder","New York Gateway Sorting Hub","Brooklyn Collection Center","","NJ-NYG-1008","","VSC-NYG-0826-Q6","26-Aug-2026 06:10:00","26-Aug-2026 08:00:00","","Draft","0","0","0","MNF-20260826-0015","natalie.brooks@zylker.com","Brooklyn delivery feeder draft for morning destination processing."
"16","Delivery Feeder","Denver Mountain Sorting Hub","Aurora Collection Center","","CO-DEN-1010","","VSC-DEN-0827-R7","27-Aug-2026 06:20:00","27-Aug-2026 07:35:00","","Draft","0","0","0","MNF-20260827-0016","natalie.brooks@zylker.com","Local feeder planned for transferring Denver shipments to Aurora."
"17","Return","Milwaukee Collection Center","Chicago Central Sorting Hub","","WI-MKE-1018","","VSC-MKE-0827-S8","27-Aug-2026 15:00:00","27-Aug-2026 17:30:00","","Draft","0","0","0","MNF-20260827-0017","natalie.brooks@zylker.com","Reverse logistics draft for approved Milwaukee customer returns."
"18","Return","Marietta Collection Center","Atlanta Southeast Sorting Hub","","GA-MAR-1020","","VSC-MAR-0828-T9","28-Aug-2026 14:45:00","28-Aug-2026 16:30:00","","Draft","0","0","0","MNF-20260828-0018","natalie.brooks@zylker.com","Return movement planned from Marietta to Atlanta for reconciliation."
"19","Return","Aurora Collection Center","Denver Mountain Sorting Hub","","CO-AUR-1025","","VSC-AUR-0828-U1","28-Aug-2026 15:20:00","28-Aug-2026 17:00:00","","Draft","0","0","0","MNF-20260828-0019","natalie.brooks@zylker.com","Aurora reverse logistics transfer prepared for Denver processing."
"20","Return","Los Angeles Metro Sorting Hub","Pasadena Collection Center","","CA-LA-1001","","VSC-LAX-0829-V2","29-Aug-2026 09:15:00","29-Aug-2026 10:45:00","","Draft","0","0","0","MNF-20260829-0020","natalie.brooks@zylker.com","Controlled return transfer planned from Los Angeles to Pasadena."
"21","Linehaul","Dallas Fort Worth Sorting Hub","Denver Mountain Sorting Hub","Dallas to Denver Surface Linehaul","TX-DFW-1004","","VSC-DFW-0829-W3","29-Aug-2026 18:30:00","30-Aug-2026 14:30:00","","Draft","0","0","0","MNF-20260829-0021","natalie.brooks@zylker.com","Surface linehaul draft for freight moving from Dallas to Denver."
"22","Linehaul","Denver Mountain Sorting Hub","Los Angeles Metro Sorting Hub","Denver to Los Angeles Surface Linehaul","CO-DEN-1010","","VSC-DEN-0830-X4","30-Aug-2026 17:00:00","31-Aug-2026 18:30:00","","Draft","0","0","0","MNF-20260830-0022","natalie.brooks@zylker.com","Month-end westbound surface movement planned for Los Angeles."
"23","Delivery Feeder","New York Gateway Sorting Hub","Brooklyn Collection Center","","NJ-NYG-1008","","VSC-NYG-0831-Y5","31-Aug-2026 07:15:00","31-Aug-2026 09:00:00","","Draft","0","0","0","MNF-20260831-0023","natalie.brooks@zylker.com","Same-day Brooklyn delivery feeder awaiting final custody scans."
"24","Feeder","Marietta Collection Center","Atlanta Southeast Sorting Hub","","GA-MAR-1020","","VSC-MAR-0831-Z6","31-Aug-2026 14:30:00","31-Aug-2026 16:20:00","","Draft","0","0","0","MNF-20260831-0024","natalie.brooks@zylker.com","End-of-month Marietta feeder prepared for Atlanta consolidation."
