"Vehicle_Number","Vehicle_Type","Transport_Mode","Status","Active","Owning_Hub","Capacity_Kg","Assigned_Driver","Registration_Expiry","Insurance_Expiry"
"CA-LA-1001","Linehaul Truck","Surface","Available","true","Los Angeles Metro Sorting Hub","12000.00","","31-Aug-2026","31-Aug-2026"
"CA-SF-1002","Linehaul Truck","Surface","Maintenance","false","San Francisco Bay Sorting Hub","11500.00","","12-Aug-2026","18-Aug-2026"
"WA-SEA-1003","Feeder Truck","Local","Available","true","Seattle Northwest Sorting Hub","4800.00","","31-Aug-2026","31-Aug-2026"
"TX-DFW-1004","Linehaul Truck","Surface","Available","true","Dallas Fort Worth Sorting Hub","14500.00","","31-Aug-2026","31-Aug-2026"
"IL-CHI-1005","Linehaul Truck","Surface","Maintenance","false","Chicago Central Sorting Hub","13800.00","","08-Aug-2026","15-Aug-2026"
"GA-ATL-1006","Feeder Truck","Air Support","Available","true","Atlanta Southeast Sorting Hub","6200.00","","31-Aug-2026","31-Aug-2026"
"FL-MIA-1007","Van","Local","Available","true","Miami South Florida Sorting Hub","1100.00","","31-Aug-2026","31-Aug-2026"
"NJ-NYG-1008","Linehaul Truck","Surface","Available","true","New York Gateway Sorting Hub","15200.00","","31-Aug-2026","31-Aug-2026"
"MA-BOS-1009","Feeder Truck","Air Support","Maintenance","false","Boston New England Sorting Hub","5400.00","","19-Aug-2026","22-Aug-2026"
"CO-DEN-1010","Linehaul Truck","Surface","Available","true","Denver Mountain Sorting Hub","12600.00","","31-Aug-2026","31-Aug-2026"
"CA-LB-1011","Van","Local","Assigned","true","Long Beach Collection Center","850.00","Brianna","31-Aug-2026","31-Aug-2026"
"CA-PAS-1012","Bike","Local","Assigned","true","Pasadena Collection Center","180.00","Tyler","31-Aug-2026","31-Aug-2026"
"CA-OAK-1013","Van","Local","Assigned","true","Oakland Collection Center","720.00","Jason","31-Aug-2026","31-Aug-2026"
"CA-SJ-1014","Feeder Truck","Local","Assigned","true","San Jose Collection Center","1250.00","Danielle","31-Aug-2026","31-Aug-2026"
"WA-TAC-1015","Van","Local","Assigned","true","Tacoma Collection Center","680.00","Samantha","31-Aug-2026","31-Aug-2026"
"TX-FW-1016","Feeder Truck","Local","Assigned","true","Fort Worth Collection Center","1450.00","Justin","31-Aug-2026","31-Aug-2026"
"TX-PLN-1017","Van","Local","Inactive","false","Plano Collection Center","900.00","","05-Aug-2026","09-Aug-2026"
"WI-MKE-1018","Van","Local","Available","true","Milwaukee Collection Center","760.00","","31-Aug-2026","31-Aug-2026"
"IL-NAP-1019","Bike","Local","Maintenance","false","Naperville Collection Center","200.00","","14-Aug-2026","21-Aug-2026"
"GA-MAR-1020","Feeder Truck","Local","Available","true","Marietta Collection Center","1350.00","","31-Aug-2026","31-Aug-2026"
"FL-FTL-1021","Van","Local","Assigned","true","Fort Lauderdale Collection Center","780.00","Cameron","31-Aug-2026","31-Aug-2026"
"NJ-NWK-1022","Feeder Truck","Local","Assigned","true","Newark Collection Center","1325.00","Vanessa","31-Aug-2026","31-Aug-2026"
"NY-BRK-1023","Bike","Local","Assigned","true","Brooklyn Collection Center","220.00","Rebecca","31-Aug-2026","31-Aug-2026"
"RI-PVD-1024","Van","Local","Inactive","false","Providence Collection Center","700.00","","11-Aug-2026","17-Aug-2026"
"CO-AUR-1025","Other","Air Support","Available","true","Aurora Collection Center","950.00","","31-Aug-2026","31-Aug-2026"
