"Remittance_Number","Delivery_Run_Sheet","Agent","Hub","Remittance_Date","Expected_Amount","Submitted_Amount","Shortfall_Amount","Remittance_Status","Cashier_Email","Confirmed_At","Customer_Payout_Due_Date","Notes"
"1","4","OPS016","Fort Worth Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Zero-COD administrative run submitted for finance review."
"2","12","OPS020","Fort Lauderdale Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Completed route had no eligible COD deliveries."
"3","20","OPS021","Newark Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Standby industrial route closed without COD collections."
"4","25","OPS025","Brooklyn Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","End-of-month standby run produced no COD proceeds."
"5","4","OPS016","Fort Worth Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","No cash was expected or submitted for this completed run."
"6","12","OPS020","Fort Lauderdale Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Zero-value remittance awaiting routine finance verification."
"7","20","OPS021","Newark Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","No delivered COD shipments were assigned to the run."
"8","25","OPS025","Brooklyn Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Administrative remittance created after run completion."
"9","4","OPS016","Fort Worth Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Completed test run recorded with a zero cash balance."
"10","12","OPS020","Fort Lauderdale Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Route reconciliation confirmed no COD amount was due."
"11","20","OPS021","Newark Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","No eligible delivery stops generated COD collections."
"12","25","OPS025","Brooklyn Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Zero-COD run remittance queued for cashier review."
"13","4","OPS016","Fort Worth Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Expected and submitted cash balances both reconcile to zero."
"14","12","OPS020","Fort Lauderdale Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","No customer cash was collected during the completed route."
"15","20","OPS021","Newark Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Industrial standby run completed with no COD activity."
"16","25","OPS025","Brooklyn Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Run closed without allocated shipments or cash receipts."
"17","4","OPS016","Fort Worth Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Zero-value evidence record retained for route reconciliation."
"18","12","OPS020","Fort Lauderdale Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","No COD proceeds were payable from this completed run."
"19","20","OPS021","Newark Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Cash submission correctly reflects the zero expected amount."
"20","25","OPS025","Brooklyn Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Month-end route reconciliation found no COD transactions."
"21","4","OPS016","Fort Worth Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Administrative completion generated a zero-dollar remittance."
"22","12","OPS020","Fort Lauderdale Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Completed route contained no delivered COD consignments."
"23","20","OPS021","Newark Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","No shortfall exists because expected cash was zero."
"24","25","OPS025","Brooklyn Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Standby delivery run requires only routine zero-balance review."
"25","4","OPS016","Fort Worth Collection Center","31-Aug-2026","0.00","0.00","0.00","Pending","","","","Final zero-COD reconciliation entry for the completed test run."
