"Asset_Tag","Serial_Number","Asset_Category","Purchase_Date","Purchase_Cost","Vendor","Warranty_Expiry","Asset_Status","Assigned_To_Email","Assigned_Date","Notes","Last_Transaction_Time"
"AST-2026-001","DL7450-8K2M4101","Business Laptops","01-Aug-2026","1649.00","Dell Technologies","29-Aug-2026","Available","","","Latitude laptop received with docking adapter and power supply.","01-Aug-2026 09:15:00"
"AST-2026-002","HPZ2G9-7P4N2202","Desktop Workstations","02-Aug-2026","2195.50","HP Enterprise Sales","30-Aug-2026","Available","","","Engineering workstation registered after delivery inspection.","02-Aug-2026 11:40:00"
"AST-2026-003","SMS6-27-6R8T3303","LED Monitors","03-Aug-2026","429.99","Samsung Business","31-Aug-2026","Available","","","Twenty-seven-inch monitor supplied with stand and display cable.","03-Aug-2026 14:20:00"
"AST-2026-004","CS9200L-5X1A4404","Network Switches","04-Aug-2026","3890.00","Cisco Systems","31-Aug-2026","Available","","","Managed switch received for the network infrastructure reserve.","04-Aug-2026 10:05:00"
"AST-2026-005","CS9164-9W3B5505","Wireless Access Points","05-Aug-2026","1275.00","Cisco Systems","31-Aug-2026","Available","","","Wireless access point awaiting scheduled site deployment.","05-Aug-2026 15:35:00"
"AST-2026-006","CNC3935-4D7C6606","Multifunction Printers","06-Aug-2026","6840.75","Canon Solutions America","31-Aug-2026","Available","","","Multifunction printer passed receiving and power-on checks.","06-Aug-2026 16:10:00"
"AST-2026-007","AP16-3F9E7707","Company Smartphones","07-Aug-2026","1099.00","Apple Business","30-Aug-2026","Available","","","Managed smartphone remains sealed pending enrollment and issuance.","07-Aug-2026 13:45:00"
"AST-2026-008","SGTS10-2H6G8808","Android Tablets","08-Aug-2026","899.99","Samsung Business","31-Aug-2026","Available","","","Tablet received with protective case and charging cable.","08-Aug-2026 12:30:00"
"AST-2026-009","LGRB-8J4K9909","Conference Cameras","09-Aug-2026","3199.00","Logitech Enterprise","31-Aug-2026","Available","","","Conference camera kit stored for the next meeting room upgrade.","09-Aug-2026 09:55:00"
"AST-2026-010","EPL630U-1L5M1010","Office Projectors","10-Aug-2026","5249.95","Epson America","31-Aug-2026","Available","","","Laser projector received with remote control and mounting hardware.","10-Aug-2026 14:15:00"
"AST-2026-011","SCGST-7N2P1111","Ergonomic Chairs","11-Aug-2026","1245.00","Steelcase Authorized Dealer","31-Aug-2026","Available","","","Ergonomic chair assembled and inspected for upholstery damage.","11-Aug-2026 10:50:00"
"AST-2026-012","HMNEVI-4Q8R1212","Standing Desks","12-Aug-2026","1480.00","Herman Miller Workplace","31-Aug-2026","Available","","","Sit-stand desk components verified before warehouse storage.","12-Aug-2026 15:25:00"
"AST-2026-013","HDEU7K-9S3T1313","Portable Generators","13-Aug-2026","4899.00","Honda Power Equipment","31-Aug-2026","Available","","","Generator received without fuel and placed in secure facilities storage.","13-Aug-2026 11:10:00"
"AST-2026-014","3MSFX5-6U1V1414","Safety Helmets","14-Aug-2026","129.50","3M Safety Products","31-Aug-2026","Available","","","Safety helmet inspected for shell integrity and certification markings.","14-Aug-2026 08:40:00"
"AST-2026-015","HNFAK-5W7X1515","First Aid Kits","15-Aug-2026","214.75","Honeywell Safety","31-Aug-2026","Available","","","First aid kit contents checked against the supplied inventory list.","15-Aug-2026 13:05:00"
"AST-2026-016","FL87V-2Y9Z1616","Digital Multimeters","16-Aug-2026","529.00","Fluke Corporation","31-Aug-2026","Available","","","Multimeter received with test leads and calibration certificate.","16-Aug-2026 16:35:00"
"AST-2026-017","FLIRE8-8A4C1717","Thermal Cameras","17-Aug-2026","3495.00","Teledyne FLIR","31-Aug-2026","Available","","","Thermal camera passed startup test and accessory verification.","17-Aug-2026 09:25:00"
"AST-2026-018","ZBDS22-3D6F1818","Barcode Scanners","18-Aug-2026","198.99","Zebra Technologies","31-Aug-2026","Available","","","Barcode scanner tested successfully with standard asset labels.","18-Aug-2026 14:50:00"
"AST-2026-019","ZBZD42-7G1H1919","Label Printers","19-Aug-2026","645.00","Zebra Technologies","31-Aug-2026","Available","","","Thermal label printer received with starter media and power adapter.","19-Aug-2026 10:30:00"
"AST-2026-020","DLR760-9J5K2020","Server Hardware","20-Aug-2026","14680.00","Dell Technologies","31-Aug-2026","Available","","","Rack server received and retained in its original protective packaging.","24-Aug-2026 08:45:00"
"AST-2026-021","SYRS36-4L8M2121","Backup Storage Arrays","21-Aug-2026","9875.50","Synology Authorized Partner","31-Aug-2026","Available","","","Storage array chassis and drive trays verified during receiving.","25-Aug-2026 11:20:00"
"AST-2026-022","APCSRT-6N2P2222","Uninterruptible Power Supplies","22-Aug-2026","3299.95","Schneider Electric","31-Aug-2026","Available","","","UPS battery modules inspected and unit stored in a climate-controlled area.","26-Aug-2026 15:10:00"
"AST-2026-023","SNA7IV-1Q7R2323","Digital Cameras","23-Aug-2026","2498.00","Sony Professional","31-Aug-2026","Available","","","Camera body received with battery charger and protective case.","27-Aug-2026 09:05:00"
"AST-2026-024","BOSEL1-5S9T2424","Portable PA Systems","24-Aug-2026","1899.00","Bose Professional","31-Aug-2026","Available","","","Portable sound system tested and returned to warehouse packaging.","27-Aug-2026 12:35:00"
"AST-2026-025","CRWP32-8U3V2525","Electric Pallet Jacks","25-Aug-2026","7840.00","Crown Equipment","31-Aug-2026","Available","","","Pallet jack passed delivery inspection and battery charging test.","27-Aug-2026 16:25:00"
