"Organization_Logo","Email_Notification","App_Notification","plain","Logo_Preview"
"northstar_retail_logo.png","true","true","Northstar Retail Group notification preferences","Northstar Retail Group logo preview"
"maple_ridge_logo.png","true","false","Maple Ridge Supplies notification preferences","Maple Ridge Supplies logo preview"
"greenfield_manufacturing_logo.png","true","true","Greenfield Manufacturing notification preferences","Greenfield Manufacturing logo preview"
"brightwave_technologies_logo.png","false","true","Brightwave Technologies notification preferences","Brightwave Technologies logo preview"
"summit_office_logo.png","false","false","Summit Office Solutions notification preferences","Summit Office Solutions logo preview"
"blue_harbor_logistics_logo.png","true","true","Blue Harbor Logistics notification preferences","Blue Harbor Logistics logo preview"
"cedar_stone_logo.png","true","false","Cedar & Stone Interiors notification preferences","Cedar & Stone Interiors logo preview"
"silverline_healthcare_logo.png","true","true","Silverline Healthcare notification preferences","Silverline Healthcare logo preview"
"oakwood_hospitality_logo.png","false","true","Oakwood Hospitality notification preferences","Oakwood Hospitality logo preview"
"vertex_engineering_logo.png","true","true","Vertex Engineering notification preferences","Vertex Engineering logo preview"
"sunrise_food_markets_logo.png","true","false","Sunrise Food Markets notification preferences","Sunrise Food Markets logo preview"
"evergreen_energy_logo.png","true","true","Evergreen Energy Partners notification preferences","Evergreen Energy Partners logo preview"
"urban_peak_apparel_logo.png","false","true","Urban Peak Apparel notification preferences","Urban Peak Apparel logo preview"
"clearwater_consulting_logo.png","true","true","Clearwater Consulting notification preferences","Clearwater Consulting logo preview"
"redwood_media_logo.png","true","false","Redwood Media House notification preferences","Redwood Media House logo preview"
"golden_bridge_imports_logo.png","true","true","Golden Bridge Imports notification preferences","Golden Bridge Imports logo preview"
"aurora_learning_logo.png","false","true","Aurora Learning Systems notification preferences","Aurora Learning Systems logo preview"
"pioneer_auto_logo.png","true","false","Pioneer Auto Components notification preferences","Pioneer Auto Components logo preview"
"willow_creek_organics_logo.png","true","true","Willow Creek Organics notification preferences","Willow Creek Organics logo preview"
"atlas_construction_logo.png","true","true","Atlas Construction Services notification preferences","Atlas Construction Services logo preview"
"coral_bay_travel_logo.png","false","true","Coral Bay Travel notification preferences","Coral Bay Travel logo preview"
"ironclad_security_logo.png","true","true","Ironclad Security Systems notification preferences","Ironclad Security Systems logo preview"
"meadowbrook_pharma_logo.png","true","false","Meadowbrook Pharmaceuticals notification preferences","Meadowbrook Pharmaceuticals logo preview"
"novapoint_financial_logo.png","true","true","NovaPoint Financial Services notification preferences","NovaPoint Financial Services logo preview"
"riverbend_agricultural_logo.png","false","false","Riverbend Agricultural Co notification preferences","Riverbend Agricultural Co logo preview"
