"Parent_Lead","Product","Product_ID","Product_Name","Product_Category","Product_Type","Product_Description","Manufacturer_Part_Number","Internal_Part_Number","Brand_Make","Model","Unit_of_Measure","Configuration","Technical_Requirements","Quantity","Expected_Unit_Price","Expected_Total_Price","Remarks"
"Northstar Retail Group","Dell PowerEdge R760 Rack Server","1","Dell PowerEdge R760 Rack Server","Server","Rack Server","Two-socket enterprise rack server for virtualization and database workloads.","PER760-8SFF","SRV-DELL-001","Dell Technologies","PowerEdge R760","Unit","2 x Xeon Gold CPUs; 256 GB RAM; 4 x 1.92 TB SSD; dual 1100 W PSU","Redundant storage and power supplies; rack rails; virtualization-ready firmware.","2","9785.00","19570.00","Priority servers for the retail analytics platform."
"Maple Ridge Supplies","HPE ProLiant ML350 Gen11","2","HPE ProLiant ML350 Gen11","Server","Tower Server","Expandable tower server designed for branch offices and growing businesses.","P53567-B21","SRV-HPE-002","HPE","ProLiant ML350 Gen11","Unit","1 x Xeon Silver CPU; 128 GB RAM; 4 x 2.4 TB SAS; redundant 800 W PSU","Must support registered memory expansion and hot-plug enterprise storage.","3","7425.00","22275.00","Proposed as the server platform for the infrastructure refresh."
"Greenfield Manufacturing","Lenovo ThinkSystem SN550 V2","3","Lenovo ThinkSystem SN550 V2","Server","Blade Server","High-density blade server for scalable private cloud infrastructure.","7Z69A01XEA","SRV-LEN-003","Lenovo","ThinkSystem SN550 V2","Unit","2 x Xeon Silver CPUs; 256 GB RAM; RAID 1 boot drives","Compatible blade chassis, redundant networking, and centralized XClarity management required.","4","8890.00","35560.00","High-density compute option for manufacturing application workloads."
"Brightwave Technologies","Dell Precision 7960 Workstation","4","Dell Precision 7960 Workstation","Other IT Equipment","Workstation","Professional workstation for engineering rendering and data analysis.","PREC7960-CTO","WKS-DELL-004","Dell Technologies","Precision 7960 Tower","Unit","Xeon W processor; 128 GB ECC RAM; RTX 5000 GPU; 2 TB NVMe SSD","Professional graphics certification, ECC memory, and validated engineering software compatibility.","2","7795.00","15590.00","Configuration supports engineering visualization and rendering."
"Summit Office Solutions","Cisco Catalyst 8300 Edge Router","5","Cisco Catalyst 8300 Edge Router","Networking Equipment","Router","Enterprise edge router for secure SD-WAN and branch connectivity.","C8300-1N1S-6T","NET-CIS-005","Cisco","Catalyst C8300-1N1S-6T","Unit","Base chassis; DNA Essentials license; dual AC power supplies","Secure SD-WAN capability, encrypted throughput, and centralized branch management required.","4","6420.00","25680.00","Routers proposed for the office network modernization project."
"Blue Harbor Logistics","Aruba CX 6300M Network Switch","6","Aruba CX 6300M Network Switch","Networking Equipment","Network Switch","Stackable access switch for campus and enterprise networks.","JL663A","NET-ARU-006","Aruba","CX 6300M 48G","Unit","48-port chassis; dual power supplies; advanced feature license","Layer 3 routing, redundant power, high-speed uplinks, and switch stacking required.","4","8490.00","33960.00","Switches will provide resilient connectivity for logistics systems."
"Cedar & Stone Interiors","Fortinet FortiGate 200F Firewall","7","Fortinet FortiGate 200F Firewall","Networking Equipment","Firewall","Next-generation firewall appliance for mid-sized enterprise networks.","FG-200F-BDL-950-36","NET-FOR-007","Fortinet","FortiGate 200F","Unit","Appliance; three-year unified threat protection subscription; rack kit","Threat protection subscription, secure VPN access, rack installation, and current firmware required.","3","8295.00","24885.00","Security appliances for the new design studio network."
"Silverline Healthcare","Ubiquiti UniFi U6 Enterprise","8","Ubiquiti UniFi U6 Enterprise","Networking Equipment","Wireless Access Point","Tri-band indoor wireless access point for high-density office deployments.","U6-ENTERPRISE","NET-UBI-008","Ubiquiti","U6 Enterprise","Unit","Access point; mounting kit; PoE+ injector sold separately","Wi-Fi 6E, secure enterprise authentication, ceiling mounts, and PoE+ compatibility required.","15","319.00","4785.00","Access points intended for secure clinical office coverage."
"Oakwood Hospitality","Cisco Catalyst 9800-L Controller","9","Cisco Catalyst 9800-L Controller","Networking Equipment","Network Controller","Wireless LAN controller for centralized management of enterprise access points.","C9800-L-F-K9","NET-CIS-009","Cisco","Catalyst 9800-L-F","Unit","Controller appliance; Network Essentials license; rack mounting kit","Must centrally manage access points across three properties and support redundant power.","2","11675.00","23350.00","Controllers support centralized hospitality wireless management."
"Vertex Engineering","F5 BIG-IP i2600 Load Balancer","10","F5 BIG-IP i2600 Load Balancer","Networking Equipment","Load Balancer","Application delivery controller for traffic management and service availability.","F5-BIG-LTM-I2600","NET-F5-010","F5 Networks","BIG-IP i2600","Unit","Local Traffic Manager license; dual PSU; one-year support","SSL offload, application health monitoring, high availability, and redundant power required.","2","21900.00","43800.00","Provides resilient application delivery for engineering services."
"Sunrise Food Markets","Dell PowerVault ME5024 Array","11","Dell PowerVault ME5024 Array","Storage Equipment","Storage Array","Dual-controller storage array for virtualization and general-purpose workloads.","ME5024-24SFF","STO-DELL-011","Dell Technologies","PowerVault ME5024","Unit","12 x 3.84 TB SSD; dual FC controllers; rack rails","Dual active controllers, Fibre Channel connectivity, redundant power, and expandable capacity required.","1","31500.00","31500.00","Central storage platform for branch and market operations."
"Evergreen Energy Partners","Synology RackStation RS3621RPxs","12","Synology RackStation RS3621RPxs","Storage Equipment","NAS","Twelve-bay rackmount NAS for backup and shared business storage.","RS3621RPXS","STO-SYN-012","Synology","RackStation RS3621RPxs","Unit","12-bay chassis; 32 GB ECC RAM; rail kit; disks sold separately","Redundant power, ECC memory, 10 GbE upgrade capability, and backup software support required.","2","4195.00","8390.00","NAS units will store modeling datasets and backup copies."
"Urban Peak Apparel","HPE MSA 2062 SAN Storage","13","HPE MSA 2062 SAN Storage","Storage Equipment","SAN","Hybrid flash SAN platform for small and medium enterprise applications.","R0Q80B","STO-HPE-013","HPE","MSA 2062","Unit","Dual FC controllers; 2 x 1.92 TB SSD; rail kit; management software","Dual-controller availability, Fibre Channel support, hybrid flash tiering, and rack installation required.","2","23400.00","46800.00","SAN option for inventory and online order processing."
