"Rate_Card_ID","Rate_Card_Name","Customer_Type","Transport_Mode","Status","Default_For_Retail","Fuel_Surcharge_Percent","COD_Handling_Fee","Volumetric_Divisor","GST_Percent","Contract_Discount_Percent","Effective_From","Effective_To"
"RC-2026-001","Retail Air Standard August 2026","Retail","Air","Published","true","12.50","4.95","5000","8.25","0.00","01-Aug-2026","31-Aug-2026"
"RC-2026-002","Retail Ground Economy August 2026","Retail","Surface","Published","false","9.75","3.50","5000","8.25","2.00","03-Aug-2026","31-Aug-2026"
"RC-2026-003","Corporate Air Priority Contract","Corporate","Air","Published","false","14.25","5.00","5000","8.25","12.50","05-Aug-2026","31-Aug-2026"
"RC-2026-004","Corporate Surface Volume Contract","Corporate","Surface","Published","false","10.50","4.50","5000","8.25","15.00","07-Aug-2026","31-Aug-2026"
"RC-2026-005","Wholesale Air Partner Rates","Wholesale","Air","Published","false","13.75","6.00","5500","8.25","18.00","09-Aug-2026","31-Aug-2026"
"RC-2026-006","Wholesale Surface Partner Rates","Wholesale","Surface","Published","false","8.50","5.50","5500","8.25","20.00","11-Aug-2026","31-Aug-2026"
"RC-2026-007","Universal Multimode Base Card","All","Both","Draft","true","11.00","4.75","5000","8.25","0.00","13-Aug-2026","31-Aug-2026"
"RC-2026-008","Retail Express Promotional Card","Retail","Air","Draft","false","15.00","4.25","4500","8.25","5.00","15-Aug-2026","31-Aug-2026"
"RC-2026-009","Retail Ground Saver Card","Retail","Surface","Published","false","7.50","3.25","5000","8.25","3.50","17-Aug-2026","31-Aug-2026"
"RC-2026-010","Corporate Multimode Advantage","Corporate","Both","Published","false","10.25","4.00","5500","8.25","17.50","19-Aug-2026","31-Aug-2026"
"RC-2026-011","Wholesale Multimode Advantage","Wholesale","Both","Published","false","9.50","5.75","6000","8.25","22.00","21-Aug-2026","31-Aug-2026"
"RC-2026-012","All Customer Air Promotion","All","Air","Draft","false","12.00","4.50","5000","8.25","7.50","23-Aug-2026","31-Aug-2026"
"RC-2026-013","All Customer Surface Promotion","All","Surface","Draft","false","8.25","3.75","5000","8.25","6.00","24-Aug-2026","31-Aug-2026"
"RC-2026-014","Retail High Value Shipping Card","Retail","Both","Published","false","10.75","3.00","5000","8.25","8.50","25-Aug-2026","31-Aug-2026"
"RC-2026-015","Corporate High Value Shipping Card","Corporate","Both","Published","false","9.25","3.50","5500","8.25","25.00","26-Aug-2026","31-Aug-2026"
"RC-2026-016","Wholesale High Volume Surface Card","Wholesale","Surface","Published","false","7.25","4.00","6000","8.25","28.00","27-Aug-2026","31-Aug-2026"
"RC-2026-017","National Air Freight Accelerator","All","Air","Draft","false","16.50","6.50","5000","8.25","10.00","27-Aug-2026","31-Aug-2026"
"RC-2026-018","National Surface Freight Accelerator","All","Surface","Draft","false","9.00","5.00","5500","8.25","11.50","28-Aug-2026","31-Aug-2026"
"RC-2026-019","Retail Month End Booster","Retail","Both","Expired","false","11.50","3.95","5000","8.25","9.00","28-Aug-2026","30-Aug-2026"
"RC-2026-020","Corporate Month End Booster","Corporate","Both","Expired","false","10.00","4.25","5500","8.25","20.00","29-Aug-2026","30-Aug-2026"
"RC-2026-021","Wholesale Month End Booster","Wholesale","Both","Expired","false","8.75","5.25","6000","8.25","24.00","29-Aug-2026","30-Aug-2026"
"RC-2026-022","New Customer Welcome Rates","All","Both","Published","false","6.50","2.50","5000","8.25","5.00","30-Aug-2026","31-Aug-2026"
"RC-2026-023","Retail Same Day Launch Card","Retail","Air","Draft","false","17.25","4.50","4500","8.25","12.00","31-Aug-2026","31-Aug-2026"
"RC-2026-024","Corporate Same Day Launch Card","Corporate","Surface","Draft","false","8.00","3.75","5500","8.25","21.00","31-Aug-2026","31-Aug-2026"
"RC-2026-025","Wholesale Same Day Launch Card","Wholesale","Both","Draft","false","9.25","5.50","6000","8.25","26.00","31-Aug-2026","31-Aug-2026"
