"Rate_Card","Slab_Name","Service_Zone","Active","Minimum_Weight_Kg","Maximum_Weight_Kg","Minimum_Distance_Km","Maximum_Distance_Km","Base_Rate","Additional_Kg_Rate"
"Retail Air Standard August 2026","West Coast Air Light Parcel","West Coast Urban","true","0.00","5.00","0.00","500.00","18.50","3.25"
"Retail Ground Economy August 2026","Regional Ground Light Parcel","Regional Ground","true","0.00","10.00","0.00","300.00","12.00","1.85"
"Corporate Air Priority Contract","Corporate Air Priority Band","National Air","true","0.00","25.00","0.00","1500.00","65.00","4.50"
"Corporate Surface Volume Contract","Corporate Surface Standard Band","Central Surface","true","0.00","50.00","0.00","1000.00","48.00","2.20"
"Wholesale Air Partner Rates","Wholesale Air Freight Band","National Air Freight","true","0.00","100.00","0.00","2500.00","145.00","5.75"
"Wholesale Surface Partner Rates","Wholesale Surface Freight Band","National Surface Freight","true","0.00","250.00","0.00","2000.00","125.00","2.85"
"Universal Multimode Base Card","Universal Base Service Band","National Base","true","0.00","20.00","0.00","750.00","32.00","2.75"
"Retail Express Promotional Card","Retail Express Promo Band","Express Metro","true","0.00","8.00","0.00","600.00","24.00","3.95"
"Retail Ground Saver Card","Retail Ground Saver Band","Economy Regional","true","0.00","15.00","0.00","400.00","10.50","1.60"
"Corporate Multimode Advantage","Corporate Multimode Band","National Corporate","true","0.00","75.00","0.00","1800.00","82.00","3.10"
"Wholesale Multimode Advantage","Wholesale Multimode Band","National Wholesale","true","0.00","300.00","0.00","2200.00","155.00","3.35"
"All Customer Air Promotion","Promotional Air Parcel Band","Promotional Air","true","0.00","12.00","0.00","1000.00","27.50","3.60"
"All Customer Surface Promotion","Promotional Surface Parcel Band","Promotional Surface","true","0.00","30.00","0.00","800.00","21.00","1.95"
"Retail High Value Shipping Card","High Value Retail Band","Secure Retail","true","0.00","20.00","0.00","1200.00","42.00","2.90"
"Corporate High Value Shipping Card","High Value Corporate Band","Secure Corporate","true","0.00","150.00","0.00","2000.00","175.00","3.80"
"Wholesale High Volume Surface Card","High Volume Wholesale Band","Bulk Surface","true","0.00","500.00","0.00","2500.00","240.00","2.45"
"National Air Freight Accelerator","Accelerated Air Freight Band","Accelerated Air","true","0.00","200.00","0.00","3000.00","225.00","6.25"
"National Surface Freight Accelerator","Accelerated Surface Freight Band","Accelerated Surface","true","0.00","400.00","0.00","2800.00","190.00","3.15"
"New Customer Welcome Rates","Welcome Parcel Band","New Customer National","true","0.00","10.00","0.00","500.00","9.50","1.50"
"Retail Same Day Launch Card","Same Day Retail Band","Same Day Metro","true","0.00","5.00","0.00","150.00","35.00","4.75"
"Corporate Same Day Launch Card","Same Day Corporate Band","Same Day Corporate","true","0.00","50.00","0.00","250.00","95.00","3.50"
"Wholesale Same Day Launch Card","Same Day Wholesale Band","Same Day Wholesale","true","0.00","100.00","0.00","300.00","165.00","4.10"
"Retail Air Standard August 2026","East Coast Air Light Parcel","East Coast Urban","true","0.00","7.50","0.00","650.00","21.00","3.40"
"Retail Ground Economy August 2026","Mountain Ground Parcel","Mountain Region","true","0.00","12.50","0.00","450.00","14.50","1.95"
"Corporate Air Priority Contract","Transcontinental Priority Freight","Transcontinental Air","true","0.00","40.00","0.00","3000.00","110.00","5.20"
