"Product_Name","Product_Category","Product_Type","Brand_Make","Model","Manufacturer_Part_Number","Internal_Part_Number","Product_Description","Technical_Specifications","Configuration_Template","Warranty_Period","Country_of_Origin","Unit_of_Measure","Default_Currency","Reference_Cost","Reference_Selling_Price","Active","Product_Image","Product_ID","Created_Date_Time","Last_Updated_Date_Time"
"Dell PowerEdge R760 Rack Server","Server","Rack Server","Dell Technologies","PowerEdge R760","PER760-8SFF","SRV-DELL-001","Two-socket enterprise rack server for virtualization and database workloads.","2U chassis; dual CPU sockets; 8 SFF bays; redundant power supplies","2 x Xeon Gold CPUs; 256 GB RAM; 4 x 1.92 TB SSD; dual 1100 W PSU","3 Years","United States","Unit","USD","8240.00","9785.00","true","dell_poweredge_r760.png","1","01-Sep-2026 08:30:00","14-Sep-2026 09:15:00"
"HPE ProLiant ML350 Gen11","Server","Tower Server","HPE","ProLiant ML350 Gen11","P53567-B21","SRV-HPE-002","Expandable tower server designed for branch offices and growing businesses.","Dual CPU support; 32 DIMM slots; hot-plug storage; iLO management","1 x Xeon Silver CPU; 128 GB RAM; 4 x 2.4 TB SAS; redundant 800 W PSU","3 Years","United States","Unit","USD","6150.00","7425.00","true","hpe_proliant_ml350.png","2","02-Sep-2026 10:20:00","14-Sep-2026 11:40:00"
"Lenovo ThinkSystem SN550 V2","Server","Blade Server","Lenovo","ThinkSystem SN550 V2","7Z69A01XEA","SRV-LEN-003","High-density blade server for scalable private cloud infrastructure.","Two-socket blade; 16 DIMM slots; dual M.2 boot support; XClarity management","2 x Xeon Silver CPUs; 256 GB RAM; RAID 1 boot drives","3 Years","China","Unit","USD","7380.00","8890.00","true","lenovo_sn550_v2.png","3","03-Sep-2026 09:10:00","15-Sep-2026 10:25:00"
"Dell Precision 7960 Workstation","Other IT Equipment","Workstation","Dell Technologies","Precision 7960 Tower","PREC7960-CTO","WKS-DELL-004","Professional workstation for engineering rendering and data analysis.","Intel Xeon platform; ECC memory; PCIe expansion; high-performance graphics support","Xeon W processor; 128 GB ECC RAM; RTX 5000 GPU; 2 TB NVMe SSD","3 Years","United States","Unit","USD","6495.00","7795.00","true","dell_precision_7960.png","4","04-Sep-2026 13:45:00","16-Sep-2026 14:05:00"
"Cisco Catalyst 8300 Edge Router","Networking Equipment","Router","Cisco","Catalyst C8300-1N1S-6T","C8300-1N1S-6T","NET-CIS-005","Enterprise edge router for secure SD-WAN and branch connectivity.","Six WAN ports; one network module slot; encrypted throughput up to 1.9 Gbps","Base chassis; DNA Essentials license; dual AC power supplies","1 Year","Mexico","Unit","USD","5280.00","6420.00","true","cisco_catalyst_8300.png","5","05-Sep-2026 11:30:00","17-Sep-2026 12:15:00"
"Aruba CX 6300M Network Switch","Networking Equipment","Network Switch","Aruba","CX 6300M 48G","JL663A","NET-ARU-006","Stackable access switch for campus and enterprise networks.","48 Gigabit ports; four SFP56 uplinks; Layer 3 routing; VSF stacking","48-port chassis; dual power supplies; advanced feature license","Lifetime Limited","Taiwan","Unit","USD","7125.00","8490.00","true","aruba_cx6300m.png","6","06-Sep-2026 15:20:00","18-Sep-2026 09:35:00"
"Fortinet FortiGate 200F Firewall","Networking Equipment","Firewall","Fortinet","FortiGate 200F","FG-200F-BDL-950-36","NET-FOR-007","Next-generation firewall appliance for mid-sized enterprise networks.","27 Gbps firewall throughput; 3 Gbps threat protection; dual power support","Appliance; three-year unified threat protection subscription; rack kit","3 Years","Taiwan","Unit","USD","6840.00","8295.00","true","fortigate_200f.png","7","07-Sep-2026 08:50:00","19-Sep-2026 11:10:00"
"Ubiquiti UniFi U6 Enterprise","Networking Equipment","Wireless Access Point","Ubiquiti","U6 Enterprise","U6-ENTERPRISE","NET-UBI-008","Tri-band indoor wireless access point for high-density office deployments.","Wi-Fi 6E; 2.5 GbE uplink; PoE+ power; ceiling mount","Access point; mounting kit; PoE+ injector sold separately","1 Year","Vietnam","Unit","USD","245.00","319.00","true","unifi_u6_enterprise.png","8","08-Sep-2026 12:25:00","20-Sep-2026 13:45:00"
"Cisco Catalyst 9800-L Controller","Networking Equipment","Network Controller","Cisco","Catalyst 9800-L-F","C9800-L-F-K9","NET-CIS-009","Wireless LAN controller for centralized management of enterprise access points.","Supports 250 access points; 5000 clients; redundant power option","Controller appliance; Network Essentials license; rack mounting kit","1 Year","Mexico","Unit","USD","9850.00","11675.00","true","cisco_catalyst_9800l.png","9","09-Sep-2026 09:40:00","14-Sep-2026 10:50:00"
"F5 BIG-IP i2600 Load Balancer","Networking Equipment","Load Balancer","F5 Networks","BIG-IP i2600","F5-BIG-LTM-I2600","NET-F5-010","Application delivery controller for traffic management and service availability.","10 Gbps Layer 7 throughput; SSL offload; redundant power supplies","Local Traffic Manager license; dual PSU; one-year support","1 Year","United States","Unit","USD","18450.00","21900.00","true","f5_bigip_i2600.png","10","10-Sep-2026 14:15:00","14-Sep-2026 16:30:00"
"Dell PowerVault ME5024 Array","Storage Equipment","Storage Array","Dell Technologies","PowerVault ME5024","ME5024-24SFF","STO-DELL-011","Dual-controller storage array for virtualization and general-purpose workloads.","24 SFF bays; dual active controllers; 32 Gb Fibre Channel; redundant PSU","12 x 3.84 TB SSD; dual FC controllers; rack rails","5 Years","United States","Unit","USD","26800.00","31500.00","true","dell_powervault_me5024.png","11","14-Sep-2026 08:10:00","14-Sep-2026 12:20:00"
"Synology RackStation RS3621RPxs","Storage Equipment","NAS","Synology","RackStation RS3621RPxs","RS3621RPXS","STO-SYN-012","Twelve-bay rackmount NAS for backup and shared business storage.","12 drive bays; redundant power; dual 10 GbE capable; ECC memory","12-bay chassis; 32 GB ECC RAM; rail kit; disks sold separately","5 Years","Taiwan","Unit","USD","3450.00","4195.00","true","synology_rs3621rpxs.png","12","14-Sep-2026 09:35:00","14-Sep-2026 14:10:00"
"HPE MSA 2062 SAN Storage","Storage Equipment","SAN","HPE","MSA 2062","R0Q80B","STO-HPE-013","Hybrid flash SAN platform for small and medium enterprise applications.","24 SFF bays; dual controllers; 16 Gb Fibre Channel; 3.84 TB integrated flash","Dual FC controllers; 2 x 1.92 TB SSD; rail kit; management software","3 Years","United States","Unit","USD","19750.00","23400.00","true","hpe_msa2062.png","13","14-Sep-2026 13:05:00","15-Sep-2026 09:20:00"
"Seagate Exos X20 20TB Drive","Storage Component","Hard Disk Drive","Seagate","Exos X20","ST20000NM007D","DRV-SEA-014","Enterprise hard disk drive for high-capacity server and storage arrays.","20 TB capacity; 7200 RPM; SATA 6 Gb/s; 3.5-inch form factor","Single enterprise drive with standard sector format","5 Years","Thailand","Piece","USD","325.00","399.00","true","seagate_exos_x20.png","14","15-Sep-2026 08:45:00","15-Sep-2026 15:30:00"
"Samsung PM9A3 3.84TB SSD","Storage Component","Solid-State Drive","Samsung","PM9A3","MZQL23T8HCLS-00A07","DRV-SAM-015","Enterprise NVMe solid-state drive for read-intensive server workloads.","3.84 TB capacity; PCIe 4.0 x4; U.2 form factor; power-loss protection","Single U.2 NVMe drive with enterprise firmware","5 Years","South Korea","Piece","USD","465.00","559.00","true","samsung_pm9a3.png","15","16-Sep-2026 10:05:00","16-Sep-2026 16:25:00"
"Intel Xeon Gold 6430 Processor","Server Component","Processor","Intel","Xeon Gold 6430","PK8071305121001","CPU-INT-016","Server processor for compute-intensive enterprise applications.","32 cores; 64 threads; 2.10 GHz base frequency; 270 W TDP","Retail processor; compatible heatsink required","3 Years","Malaysia","Piece","USD","2180.00","2545.00","true","intel_xeon_gold_6430.png","16","17-Sep-2026 09:25:00","17-Sep-2026 14:40:00"
"Kingston Server Premier 64GB Memory","Server Component","Memory","Kingston","Server Premier DDR5-4800","KSM48R40BD4TMM-64HMR","MEM-KIN-017","Registered ECC memory module for compatible enterprise servers.","64 GB capacity; DDR5-4800; ECC registered; 1.1 V","Single 64 GB RDIMM module","Lifetime","Taiwan","Piece","USD","235.00","289.00","true","kingston_64gb_ddr5.png","17","18-Sep-2026 11:15:00","18-Sep-2026 17:05:00"
"Supermicro X13DEI Motherboard","Server Component","Motherboard","Supermicro","X13DEI","MBD-X13DEI-O","MB-SUP-018","Dual-socket server motherboard for high-performance rack server builds.","Dual LGA4677 sockets; 16 DIMM slots; PCIe 5.0; integrated IPMI","Motherboard; I/O shield; driver media; user guide","3 Years","Taiwan","Piece","USD","965.00","1149.00","true","supermicro_x13dei.png","18","19-Sep-2026 08:35:00","19-Sep-2026 13:55:00"
"Seasonic Prime TX-1300 Power Supply","Computer Component","Power Supply","Seasonic","Prime TX-1300","SSR-1300TR","PSU-SEA-019","High-efficiency modular power supply for professional workstations.","1300 W output; 80 Plus Titanium; fully modular; 135 mm fan","Power supply; modular cable set; AC power cord","12 Years","China","Unit","USD","345.00","419.00","true","seasonic_prime_tx1300.png","19","20-Sep-2026 10:45:00","20-Sep-2026 16:10:00"
"Broadcom MegaRAID 9560-16i","Server Component","RAID Controller","Broadcom","MegaRAID 9560-16i","05-50077-00","RAID-BRC-020","Tri-mode hardware RAID controller for SAS SATA and NVMe storage.","16 internal ports; PCIe 4.0 x8; 8 GB cache; RAID 0 1 5 6 10 50 60","Controller card; cache protection module; internal cables","3 Years","Singapore","Piece","USD","925.00","1095.00","true","broadcom_megaraid_9560.png","20","21-Sep-2026 09:20:00","22-Sep-2026 11:35:00"
"Intel Ethernet Network Adapter E810","Networking Component","Network Interface Card","Intel","E810-XXVDA2","E810XXVDA2BLK","NIC-INT-021","Dual-port network adapter for high-throughput server connectivity.","Two 25 GbE SFP28 ports; PCIe 4.0 x8; SR-IOV support","Adapter card; low-profile bracket; driver download access","3 Years","Malaysia","Piece","USD","385.00","469.00","true","intel_e810_adapter.png","21","22-Sep-2026 13:10:00","23-Sep-2026 09:50:00"
