"Tier_Name","Applies_To","Display_Order","Active","Minimum_Quarterly_Spend","Maximum_Quarterly_Spend","Points_Multiplier","Credit_Rebate_Percent"
"Silver","Corporate","1","true","0.00","24999.99","1.00","1.00"
"Gold","Corporate","2","true","25000.00","99999.99","1.50","2.50"
"Platinum","Corporate","3","true","100000.00","","2.00","5.00"
"Silver","Wholesale","1","false","0.00","49999.99","1.00","1.25"
"Gold","Wholesale","2","false","50000.00","199999.99","1.50","3.00"
"Platinum","Wholesale","3","false","200000.00","","2.25","6.00"
"Silver","Both","1","false","0.00","39999.99","1.10","1.50"
"Gold","Both","2","false","40000.00","149999.99","1.60","3.50"
"Platinum","Both","3","false","150000.00","","2.40","7.00"
"Silver","All","1","false","0.00","19999.99","1.00","0.75"
"Gold","All","2","false","20000.00","79999.99","1.40","2.00"
"Platinum","All","3","false","80000.00","","1.90","4.50"
"Silver","Corporate","1","false","0.00","29999.99","1.05","1.10"
"Gold","Corporate","2","false","30000.00","124999.99","1.55","2.75"
"Platinum","Corporate","3","false","125000.00","","2.10","5.50"
"Silver","Wholesale","1","false","0.00","59999.99","1.10","1.40"
"Gold","Wholesale","2","false","60000.00","249999.99","1.70","3.25"
"Platinum","Wholesale","3","false","250000.00","","2.50","6.50"
"Silver","Both","1","false","0.00","34999.99","1.00","1.20"
"Gold","Both","2","false","35000.00","174999.99","1.65","3.75"
"Platinum","Both","3","false","175000.00","","2.60","7.50"
"Silver","All","1","false","0.00","24999.99","1.05","1.00"
"Gold","All","2","false","25000.00","99999.99","1.45","2.25"
"Platinum","All","3","false","100000.00","","2.00","5.00"
"Silver","Corporate","1","false","0.00","19999.99","0.90","0.50"
