"PRS_Number","Hub","Assigned_Agent","Run_Date","Beat_Name","Vehicle","Status","Planned_Stop_Count","Completed_Stop_Count","Total_Planned_Weight_Kg","Released_At","Completed_At","Supervisor_Notes"
"1","Long Beach Collection Center","Brianna","31-Aug-2026","Long Beach Central Beat","","Draft","0","0","0.00","","","Morning pickup run draft awaiting eligible shipment allocation."
"2","Pasadena Collection Center","Tyler","31-Aug-2026","Pasadena Central Beat","","Released","0","0","0.00","31-Aug-2026 06:10:00","","Central Pasadena pickup run released for morning coverage."
"3","San Jose Collection Center","Danielle","31-Aug-2026","North San Jose Beat","","In Progress","0","0","0.00","31-Aug-2026 06:20:00","","Agent checked in and is monitoring the pickup queue."
"4","Tacoma Collection Center","Samantha","31-Aug-2026","Tacoma Port Beat","","Completed","0","0","0.00","31-Aug-2026 06:05:00","31-Aug-2026 09:40:00","Standby port pickup run completed with no assigned stops."
"5","Fort Lauderdale Collection Center","Cameron","31-Aug-2026","Fort Lauderdale Central Beat","","Draft","0","0","0.00","","","Draft retained for late-morning commercial pickup requests."
"6","Brooklyn Collection Center","Rebecca","31-Aug-2026","Brooklyn Atlantic Beat","","Released","0","0","0.00","31-Aug-2026 06:45:00","","Bicycle pickup run released for Atlantic Avenue coverage."
"7","Long Beach Collection Center","Brianna","31-Aug-2026","Signal Hill Beat","","In Progress","0","0","0.00","31-Aug-2026 07:00:00","","Agent is available near Signal Hill for priority collections."
"8","Pasadena Collection Center","Tyler","31-Aug-2026","Pasadena West Beat","","Cancelled","0","0","0.00","","","Cancelled after the area was consolidated with the central beat."
"9","San Jose Collection Center","Danielle","31-Aug-2026","Berryessa Beat","","Draft","0","0","0.00","","","Outer-area pickup draft awaiting confirmed customer requests."
"10","Tacoma Collection Center","Samantha","31-Aug-2026","Tacoma Central Beat","","Released","0","0","0.00","31-Aug-2026 07:35:00","","Released for central Tacoma business pickup coverage."
"11","Fort Lauderdale Collection Center","Cameron","31-Aug-2026","Las Olas Beat","","In Progress","0","0","0.00","31-Aug-2026 07:50:00","","Agent activated the Las Olas pickup run for operational monitoring."
"12","Brooklyn Collection Center","Rebecca","31-Aug-2026","Brooklyn Atlantic Beat","","Completed","0","0","0.00","31-Aug-2026 07:25:00","31-Aug-2026 11:15:00","Morning standby run closed after no eligible stops were assigned."
"13","Long Beach Collection Center","Brianna","31-Aug-2026","Terminal Island Beat","","Draft","0","0","0.00","","","Contingency pickup run prepared for harbor-area requests."
"14","Pasadena Collection Center","Tyler","31-Aug-2026","Pasadena Central Beat","","Cancelled","0","0","0.00","","","Duplicate geographic coverage was removed from the schedule."
"15","San Jose Collection Center","Danielle","31-Aug-2026","North San Jose Beat","","Released","0","0","0.00","31-Aug-2026 09:05:00","","Midday pickup run released for North San Jose businesses."
"16","Tacoma Collection Center","Samantha","31-Aug-2026","Tacoma Port Beat","","In Progress","0","0","0.00","31-Aug-2026 09:20:00","","Port-area standby coverage is active for urgent collections."
"17","Fort Lauderdale Collection Center","Cameron","31-Aug-2026","Fort Lauderdale Central Beat","","Draft","0","0","0.00","","","Afternoon pickup draft awaiting final booking confirmations."
"18","Brooklyn Collection Center","Rebecca","31-Aug-2026","Brooklyn Atlantic Beat","","Released","0","0","0.00","31-Aug-2026 10:00:00","","Local pickup run released for same-day merchant requests."
"19","Long Beach Collection Center","Brianna","31-Aug-2026","Long Beach Central Beat","","In Progress","0","0","0.00","31-Aug-2026 10:15:00","","Agent is monitoring the central Long Beach collection queue."
"20","Pasadena Collection Center","Tyler","31-Aug-2026","Pasadena West Beat","","Completed","0","0","0.00","31-Aug-2026 09:45:00","31-Aug-2026 13:50:00","West Pasadena standby run completed without allocated stops."
"21","San Jose Collection Center","Danielle","31-Aug-2026","Berryessa Beat","","Draft","0","0","0.00","","","Evening pickup draft reserved for late-arriving bookings."
"22","Tacoma Collection Center","Samantha","31-Aug-2026","Tacoma Central Beat","","Cancelled","0","0","0.00","","","Cancelled because planned coverage overlapped the port run."
"23","Fort Lauderdale Collection Center","Cameron","31-Aug-2026","Las Olas Beat","","Released","0","0","0.00","31-Aug-2026 14:55:00","","Late-shift pickup run released for end-of-month demand."
"24","Brooklyn Collection Center","Rebecca","31-Aug-2026","Brooklyn Atlantic Beat","","In Progress","0","0","0.00","31-Aug-2026 16:00:00","","Evening bicycle pickup coverage is active in central Brooklyn."
"25","Long Beach Collection Center","Brianna","31-Aug-2026","Signal Hill Beat","","Completed","0","0","0.00","31-Aug-2026 16:15:00","31-Aug-2026 18:40:00","End-of-month standby pickup run closed with no assigned stops."
