"Pickup_Run_Sheet","Shipment","Stop_Sequence","Stop_Status","Arrived_At","Physical_Weight_Kg","Revised_Charge","Customer_Approved_Revised_Charge","Pickup_OTP","Pickup_Signature","Failure_Reason","Completed_At","Agent_Latitude","Agent_Longitude"
"1","100000001","1","Assigned","","","0","false","","","","","33.8078","-118.1769"
"3","100000002","2","Assigned","","","0","false","","","","","37.3704","-121.9098"
"1","100000003","3","Assigned","","","0","false","","","","","33.8078","-118.1769"
"5","100000004","4","Assigned","","","0","false","","","","","26.1642","-80.1784"
"6","100000005","5","Assigned","","","0","false","","","","","40.6785","-73.9447"
"6","100000006","6","Assigned","","","0","false","","","","","40.6785","-73.9447"
"1","100000007","7","Assigned","","","0","false","","","","","33.8078","-118.1769"
"7","100000008","8","Assigned","","","0","false","","","","","33.8078","-118.1769"
"12","100000009","9","Assigned","","","0","false","","","","","40.6785","-73.9447"
"5","100000010","10","Assigned","","","0","false","","","","","26.1642","-80.1784"
"3","100000011","11","Assigned","","","0","false","","","","","37.3704","-121.9098"
"9","100000012","12","Assigned","","","0","false","","","","","37.3704","-121.9098"
"13","100000013","13","Assigned","","","0","false","","","","","33.8078","-118.1769"
"11","100000014","14","Assigned","","","0","false","","","","","26.1642","-80.1784"
"17","100000015","15","Assigned","","","0","false","","","","","26.1642","-80.1784"
"18","100000016","16","Assigned","","","0","false","","","","","40.6785","-73.9447"
"2","100000017","17","Assigned","","","0","false","","","","","34.1468","-118.1260"
"23","100000018","18","Assigned","","","0","false","","","","","26.1642","-80.1784"
"3","100000019","19","Assigned","","","0","false","","","","","37.3704","-121.9098"
"24","100000020","20","Assigned","","","0","false","","","","","40.6785","-73.9447"
"4","100000021","21","Assigned","","","0","false","","","","","47.2667","-122.4017"
"10","100000022","22","Assigned","","","0","false","","","","","47.2667","-122.4017"
"19","100000023","23","Assigned","","","0","false","","","","","33.8078","-118.1769"
"6","100000024","24","Assigned","","","0","false","","","","","40.6785","-73.9447"
"16","100000025","25","Assigned","","","0","false","","","","","47.2667","-122.4017"
