"Parent_Logistics_Booking","Purchase_Order","Purchase_Order_Product","Supplier","Product","Product_ID","Product_Name","Product_Category","Product_Type","Manufacturer_Part_Number","Brand_Make","Model","Configuration","Expected_Quantity","Unit_of_Measure","Received_Quantity","Damaged_Quantity","Accepted_Quantity","Rejected_Quantity","Serial_Number_Details","Receiving_Remarks"
"1","1","Dell PowerEdge R760 Rack Server","Apex Server Distribution","Dell PowerEdge R760 Rack Server","1","Dell PowerEdge R760 Rack Server","Server","Rack Server","PER760-8SFF","Dell Technologies","PowerEdge R760","2 x Xeon Gold CPUs; 256 GB RAM; 4 x 1.92 TB SSD; dual 1100 W PSU","2.00","Unit","2.00","0.00","2.00","0.00","Serials DLR760-26090101 and DLR760-26090102 verified against the packing list.","Both rack servers arrived sealed and passed receiving inspection."
"2","2","HPE ProLiant ML350 Gen11","Maple Tech Wholesale","HPE ProLiant ML350 Gen11","2","HPE ProLiant ML350 Gen11","Server","Tower Server","P53567-B21","HPE","ProLiant ML350 Gen11","1 x Xeon Silver CPU; 128 GB RAM; 4 x 2.4 TB SAS; redundant 800 W PSU","3.00","Unit","3.00","0.00","3.00","0.00","Serials HPEML350-26090201 through HPEML350-26090203 recorded.","All tower servers were received in dry cartons with intact seals."
"3","3","Lenovo ThinkSystem SN550 V2","Britannia Network Supplies","Lenovo ThinkSystem SN550 V2","3","Lenovo ThinkSystem SN550 V2","Server","Blade Server","7Z69A01XEA","Lenovo","ThinkSystem SN550 V2","2 x Xeon Silver CPUs; 256 GB RAM; RAID 1 boot drives","4.00","Unit","4.00","0.00","4.00","0.00","Serials LSN550-26090301 through LSN550-26090304 scanned and validated.","Blade servers and included documentation matched the purchase order."
"4","4","Dell Precision 7960 Workstation","Pacific Computing Partners","Dell Precision 7960 Workstation","4","Dell Precision 7960 Workstation","Other IT Equipment","Workstation","PREC7960-CTO","Dell Technologies","Precision 7960 Tower","Xeon W processor; 128 GB ECC RAM; RTX 5000 GPU; 2 TB NVMe SSD","2.00","Unit","2.00","0.00","2.00","0.00","Service tags DP7960-26090401 and DP7960-26090402 captured.","Both workstations passed chassis and configuration checks."
"5","5","Cisco Catalyst 8300 Edge Router","Emerald Office Systems","Cisco Catalyst 8300 Edge Router","5","Cisco Catalyst 8300 Edge Router","Networking Equipment","Router","C8300-1N1S-6T","Cisco","Catalyst C8300-1N1S-6T","Base chassis; DNA Essentials license; dual AC power supplies","4.00","Unit","3.00","0.00","3.00","0.00","Serials C8300-26090501 through C8300-26090503 recorded; one serial remains pending.","Three routers were accepted and one backordered unit remains outstanding."
"6","6","Aruba CX 6300M Network Switch","Lion City Components","Aruba CX 6300M Network Switch","6","Aruba CX 6300M Network Switch","Networking Equipment","Network Switch","JL663A","Aruba","CX 6300M 48G","48-port chassis; dual power supplies; advanced feature license","4.00","Unit","4.00","0.00","4.00","0.00","Serials ACX6300-26090601 through ACX6300-26090604 verified.","All switches arrived securely packed with power supplies and rack kits."
"7","7","Fortinet FortiGate 200F Firewall","Hexagon Digital Distribution","Fortinet FortiGate 200F Firewall","7","Fortinet FortiGate 200F Firewall","Networking Equipment","Firewall","FG-200F-BDL-950-36","Fortinet","FortiGate 200F","Appliance; three-year unified threat protection subscription; rack kit","3.00","Unit","3.00","0.00","3.00","0.00","Serials FG200F-26090701 through FG200F-26090703 linked to support subscriptions.","Firewall appliances passed model, accessory, and subscription verification."
"8","8","Ubiquiti UniFi U6 Enterprise","Rhine Valley Electronics","Ubiquiti UniFi U6 Enterprise","8","Ubiquiti UniFi U6 Enterprise","Networking Equipment","Wireless Access Point","U6-ENTERPRISE","Ubiquiti","U6 Enterprise","Access point; mounting kit; PoE+ injector sold separately","15.00","Unit","15.00","0.00","15.00","0.00","Serial batch U6E-26090801 through U6E-26090815 recorded.","All access points and mounting kits were counted and accepted."
"9","9","Cisco Catalyst 9800-L Controller","Milano Hardware Group","Cisco Catalyst 9800-L Controller","9","Cisco Catalyst 9800-L Controller","Networking Equipment","Network Controller","C9800-L-F-K9","Cisco","Catalyst 9800-L-F","Controller appliance; Network Essentials license; rack mounting kit","2.00","Unit","1.00","0.00","1.00","0.00","Serial C9800L-26090901 verified; second controller serial remains pending.","One controller was accepted and the remaining unit is awaiting allocation."
"10","10","F5 BIG-IP i2600 Load Balancer","Tulip Infrastructure Supply","F5 BIG-IP i2600 Load Balancer","10","F5 BIG-IP i2600 Load Balancer","Networking Equipment","Load Balancer","F5-BIG-LTM-I2600","F5 Networks","BIG-IP i2600","Local Traffic Manager license; dual PSU; one-year support","2.00","Unit","2.00","0.00","2.00","0.00","Serials F5I2600-26091001 and F5I2600-26091002 registered.","Both load balancers passed physical and licensing checks."
