"Category_Code","Category_Name","Manufacturer","Model","Description","Active","Active_Asset_Count","Available_Asset_Count","Stock_Percent","Low_Stock_Alert_Active","Last_Alerted_Time"
"CAT-001","Business Laptops","Dell","Latitude 7450","Portable business laptops assigned to employees and approved contractors.","true","120","18","15.00","true","27-Aug-2026 08:15:00"
"CAT-002","Desktop Workstations","HP","Z2 Tower G9","High-performance desktop workstations used by design and engineering teams.","true","80","24","30.00","false","12-Aug-2026 10:30:00"
"CAT-003","LED Monitors","Samsung","ViewFinity S6","Twenty-seven-inch office monitors for standard and remote workstations.","true","150","45","30.00","false","24-Aug-2026 09:20:00"
"CAT-004","Network Switches","Cisco","Catalyst 9200L","Managed network switches supporting office access-layer connectivity.","true","40","4","10.00","true","27-Aug-2026 11:05:00"
"CAT-005","Wireless Access Points","Cisco","Catalyst 9164","Enterprise wireless access points deployed across corporate facilities.","true","75","9","12.00","true","25-Aug-2026 14:10:00"
"CAT-006","Multifunction Printers","Canon","imageRUNNER DX C3935i","Shared color printers with scanning and document finishing capabilities.","true","30","6","20.00","true","18-Aug-2026 15:45:00"
"CAT-007","Company Smartphones","Apple","iPhone 16","Managed smartphones issued to field staff and senior employees.","true","100","35","35.00","false","05-Aug-2026 13:25:00"
"CAT-008","Android Tablets","Samsung","Galaxy Tab S10","Portable tablets used for inspections, presentations, and field data capture.","true","60","12","20.00","true","26-Aug-2026 16:40:00"
"CAT-009","Conference Cameras","Logitech","Rally Bar","Video conferencing cameras installed in medium and large meeting rooms.","true","35","7","20.00","true","27-Aug-2026 09:50:00"
"CAT-010","Office Projectors","Epson","PowerLite L630U","Laser projectors used in training rooms and presentation spaces.","true","25","10","40.00","false","08-Aug-2026 12:15:00"
"CAT-011","Ergonomic Chairs","Steelcase","Gesture","Adjustable ergonomic seating provided for office workstations.","true","200","70","35.00","false","20-Aug-2026 10:05:00"
"CAT-012","Standing Desks","Herman Miller","Nevi Sit-Stand","Height-adjustable desks supporting ergonomic office configurations.","true","140","28","20.00","true","28-Aug-2026 08:40:00"
"CAT-013","Portable Generators","Honda","EU7000iS","Portable backup generators maintained for facilities and emergency operations.","true","20","3","15.00","true","29-Aug-2026 07:30:00"
"CAT-014","Safety Helmets","3M","SecureFit X5000","Industrial safety helmets stocked for maintenance and site personnel.","true","180","90","50.00","false","03-Aug-2026 11:35:00"
"CAT-015","First Aid Kits","Honeywell","North 019746-0032L","Comprehensive workplace first aid kits positioned throughout company sites.","true","90","14","15.56","true","24-Aug-2026 13:55:00"
"CAT-016","Digital Multimeters","Fluke","Fluke 87V","Industrial multimeters used by electrical maintenance technicians.","true","45","9","20.00","true","15-Aug-2026 09:10:00"
"CAT-017","Thermal Cameras","FLIR","E8 Pro","Thermal imaging cameras used for inspections and preventive maintenance.","true","15","6","40.00","false","06-Aug-2026 14:35:00"
"CAT-018","Barcode Scanners","Zebra","DS2208","Handheld barcode scanners used for inventory receipts and asset tracking.","true","70","21","30.00","false","30-Aug-2026 10:25:00"
"CAT-019","Label Printers","Zebra","ZD421","Thermal label printers used to produce durable asset identification labels.","true","32","5","15.63","true","26-Aug-2026 12:50:00"
"CAT-020","Server Hardware","Dell","PowerEdge R760","Rack-mounted servers supporting core applications and virtual workloads.","true","24","2","8.33","true","22-Aug-2026 17:15:00"
"CAT-021","Backup Storage Arrays","Synology","RackStation RS3621xs+","Centralized storage arrays used for operational backups and archives.","true","18","3","16.67","true","27-Aug-2026 18:05:00"
"CAT-022","Uninterruptible Power Supplies","APC","Smart-UPS SRT 3000VA","Battery backup units protecting network, server, and laboratory equipment.","true","55","11","20.00","true","19-Aug-2026 08:55:00"
"CAT-023","Digital Cameras","Sony","Alpha 7 IV","Professional cameras used by marketing and corporate communications teams.","true","28","9","32.14","false","10-Aug-2026 16:20:00"
"CAT-024","Portable PA Systems","Bose","L1 Pro16","Portable sound systems used for company events and training sessions.","false","12","6","50.00","false","01-Aug-2026 11:00:00"
"CAT-025","Electric Pallet Jacks","Crown","WP 3200","Powered pallet jacks used for warehouse material movement and loading.","true","22","4","18.18","true","31-Aug-2026 15:30:00"
