"Hub_ID","Hub_Name","Hub_Type","Parent_Sorting_Hub","Active","Hub_Address.address_line_1","Hub_Address.address_line_2","Hub_Address.district_city","Hub_Address.state_province","Hub_Address.postal_Code","Hub_Address.country","Latitude","Longitude","Operating_Start_Time","Operating_End_Time","Cut_Off_Time","Daily_Capacity","Contact_Name","Contact_Email","Contact_Phone"
"HUB-SH-001","Los Angeles Metro Sorting Hub","Sorting Hub","","true","5500 Sheila Street","Building A","Commerce","California","90040","United States","34.0006","-118.1598","05:00:00","23:00:00","21:30:00","18500","Olivia Martinez","olivia.martinez@zylker.com","+13235550101"
"HUB-SH-002","San Francisco Bay Sorting Hub","Sorting Hub","","true","1900 Carroll Avenue","Warehouse 4","San Francisco","California","94124","United States","37.7268","-122.3977","05:30:00","22:30:00","21:00:00","14200","Ethan Nguyen","ethan.nguyen@zylker.com","+14155550102"
"HUB-SH-003","Seattle Northwest Sorting Hub","Sorting Hub","","true","6700 East Marginal Way South","Dock 7","Seattle","Washington","98108","United States","47.5426","-122.3221","05:00:00","22:00:00","20:30:00","12800","Ava Thompson","ava.thompson@zylker.com","+12065550103"
"HUB-SH-004","Dallas Fort Worth Sorting Hub","Sorting Hub","","true","2400 West Airfield Drive","Facility 2","Dallas","Texas","75261","United States","32.8998","-97.0403","04:30:00","23:30:00","22:00:00","17600","Mason Carter","mason.carter@zylker.com","+12145550104"
"HUB-SH-005","Chicago Central Sorting Hub","Sorting Hub","","true","5100 West 73rd Street","Unit 12","Bedford Park","Illinois","60638","United States","41.7579","-87.7507","04:00:00","23:00:00","21:30:00","19400","Sophia Reynolds","sophia.reynolds@zylker.com","+13125550105"
"HUB-SH-006","Atlanta Southeast Sorting Hub","Sorting Hub","","true","4200 International Parkway","Building C","Hapeville","Georgia","30354","United States","33.6534","-84.4086","05:00:00","23:00:00","21:45:00","16800","Noah Brooks","noah.brooks@zylker.com","+14045550106"
"HUB-SH-007","Miami South Florida Sorting Hub","Sorting Hub","","true","7800 Northwest 25th Street","Bay 9","Doral","Florida","33122","United States","25.7984","-80.3251","05:30:00","22:30:00","21:00:00","13100","Isabella Rivera","isabella.rivera@zylker.com","+13055550107"
"HUB-SH-008","New York Gateway Sorting Hub","Sorting Hub","","true","150 Meadowlands Parkway","Distribution Center 5","Secaucus","New Jersey","07094","United States","40.7895","-74.0565","04:00:00","23:59:00","22:30:00","22500","Liam Sullivan","liam.sullivan@zylker.com","+12015550108"
"HUB-SH-009","Boston New England Sorting Hub","Sorting Hub","","true","85 Industrial Park Road","Warehouse B","Hingham","Massachusetts","02043","United States","42.1973","-70.9265","05:00:00","22:00:00","20:45:00","11900","Emma Walsh","emma.walsh@zylker.com","+16175550109"
"HUB-SH-010","Denver Mountain Sorting Hub","Sorting Hub","","true","4650 Havana Street","Suite 100","Denver","Colorado","80239","United States","39.7817","-104.8663","05:00:00","22:30:00","21:00:00","13700","Lucas Bennett","lucas.bennett@zylker.com","+13035550110"
"HUB-CC-011","Long Beach Collection Center","Collection Center","Los Angeles Metro Sorting Hub","true","2750 Orange Avenue","Unit 8","Long Beach","California","90806","United States","33.8078","-118.1769","07:00:00","20:00:00","18:30:00","4200","Mia Hernandez","mia.hernandez@zylker.com","+15625550111"
