"Pincode","Serviceability","Service_Zone","Beat_Name","Active","Primary_Collection_Center","Secondary_Overflow_Hub","Approx_Distance_From_Primary_Km"
"090806","Serviceable","Los Angeles South","Long Beach Central Beat","true","Long Beach Collection Center","Pasadena Collection Center","3.50"
"090807","Serviceable","Los Angeles South","Signal Hill Beat","true","Long Beach Collection Center","Pasadena Collection Center","6.20"
"090826","ODA","Los Angeles Harbor","Terminal Island Beat","true","Long Beach Collection Center","Pasadena Collection Center","12.80"
"091101","Serviceable","San Gabriel Valley","Pasadena West Beat","true","Pasadena Collection Center","Long Beach Collection Center","2.40"
"091106","Serviceable","San Gabriel Valley","Pasadena Central Beat","true","Pasadena Collection Center","Long Beach Collection Center","1.10"
"094607","Serviceable","East Bay","Oakland Waterfront Beat","true","Oakland Collection Center","San Jose Collection Center","4.60"
"094612","Serviceable","East Bay","Downtown Oakland Beat","true","Oakland Collection Center","San Jose Collection Center","5.30"
"095112","Serviceable","South Bay","North San Jose Beat","true","San Jose Collection Center","Oakland Collection Center","3.90"
"095113","ODA","South Bay","Berryessa Beat","true","San Jose Collection Center","Oakland Collection Center","9.70"
"098421","Serviceable","Puget Sound South","Tacoma Port Beat","true","Tacoma Collection Center","Aurora Collection Center","2.80"
"098422","Serviceable","Puget Sound South","Tacoma Central Beat","true","Tacoma Collection Center","Aurora Collection Center","7.40"
"076111","Serviceable","Fort Worth Metro","North Fort Worth Beat","true","Fort Worth Collection Center","Marietta Collection Center","4.20"
"076107","ODA","Fort Worth Metro","West Fort Worth Beat","true","Fort Worth Collection Center","Marietta Collection Center","11.60"
"053215","Serviceable","Milwaukee Metro","Mitchell Street Beat","true","Milwaukee Collection Center","Naperville Collection Center","2.10"
"053207","Non-Serviceable","Milwaukee Outer","West Allis Remote Beat","false","Milwaukee Collection Center","Naperville Collection Center","18.90"
"060563","Serviceable","Chicago West","Naperville North Beat","true","Naperville Collection Center","Milwaukee Collection Center","3.70"
"030067","Serviceable","Atlanta North","Marietta Gateway Beat","true","Marietta Collection Center","Fort Lauderdale Collection Center","2.90"
"030060","ODA","Atlanta North","Kennesaw Rural Beat","true","Marietta Collection Center","Fort Lauderdale Collection Center","15.40"
"033311","Serviceable","South Florida North","Fort Lauderdale Central Beat","true","Fort Lauderdale Collection Center","Marietta Collection Center","4.80"
"033304","Serviceable","South Florida North","Las Olas Beat","true","Fort Lauderdale Collection Center","Marietta Collection Center","6.10"
"007114","Serviceable","North Jersey","Newark Industrial Beat","true","Newark Collection Center","Brooklyn Collection Center","1.70"
"007102","ODA","North Jersey","Newark North Beat","true","Newark Collection Center","Brooklyn Collection Center","10.20"
"011216","Serviceable","New York City","Brooklyn Atlantic Beat","true","Brooklyn Collection Center","Newark Collection Center","2.30"
"011221","Non-Serviceable","New York City Outer","Brooklyn Remote Beat","false","Brooklyn Collection Center","Newark Collection Center","16.50"
"080011","Serviceable","Denver East","Aurora Industrial Beat","true","Aurora Collection Center","Tacoma Collection Center","3.20"
