"Route_ID","Route_Name","Active","Origin_Sorting_Hub","Destination_Sorting_Hub","Transport_Mode","Distance_Km","Estimated_Transit_Hours","Daily_Capacity_Kg"
"TR-2026-001","Los Angeles to San Francisco Air Express","true","Los Angeles Metro Sorting Hub","San Francisco Bay Sorting Hub","Air","560.00","2.50","7200.00"
"TR-2026-002","Los Angeles to San Francisco Surface Linehaul","true","Los Angeles Metro Sorting Hub","San Francisco Bay Sorting Hub","Surface","615.00","10.50","12500.00"
"TR-2026-003","San Francisco to Los Angeles Surface Linehaul","true","San Francisco Bay Sorting Hub","Los Angeles Metro Sorting Hub","Surface","615.00","10.50","11800.00"
"TR-2026-004","San Francisco to Seattle Air Express","true","San Francisco Bay Sorting Hub","Seattle Northwest Sorting Hub","Air","1095.00","3.25","6400.00"
"TR-2026-005","Seattle to San Francisco Surface Linehaul","true","Seattle Northwest Sorting Hub","San Francisco Bay Sorting Hub","Surface","1300.00","21.00","9800.00"
"TR-2026-006","Los Angeles to Seattle Air Freight","true","Los Angeles Metro Sorting Hub","Seattle Northwest Sorting Hub","Air","1545.00","4.00","6800.00"
"TR-2026-007","Seattle to Los Angeles Surface Linehaul","true","Seattle Northwest Sorting Hub","Los Angeles Metro Sorting Hub","Surface","1835.00","30.00","10500.00"
"TR-2026-008","Dallas to Chicago Air Express","true","Dallas Fort Worth Sorting Hub","Chicago Central Sorting Hub","Air","1290.00","3.50","7500.00"
"TR-2026-009","Dallas to Chicago Surface Linehaul","true","Dallas Fort Worth Sorting Hub","Chicago Central Sorting Hub","Surface","1490.00","23.50","14200.00"
"TR-2026-010","Chicago to Dallas Surface Linehaul","true","Chicago Central Sorting Hub","Dallas Fort Worth Sorting Hub","Surface","1490.00","23.50","14600.00"
"TR-2026-011","Dallas to Denver Surface Linehaul","true","Dallas Fort Worth Sorting Hub","Denver Mountain Sorting Hub","Surface","1275.00","20.00","11200.00"
"TR-2026-012","Denver to Dallas Air Freight","true","Denver Mountain Sorting Hub","Dallas Fort Worth Sorting Hub","Air","1060.00","3.25","5900.00"
"TR-2026-013","Chicago to New York Air Express","true","Chicago Central Sorting Hub","New York Gateway Sorting Hub","Air","1190.00","3.25","8600.00"
"TR-2026-014","Chicago to New York Surface Linehaul","true","Chicago Central Sorting Hub","New York Gateway Sorting Hub","Surface","1270.00","20.50","16800.00"
"TR-2026-015","New York to Chicago Surface Linehaul","true","New York Gateway Sorting Hub","Chicago Central Sorting Hub","Surface","1270.00","20.50","17200.00"
"TR-2026-016","Atlanta to Miami Surface Linehaul","true","Atlanta Southeast Sorting Hub","Miami South Florida Sorting Hub","Surface","1065.00","16.50","12400.00"
"TR-2026-017","Atlanta to Miami Air Express","true","Atlanta Southeast Sorting Hub","Miami South Florida Sorting Hub","Air","960.00","3.00","6200.00"
"TR-2026-018","Miami to Atlanta Surface Linehaul","true","Miami South Florida Sorting Hub","Atlanta Southeast Sorting Hub","Surface","1065.00","16.50","11700.00"
"TR-2026-019","New York to Boston Surface Shuttle","true","New York Gateway Sorting Hub","Boston New England Sorting Hub","Surface","350.00","6.50","13500.00"
"TR-2026-020","New York to Boston Air Express","true","New York Gateway Sorting Hub","Boston New England Sorting Hub","Air","305.00","2.00","5100.00"
"TR-2026-021","Boston to New York Surface Shuttle","true","Boston New England Sorting Hub","New York Gateway Sorting Hub","Surface","350.00","6.50","12800.00"
"TR-2026-022","Denver to Los Angeles Air Freight","true","Denver Mountain Sorting Hub","Los Angeles Metro Sorting Hub","Air","1385.00","3.75","6100.00"
"TR-2026-023","Denver to Los Angeles Surface Linehaul","true","Denver Mountain Sorting Hub","Los Angeles Metro Sorting Hub","Surface","1640.00","25.50","10900.00"
"TR-2026-024","Dallas to Atlanta Air Express","true","Dallas Fort Worth Sorting Hub","Atlanta Southeast Sorting Hub","Air","1160.00","3.25","6700.00"
"TR-2026-025","Atlanta to Dallas Surface Linehaul","true","Atlanta Southeast Sorting Hub","Dallas Fort Worth Sorting Hub","Surface","1260.00","19.50","12100.00"
