"Parent_Purchase_Order","Sales_Order_Product","Supplier_Quote_Product","Product","Product_ID","Product_Name","Product_Category","Product_Type","Product_Description","Manufacturer_Part_Number","Internal_Part_Number","Brand_Make","Model","Approved_Configuration","Unit_of_Measure","Quantity","Supplier_Unit_Price","Supplier_Total_Price","Customer_Unit_Price","Customer_Total_Price","Currency","Remarks"
"1","Dell PowerEdge R760 Rack Server","Dell PowerEdge R760 Rack Server","Dell PowerEdge R760 Rack Server","1","Dell PowerEdge R760 Rack Server","Server","Rack Server","Two-socket enterprise rack server for virtualization and database workloads.","PER760-8SFF","SRV-DELL-001","Dell Technologies","PowerEdge R760","2 x Xeon Gold CPUs; 256 GB RAM; 4 x 1.92 TB SSD; dual 1100 W PSU","Unit","2.00","8240.00","16480.00","9785.00","19570.00","USD","Priority rack servers configured for the retail analytics platform."
"2","HPE ProLiant ML350 Gen11","HPE ProLiant ML350 Gen11","HPE ProLiant ML350 Gen11","2","HPE ProLiant ML350 Gen11","Server","Tower Server","Expandable tower server designed for branch offices and growing businesses.","P53567-B21","SRV-HPE-002","HPE","ProLiant ML350 Gen11","1 x Xeon Silver CPU; 128 GB RAM; 4 x 2.4 TB SAS; redundant 800 W PSU","Unit","3.00","6150.00","18450.00","7425.00","22275.00","USD","Tower servers supplied with registered memory expansion capability."
"3","Lenovo ThinkSystem SN550 V2","Lenovo ThinkSystem SN550 V2","Lenovo ThinkSystem SN550 V2","3","Lenovo ThinkSystem SN550 V2","Server","Blade Server","High-density blade server for scalable private cloud infrastructure.","7Z69A01XEA","SRV-LEN-003","Lenovo","ThinkSystem SN550 V2","2 x Xeon Silver CPUs; 256 GB RAM; RAID 1 boot drives","Unit","4.00","7380.00","29520.00","8890.00","35560.00","EUR","Blade servers include validated boot storage and management compatibility."
"4","Dell Precision 7960 Workstation","Dell Precision 7960 Workstation","Dell Precision 7960 Workstation","4","Dell Precision 7960 Workstation","Other IT Equipment","Workstation","Professional workstation for engineering rendering and data analysis.","PREC7960-CTO","WKS-DELL-004","Dell Technologies","Precision 7960 Tower","Xeon W processor; 128 GB ECC RAM; RTX 5000 GPU; 2 TB NVMe SSD","Unit","2.00","6495.00","12990.00","7795.00","15590.00","USD","Engineering workstations require configuration testing before dispatch."
"5","Cisco Catalyst 8300 Edge Router","Cisco Catalyst 8300 Edge Router","Cisco Catalyst 8300 Edge Router","5","Cisco Catalyst 8300 Edge Router","Networking Equipment","Router","Enterprise edge router for secure SD-WAN and branch connectivity.","C8300-1N1S-6T","NET-CIS-005","Cisco","Catalyst C8300-1N1S-6T","Base chassis; DNA Essentials license; dual AC power supplies","Unit","4.00","5280.00","21120.00","6420.00","25680.00","EUR","Routers include licensing and redundant power for branch deployment."
"6","Aruba CX 6300M Network Switch","Aruba CX 6300M Network Switch","Aruba CX 6300M Network Switch","6","Aruba CX 6300M Network Switch","Networking Equipment","Network Switch","Stackable access switch for campus and enterprise networks.","JL663A","NET-ARU-006","Aruba","CX 6300M 48G","48-port chassis; dual power supplies; advanced feature license","Unit","4.00","7125.00","28500.00","8490.00","33960.00","USD","Switches are configured for resilient logistics network connectivity."
"7","Fortinet FortiGate 200F Firewall","Fortinet FortiGate 200F Firewall","Fortinet FortiGate 200F Firewall","7","Fortinet FortiGate 200F Firewall","Networking Equipment","Firewall","Next-generation firewall appliance for mid-sized enterprise networks.","FG-200F-BDL-950-36","NET-FOR-007","Fortinet","FortiGate 200F","Appliance; three-year unified threat protection subscription; rack kit","Unit","3.00","6840.00","20520.00","8295.00","24885.00","EUR","Firewall appliances include active threat protection subscriptions."
"8","Ubiquiti UniFi U6 Enterprise","Ubiquiti UniFi U6 Enterprise","Ubiquiti UniFi U6 Enterprise","8","Ubiquiti UniFi U6 Enterprise","Networking Equipment","Wireless Access Point","Tri-band indoor wireless access point for high-density office deployments.","U6-ENTERPRISE","NET-UBI-008","Ubiquiti","U6 Enterprise","Access point; mounting kit; PoE+ injector sold separately","Unit","15.00","245.00","3675.00","319.00","4785.00","EUR","Access points include ceiling mounting kits for clinical office coverage."
"9","Cisco Catalyst 9800-L Controller","Cisco Catalyst 9800-L Controller","Cisco Catalyst 9800-L Controller","9","Cisco Catalyst 9800-L Controller","Networking Equipment","Network Controller","Wireless LAN controller for centralized management of enterprise access points.","C9800-L-F-K9","NET-CIS-009","Cisco","Catalyst 9800-L-F","Controller appliance; Network Essentials license; rack mounting kit","Unit","2.00","9850.00","19700.00","11675.00","23350.00","EUR","Controllers support centralized wireless management across three properties."
"10","F5 BIG-IP i2600 Load Balancer","F5 BIG-IP i2600 Load Balancer","F5 BIG-IP i2600 Load Balancer","10","F5 BIG-IP i2600 Load Balancer","Networking Equipment","Load Balancer","Application delivery controller for traffic management and service availability.","F5-BIG-LTM-I2600","NET-F5-010","F5 Networks","BIG-IP i2600","Local Traffic Manager license; dual PSU; one-year support","Unit","2.00","18450.00","36900.00","21900.00","43800.00","EUR","Load balancers include licensing and redundant power supplies."
