"Exception_Number","Shipment","Bag","Manifest","Exception_Type","Severity","Reporting_Hub","Reported_By_Email","Reported_At","Evidence_Photo","Notes","Exception_Status","Assigned_To_Email","Resolution","Resolved_By_Email","Resolved_At"
"1","100000001","1","2","Missing","High","Long Beach Collection Center","natalie.brooks@zylker.com","01-Aug-2026 09:05:14","exception_001_missing.jpg","Shipment was not located during the feeder bag reconciliation scan.","Open","brianna.murphy@zylker.com","","",""
"2","100000002","2","3","Damaged","Medium","Oakland Collection Center","natalie.brooks@zylker.com","03-Aug-2026 10:18:42","exception_002_damage.jpg","Outer carton was crushed along one corner during inbound handling.","Open","jason.watson@zylker.com","","",""
"3","100000003","3","24","Short","High","Dallas Fort Worth Sorting Hub","natalie.brooks@zylker.com","05-Aug-2026 12:22:19","exception_003_short.jpg","Only one of two expected handling units was present at origin sorting.","Open","kevin.richardson@zylker.com","","",""
"4","100000004","4","1","Misroute","Medium","Atlanta Southeast Sorting Hub","natalie.brooks@zylker.com","07-Aug-2026 15:03:28","","Shipment was scanned toward the wrong regional linehaul staging lane.","Open","brandon.perry@zylker.com","","",""
"5","100000005","5","2","Seal Mismatch","Critical","New York Gateway Sorting Hub","eric.gonzalez@zylker.com","09-Aug-2026 17:10:36","exception_005_seal.jpg","Seal code observed at receipt did not match the custody record.","Open","eric.gonzalez@zylker.com","","",""
"6","100000006","6","3","Weight Variance","Medium","San Francisco Bay Sorting Hub","natalie.brooks@zylker.com","11-Aug-2026 08:42:51","exception_006_weight.jpg","Measured shipment weight exceeded the recorded billable weight tolerance.","Open","ryan.coleman@zylker.com","","",""
"7","100000007","7","1","Payment","Low","Long Beach Collection Center","natalie.brooks@zylker.com","13-Aug-2026 11:24:09","","Prepaid payment confirmation was unavailable during shipment release review.","Open","rachel.simmons@zylker.com","","",""
"8","100000008","8","24","COD","Medium","Oakland Collection Center","natalie.brooks@zylker.com","15-Aug-2026 13:37:44","","COD instruction on the package label differed from the booking record.","Open","jason.watson@zylker.com","","",""
"9","100000009","9","4","Other","Low","Newark Collection Center","eric.gonzalez@zylker.com","17-Aug-2026 16:02:13","exception_009_label.jpg","Destination label was partially obscured and required manual verification.","Open","vanessa.ortiz@zylker.com","","",""
"10","100000010","10","4","Missing","Critical","Aurora Collection Center","christina.fisher@zylker.com","19-Aug-2026 09:16:27","exception_010_missing.jpg","Shipment could not be found after the failed delivery return scan.","Open","nathan.bennett@zylker.com","","",""
"11","100000011","11","5","Damaged","High","Dallas Fort Worth Sorting Hub","natalie.brooks@zylker.com","21-Aug-2026 14:05:38","exception_011_damage.jpg","Protective packaging was punctured during linehaul unloading inspection.","Open","kevin.richardson@zylker.com","","",""
"12","100000012","12","6","Short","Critical","Chicago Central Sorting Hub","natalie.brooks@zylker.com","23-Aug-2026 18:04:22","exception_012_short.jpg","Five cartons were received against six cartons listed in the custody record.","Open","nicole.sanders@zylker.com","","",""
"13","100000013","13","7","Misroute","High","San Jose Collection Center","natalie.brooks@zylker.com","24-Aug-2026 10:11:49","exception_013_misroute.jpg","Shipment arrived in the Oakland staging area instead of the San Jose feeder lane.","Open","danielle.kim@zylker.com","","",""
"14","100000014","14","8","Seal Mismatch","Critical","New York Gateway Sorting Hub","eric.gonzalez@zylker.com","25-Aug-2026 12:48:16","exception_014_seal.jpg","Vehicle seal was intact but its code differed from the manifest entry.","Open","eric.gonzalez@zylker.com","","",""
"15","100000015","15","12","Weight Variance","Medium","Oakland Collection Center","natalie.brooks@zylker.com","26-Aug-2026 15:29:53","exception_015_weight.jpg","Destination scale reading was 2.4 kilograms above the dispatch weight.","Open","jason.watson@zylker.com","","",""
"16","100000016","16","12","Payment","High","Long Beach Collection Center","natalie.brooks@zylker.com","27-Aug-2026 09:13:41","","Credit payment reference was not associated with the shipment invoice.","Open","rachel.simmons@zylker.com","","",""
