"Document_Code","Document_Name","Applies_To","Mandatory_By_Default","Active","Conditional_On_Credit_Threshold","Credit_Threshold","Document_Number_Required","Expiry_Date_Required","Accepted_File_Types","Maximum_File_Size_MB","Display_Order"
"KYC-DOC-001","Articles of Incorporation","Corporate","true","true","false","","true","false","pdf","10","1"
"KYC-DOC-002","Employer Identification Number Letter","Corporate","true","true","false","","true","false","pdf,jpg,jpeg","8","2"
"KYC-DOC-003","Business License","Both","true","true","false","","true","true","pdf,jpg,jpeg,png","10","3"
"KYC-DOC-004","Certificate of Good Standing","Corporate","true","true","true","50000.00","true","true","pdf","12","4"
"KYC-DOC-005","Authorized Signer Government ID","Both","true","true","false","","true","true","pdf,jpg,jpeg,png","8","5"
"KYC-DOC-006","Beneficial Ownership Declaration","Corporate","true","true","true","100000.00","false","false","pdf,doc,docx","15","6"
"KYC-DOC-007","W-9 Tax Form","Both","true","true","false","","true","false","pdf","10","7"
"KYC-DOC-008","Sales Tax Permit","Wholesale","true","true","false","","true","true","pdf,jpg,jpeg","10","8"
"KYC-DOC-009","Resale Certificate","Wholesale","true","true","false","","true","true","pdf,jpg,jpeg,png","10","9"
"KYC-DOC-010","Bank Account Verification Letter","Both","true","true","true","75000.00","false","false","pdf,jpg,jpeg","12","10"
"KYC-DOC-011","Voided Business Check","Both","false","true","false","","false","false","pdf,jpg,jpeg,png","8","11"
"KYC-DOC-012","Financial Statements","Corporate","false","true","true","250000.00","false","false","pdf,xls,xlsx","25","12"
"KYC-DOC-013","Business Credit Report","Both","false","true","true","150000.00","true","true","pdf","15","13"
"KYC-DOC-014","Insurance Certificate","Both","true","true","false","","true","true","pdf,jpg,jpeg","12","14"
"KYC-DOC-015","Operating Agreement","Corporate","false","true","false","","false","false","pdf,doc,docx","15","15"
"KYC-DOC-016","Partnership Agreement","Corporate","false","true","false","","false","false","pdf,doc,docx","15","16"
"KYC-DOC-017","Corporate Bylaws","Corporate","false","true","false","","false","false","pdf,doc,docx","15","17"
"KYC-DOC-018","Wholesale Distribution Agreement","Wholesale","true","true","false","","true","true","pdf,doc,docx","20","18"
"KYC-DOC-019","Warehouse Lease Agreement","Wholesale","false","true","true","200000.00","false","true","pdf","20","19"
"KYC-DOC-020","Proof of Business Address","Both","true","true","false","","false","true","pdf,jpg,jpeg,png","10","20"
"KYC-DOC-021","OFAC Compliance Certification","Both","true","true","true","500000.00","false","true","pdf","10","21"
"KYC-DOC-022","Anti-Money Laundering Policy","Corporate","false","true","true","750000.00","false","false","pdf,doc,docx","25","22"
"KYC-DOC-023","Import Export License","Wholesale","false","true","true","300000.00","true","true","pdf,jpg,jpeg","15","23"
"KYC-DOC-024","Board Authorization Resolution","Corporate","false","true","true","1000000.00","false","false","pdf,doc,docx","15","24"
"KYC-DOC-025","Legacy Vendor Reference Letter","Wholesale","false","false","false","","false","false","pdf,jpg,jpeg","8","25"
