"Nav_Options","Page_Name","ids","Tab"
"Dashboard","Executive Dashboard","NAV001","1"
"Dashboard","Sales Dashboard","NAV002","1"
"Dashboard","Procurement Dashboard","NAV003","1"
"Dashboard","Inventory Dashboard","NAV004","1"
"Customers","Customer Directory","NAV005","2"
"Customers","Add Customer","NAV006","2"
"Customers","Customer Activity","NAV007","2"
"Suppliers","Supplier Directory","NAV008","3"
"Suppliers","Add Supplier","NAV009","3"
"Suppliers","Supplier Performance","NAV010","3"
"Products","Product Catalog","NAV011","4"
"Products","Add Product","NAV012","4"
"Products","Product Pricing","NAV013","4"
"Sales","Sales Quotations","NAV014","5"
"Sales","Sales Orders","NAV015","5"
"Sales","Customer Invoices","NAV016","5"
"Procurement","Purchase Requisitions","NAV017","6"
"Procurement","Purchase Orders","NAV018","6"
"Procurement","Goods Receipts","NAV019","6"
"Inventory","Stock Overview","NAV020","7"
"Inventory","Stock Transfers","NAV021","7"
"Inventory","Inventory Adjustments","NAV022","7"
"Administration","Approval Setup","NAV023","8"
"Administration","Email Templates","NAV024","8"
"Administration","Application Preferences","NAV025","8"
