"Invoice_Number","Shipment","Customer","Invoice_Date","Invoice_Status","Freight_Subtotal","Fuel_Surcharge","COD_Fee","GST_Amount","Loyalty_Discount","Credit_Rebate","Invoice_Total","Payment_Terms","Due_Date","Zoho_Books_Invoice_ID","Invoice_WorkDrive_File_ID","Invoice_Download_URL.value","Invoice_Download_URL.url","Invoice_Download_URL.title"
"100001","100000001","100001","01-Aug-2026","Draft","18.50","2.31","0.00","1.72","0.00","0.00","22.53","Prepaid","01-Aug-2026","","","","",""
"100002","100000002","100002","03-Aug-2026","Draft","12.00","1.17","3.50","1.38","5.00","0.00","13.05","Prepaid","03-Aug-2026","","","","",""
"100003","100000003","100004","05-Aug-2026","Draft","42.00","4.52","0.00","3.84","10.00","0.00","40.36","Prepaid","05-Aug-2026","","","","",""
"100004","100000004","100006","07-Aug-2026","Draft","21.00","2.63","4.95","2.36","15.00","0.00","15.94","Prepaid","07-Aug-2026","","","","",""
"100005","100000005","100008","09-Aug-2026","Draft","10.50","0.79","0.00","0.93","0.00","0.00","12.22","Prepaid","09-Aug-2026","","","","",""
"100006","100000006","100009","11-Aug-2026","Draft","42.00","4.52","3.00","4.09","25.00","0.00","28.61","Prepaid","11-Aug-2026","","","","",""
"100007","100000007","100010","13-Aug-2026","Draft","9.50","0.62","0.00","0.83","2.50","0.00","8.45","Prepaid","13-Aug-2026","","","","",""
"100008","100000008","100001","15-Aug-2026","Draft","18.50","2.31","0.00","1.72","6.25","0.00","16.28","Prepaid","15-Aug-2026","","","","",""
"100009","100000009","100009","17-Aug-2026","Draft","42.00","4.52","0.00","3.84","12.50","0.00","37.86","Prepaid","17-Aug-2026","","","","",""
"100010","100000010","100004","19-Aug-2026","Draft","42.00","4.52","3.00","4.09","0.00","0.00","53.61","Prepaid","19-Aug-2026","","","","",""
"100011","100000011","100011","21-Aug-2026","Draft","110.00","15.68","0.00","10.37","50.00","0.00","86.05","Net 30","20-Sep-2026","","","","",""
"100012","100000012","100012","23-Aug-2026","Draft","48.00","5.04","0.00","4.38","75.00","0.00","0.00","Net 30","22-Sep-2026","","","","",""
"100013","100000013","100013","24-Aug-2026","Draft","82.00","8.41","4.00","7.79","40.00","0.00","62.20","Net 15","08-Sep-2026","","","","",""
"100014","100000014","100014","25-Aug-2026","Draft","175.00","16.19","0.00","15.77","125.00","0.00","81.96","Net 30","24-Sep-2026","","","","",""
"100015","100000015","100016","26-Aug-2026","Draft","110.00","15.68","5.00","10.78","60.00","0.00","81.46","Net 30","25-Sep-2026","","","","",""
"100016","100000016","100018","27-Aug-2026","Draft","175.00","16.19","0.00","15.77","150.00","0.00","56.96","Net 30","26-Sep-2026","","","","",""
"100017","100000017","100019","27-Aug-2026","Draft","145.00","19.94","0.00","13.61","175.00","0.00","3.55","Net 30","26-Sep-2026","","","","",""
"100018","100000018","100020","28-Aug-2026","Draft","125.00","10.63","5.50","11.64","200.00","0.00","0.00","Net 30","27-Sep-2026","","","","",""
"100019","100000019","100021","28-Aug-2026","Draft","155.00","14.73","0.00","14.00","125.00","0.00","58.73","Net 15","12-Sep-2026","","","","",""
"100020","100000020","100022","29-Aug-2026","Draft","240.00","17.40","4.00","21.57","250.00","0.00","32.97","Net 30","28-Sep-2026","","","","",""
"100021","100000021","100024","29-Aug-2026","Draft","145.00","19.94","0.00","13.61","225.00","0.00","0.00","Net 30","28-Sep-2026","","","","",""
"100022","100000022","100025","30-Aug-2026","Draft","9.50","0.62","2.50","1.04","10.00","0.00","3.66","Net 30","29-Sep-2026","","","","",""
"100023","100000023","100001","31-Aug-2026","Draft","18.50","2.31","0.00","1.72","3.75","0.00","18.78","Prepaid","31-Aug-2026","","","","",""
"100024","100000024","100018","31-Aug-2026","Draft","175.00","16.19","0.00","15.77","100.00","0.00","106.96","Net 30","30-Sep-2026","","","","",""
"100025","100000025","100025","31-Aug-2026","Draft","9.50","0.62","2.50","1.04","7.50","0.00","6.16","Net 30","30-Sep-2026","","","","",""
