"Supplier","Sales_Order","Selected_Supplier_Quote","Customer","PO_Date","Expected_Delivery_Date","Currency","Dispatch_Location","Supplier_Price","Shipping_Charge","Customs_Duty_Via_Freight","Additional_Margin","Subtotal","Total_Customer_Price","Commercial_Terms","Technical_Specifications","Additional_Remarks","Shared_With_Customer","Shared_With_Customer_Date","Customer_Approval_Date","Customer_Approval_Comments","Delivery_Date","Delivered_By","Delivery_Confirmation","Delivery_Remarks","Purchase_Order_ID","Status","Action_Mode"
"Apex Server Distribution","1","1","Northstar Retail Group","01-Sep-2026","07-Sep-2026","USD","Chicago, United States","16480.00","620.00","410.00","2626.50","17510.00","20136.50","Payment due within 30 days; delivery includes transit insurance.","Two Dell PowerEdge rack servers with redundant storage and configured memory.","Priority order for the retail analytics platform.","true","02-Sep-2026 10:15:00","02-Sep-2026 15:40:00","Approved with the requested server configuration.","07-Sep-2026","Daniel","true","Delivered intact and accepted by the customer.","1","Delivered","Create"
"Maple Tech Wholesale","2","2","Maple Ridge Supplies","02-Sep-2026","09-Sep-2026","USD","Toronto, Canada","12300.00","480.00","295.00","1961.25","13075.00","15036.25","Payment due within 30 days; consolidated dispatch required.","Enterprise SSDs and compatible registered memory modules.","Serial number list must accompany the shipment.","true","03-Sep-2026 11:20:00","03-Sep-2026 16:05:00","Approved subject to consolidated delivery.","09-Sep-2026","Lucas","true","All cartons received and quantities confirmed.","2","Delivered","Create"
"Britannia Network Supplies","3","3","Greenfield Manufacturing","03-Sep-2026","11-Sep-2026","EUR","Birmingham, United Kingdom","14760.00","690.00","520.00","2395.50","15970.00","18365.50","Payment due within 30 days after receipt and inspection.","Secure branch package with enterprise router, firewall, and managed switch.","Firewall allocation was confirmed before order release.","true","04-Sep-2026 09:35:00","05-Sep-2026 12:10:00","Approved after confirmation of firewall availability.","11-Sep-2026","Henry","true","Networking equipment delivered with complete accessories.","3","Delivered","Create"
"Pacific Computing Partners","4","4","Brightwave Technologies","04-Sep-2026","12-Sep-2026","USD","Sydney, Australia","12990.00","760.00","445.00","2129.25","14195.00","16324.25","Fifty percent advance and balance after delivery acceptance.","Engineering workstation with professional RTX graphics and ECC memory.","Configuration image must be validated before dispatch.","true","05-Sep-2026 13:25:00","06-Sep-2026 10:45:00","Workstation specification and price approved.","12-Sep-2026","Matthew","true","Workstation passed customer acceptance testing.","4","Delivered","Create"
"Emerald Office Systems","5","5","Summit Office Solutions","05-Sep-2026","18-Sep-2026","EUR","Dublin, Ireland","5280.00","340.00","185.00","870.75","5805.00","6675.75","Payment due within 45 days; partial shipment requires prior approval.","Wireless access points and switching equipment for an office upgrade.","Backordered equipment may be delivered in a separate consignment.","true","06-Sep-2026 10:10:00","07-Sep-2026 14:30:00","Approved for partial shipment with revised schedule.","18-Sep-2026","Benjamin","true","Final backordered units were received and verified.","5","Delivered","Create"
"Lion City Components","6","6","Blue Harbor Logistics","06-Sep-2026","14-Sep-2026","USD","Singapore","14250.00","395.00","210.00","2228.25","14855.00","17083.25","Payment due within 30 days following warehouse acceptance.","Storage array and rackmount NAS with redundant power components.","Consolidated local delivery requested to reduce handling.","true","07-Sep-2026 09:20:00","08-Sep-2026 11:55:00","Approved for consolidated dispatch.","14-Sep-2026","Harper","true","Received today with seals and packaging intact.","6","Delivered","Create"
"Hexagon Digital Distribution","7","7","Cedar & Stone Interiors","07-Sep-2026","15-Sep-2026","EUR","Lyon, France","13680.00","590.00","380.00","2197.50","14650.00","16847.50","Payment due within 30 days; split delivery is permitted.","Tower server, next-generation firewall, and online UPS.","UPS shipment is tracked separately under the same order.","true","08-Sep-2026 14:15:00","09-Sep-2026 10:40:00","Approved with separate UPS delivery.","15-Sep-2026","Evelyn","true","Server and firewall received; UPS delivery also confirmed.","7","Delivered","Create"
"Rhine Valley Electronics","8","8","Silverline Healthcare","08-Sep-2026","16-Sep-2026","EUR","Frankfurt, Germany","7350.00","510.00","260.00","1218.00","8120.00","9338.00","Payment due within 30 days; equipment must pass quality inspection.","Resilient SAN storage with dual controllers and secure connectivity.","Clinical workload documentation must be included.","true","09-Sep-2026 12:30:00","10-Sep-2026 15:20:00","Approved after technical architecture review.","16-Sep-2026","Grace","true","SAN equipment received and quality inspection completed.","8","Delivered","Create"
"Milano Hardware Group","9","9","Oakwood Hospitality","09-Sep-2026","21-Sep-2026","EUR","Milan, Italy","9850.00","460.00","310.00","1593.00","10620.00","12213.00","Payment due within 45 days; partial deliveries require written notice.","Wireless controller and enterprise access points for three properties.","Factory allocation remains necessary for additional access points.","true","10-Sep-2026 10:05:00","11-Sep-2026 13:45:00","Approved with the extended access point schedule.","","","false","Delivery is scheduled after final access point allocation.","9","Logistics Pending","Create"
"Tulip Infrastructure Supply","10","10","Vertex Engineering","10-Sep-2026","14-Sep-2026","EUR","Rotterdam, Netherlands","18450.00","540.00","295.00","2892.75","19285.00","22177.75","Payment due within 30 days after complete delivery.","Two engineering workstations with RTX graphics and expanded ECC memory.","Customer requested factory configuration validation.","true","11-Sep-2026 09:50:00","12-Sep-2026 11:30:00","Approved without configuration changes.","14-Sep-2026","Matthew","true","Delivered today and accepted after configuration checks.","10","Delivered","Create"
"Iberia Data Solutions","11","11","Sunrise Food Markets","11-Sep-2026","17-Sep-2026","EUR","Madrid, Spain","26800.00","890.00","475.00","4224.75","28165.00","32389.75","Payment due within 30 days; one consolidated shipment is preferred.","Branch routers, managed switches, and UPS units for four market locations.","Each package must be labeled by destination branch.","true","12-Sep-2026 14:20:00","14-Sep-2026 09:10:00","Approved today with branch labeling requirement.","17-Sep-2026","Lucas","true","All branch packages received and recorded.","11","Delivered","Create"
"Nordic Storage Partners","12","12","Evergreen Energy Partners","12-Sep-2026","20-Sep-2026","EUR","Oslo, Norway","6900.00","620.00","350.00","1180.50","7870.00","9050.50","Payment due within 30 days after technical acceptance.","Compute server components and scalable storage for modeling workloads.","Installation documentation and firmware matrix are required.","true","13-Sep-2026 10:35:00","14-Sep-2026 12:25:00","Approved today after technical review.","20-Sep-2026","Henry","true","Products received and technical documentation verified.","12","Delivered","Create"
"Scandia Network Trade","13","13","Urban Peak Apparel","13-Sep-2026","30-Sep-2026","EUR","Stockholm, Sweden","19750.00","680.00","420.00","3127.50","20850.00","23977.50","Payment due within 45 days after complete order fulfillment.","Compact server and NAS solution for inventory and online orders.","Server remains on manufacturer backorder.","false","","","Awaiting customer review of the extended lead time.","","","false","No delivery confirmation; equipment remains backordered.","13","New","Create"
"Alpine Enterprise Supply","14","14","Clearwater Consulting","14-Sep-2026","18-Sep-2026","EUR","Zurich, Switzerland","6500.00","420.00","230.00","1072.50","7150.00","8222.50","Payment due within 30 days; immediate allocation is required.","Secure firewall, managed network switch, and backup appliance.","Equipment must include current firmware and rack accessories.","true","14-Sep-2026 10:20:00","14-Sep-2026 15:45:00","Approved today for immediate fulfillment.","18-Sep-2026","Grace","true","Delivery completed with all rack accessories included.","14","Delivered","Create"
"Southern Cross Technologies","15","15","Redwood Media House","14-Sep-2026","22-Sep-2026","USD","Auckland, New Zealand","9300.00","780.00","510.00","1588.50","10590.00","12178.50","Payment due within 30 days; transit insurance is included.","Graphics workstations and shared high-speed production storage.","Configuration will be completed before international dispatch.","true","14-Sep-2026 11:05:00","14-Sep-2026 16:30:00","Approved today with the proposed configuration.","22-Sep-2026","Daniel","true","Workstations and storage delivered in good condition.","15","Delivered","Create"
"Sakura IT Distribution","16","16","Golden Bridge Imports","14-Sep-2026","24-Sep-2026","USD","Tokyo, Japan","8720.00","640.00","390.00","1462.50","9750.00","11212.50","Payment due within 30 days; staged delivery is acceptable.","Rack servers and managed network equipment for system modernization.","Network equipment availability must be reconfirmed before dispatch.","true","14-Sep-2026 13:40:00","15-Sep-2026 09:25:00","Approved with staged delivery authorization.","24-Sep-2026","Harper","true","Final staged shipment delivered and confirmed.","16","Delivered","Create"
"Han River Components","17","17","Aurora Learning Systems","15-Sep-2026","20-Sep-2026","USD","Seoul, South Korea","4700.00","360.00","175.00","785.25","5235.00","6020.25","Payment due within 30 days after license verification.","Wireless access points, switches, and controller licensing for a campus.","License entitlement records must accompany the equipment.","true","15-Sep-2026 11:15:00","16-Sep-2026 10:35:00","Approved after confirming controller licensing.","20-Sep-2026","Evelyn","true","Campus wireless equipment and licenses were received.","17","Delivered","Create"
"Aztec Computing Supply","18","18","Pioneer Auto Components","16-Sep-2026","30-Sep-2026","USD","Monterrey, Mexico","7720.00","570.00","330.00","1293.00","8620.00","9913.00","Payment due within 45 days; split shipment requires approval.","Enterprise server and storage array for production planning systems.","Storage array remains dependent on incoming inventory.","false","","","Customer review is pending due to partial availability.","","","false","Delivery cannot be confirmed until storage allocation is complete.","18","New","Create"
"Amazonia Business Systems","19","19","Willow Creek Organics","17-Sep-2026","25-Sep-2026","USD","Sao Paulo, Brazil","6900.00","610.00","365.00","1181.25","7875.00","9056.25","Payment due within 30 days; split airway bills are permitted.","Tower server, backup NAS, and UPS for distribution operations.","UPS may arrive separately from the server and NAS.","true","17-Sep-2026 15:10:00","18-Sep-2026 10:20:00","Approved with separate UPS shipment.","25-Sep-2026","Benjamin","true","All equipment received after the separate UPS delivery.","19","Delivered","Create"
"Gulf Enterprise Equipment","20","20","Atlas Construction Services","18-Sep-2026","24-Sep-2026","USD","Dubai, United Arab Emirates","9250.00","430.00","205.00","1482.75","9885.00","11367.75","Payment due within 30 days; regional power accessories are included.","Mobile office routers, firewalls, switches, and power protection.","Customs documents and regional compliance certificates are required.","true","18-Sep-2026 11:40:00","19-Sep-2026 09:55:00","Approved with regional compliance documentation.","24-Sep-2026","Alexander","true","Project office bundle delivered and checked.","20","Delivered","Create"
"Cape Digital Wholesale","21","21","Coral Bay Travel","19-Sep-2026","28-Sep-2026","USD","Cape Town, South Africa","7700.00","590.00","340.00","1294.50","8630.00","9924.50","Payment due within 30 days after complete receipt.","Server and scalable storage equipment for reservation systems.","Additional storage drives may follow in a second consignment.","true","19-Sep-2026 14:25:00","20-Sep-2026 10:10:00","Approved subject to complete drive delivery.","28-Sep-2026","Lucas","true","Server and all allocated drives were delivered.","21","Delivered","Create"
"Bharat Infrastructure Supply","22","22","Ironclad Security Systems","20-Sep-2026","26-Sep-2026","USD","Mumbai, India","10740.00","520.00","280.00","1731.00","11540.00","13271.00","Payment due within 30 days following security inspection.","High-throughput firewalls, network adapters, and managed switches.","Current firmware and active support documentation are mandatory.","true","20-Sep-2026 16:35:00","21-Sep-2026 11:20:00","Approved after security specification review.","26-Sep-2026","Matthew","true","Security equipment delivered with current firmware.","22","Delivered","Create"
"Benelux Technology Traders","23","23","Meadowbrook Pharmaceuticals","22-Sep-2026","30-Sep-2026","EUR","Brussels, Belgium","7950.00","640.00","390.00","1347.00","8980.00","10327.00","Payment due within 45 days after validated equipment acceptance.","Validated servers and redundant SAN storage for laboratory data.","Manufacturer allocation and validation certificates remain pending.","false","","","Customer approval is pending the confirmed fulfillment schedule.","","","false","No delivery confirmation due to manufacturer backorder.","23","New","Create"
"LuxCore Systems Distribution","24","24","NovaPoint Financial Services","25-Sep-2026","29-Sep-2026","EUR","Luxembourg City, Luxembourg","3200.00","280.00","145.00","543.75","3625.00","4168.75","Payment due within 30 days; staged delivery is authorized.","Enterprise server connectivity and application load balancing components.","Staged equipment must include configuration and security documentation.","true","25-Sep-2026 14:35:00","26-Sep-2026 10:50:00","Approved for staged delivery.","29-Sep-2026","Grace","true","Final staged components delivered and accepted.","24","Delivered","Create"
"Danish Power Solutions","25","25","Riverbend Agricultural Co","28-Sep-2026","30-Sep-2026","EUR","Copenhagen, Denmark","11900.00","710.00","430.00","1956.00","13040.00","14996.00","Payment due within 30 days after configuration acceptance.","Branch networking, centralized storage, and UPS protection equipment.","Final configuration review is required before carrier release.","true","28-Sep-2026 12:40:00","29-Sep-2026 09:30:00","Approved following configuration review.","30-Sep-2026","Daniel","true","Equipment delivered after final configuration approval.","25","Delivered","Create"
