"Parent_Supplier_Quote","Sales_Order_Product","Product","Product_ID","Product_Name","Product_Category","Product_Type","Product_Description","Manufacturer_Part_Number","Internal_Part_Number","Brand_Make","Model","Requested_Configuration","Requested_Quantity","Unit_of_Measure","Offered_Configuration","Configuration_Match","Quoted_Quantity","Supplier_Unit_Price","Supplier_Total_Price","Currency","Availability","Lead_Time","Dispatch_Location","Remarks"
"1","Dell PowerEdge R760 Rack Server","Dell PowerEdge R760 Rack Server","1","Dell PowerEdge R760 Rack Server","Server","Rack Server","Two-socket enterprise rack server for virtualization and database workloads.","PER760-8SFF","SRV-DELL-001","Dell Technologies","PowerEdge R760","2 x Xeon Gold CPUs; 256 GB RAM; 4 x 1.92 TB SSD; dual 1100 W PSU","2.00","Unit","2 x Xeon Gold CPUs; 256 GB RAM; 4 x 1.92 TB SSD; dual 1100 W PSU","Exact Match","2.00","8240.00","16480.00","USD","In stock","3 business days","Chicago, United States","Requested rack server configuration is available for immediate allocation."
"2","HPE ProLiant ML350 Gen11","HPE ProLiant ML350 Gen11","2","HPE ProLiant ML350 Gen11","Server","Tower Server","Expandable tower server designed for branch offices and growing businesses.","P53567-B21","SRV-HPE-002","HPE","ProLiant ML350 Gen11","1 x Xeon Silver CPU; 128 GB RAM; 4 x 2.4 TB SAS; redundant 800 W PSU","3.00","Unit","1 x Xeon Silver CPU; 128 GB RAM; 4 x 2.4 TB SAS; redundant 800 W PSU","Exact Match","3.00","6150.00","18450.00","USD","In stock","5 business days","Toronto, Canada","All tower servers can be supplied in one consolidated shipment."
"3","Lenovo ThinkSystem SN550 V2","Lenovo ThinkSystem SN550 V2","3","Lenovo ThinkSystem SN550 V2","Server","Blade Server","High-density blade server for scalable private cloud infrastructure.","7Z69A01XEA","SRV-LEN-003","Lenovo","ThinkSystem SN550 V2","2 x Xeon Silver CPUs; 256 GB RAM; RAID 1 boot drives","4.00","Unit","2 x Xeon Silver CPUs; 256 GB RAM; RAID 1 boot drives","Exact Match","4.00","7380.00","29520.00","EUR","Limited stock","7 business days","Birmingham, United Kingdom","Four blade servers are reserved subject to timely order confirmation."
"4","Dell Precision 7960 Workstation","Dell Precision 7960 Workstation","4","Dell Precision 7960 Workstation","Other IT Equipment","Workstation","Professional workstation for engineering rendering and data analysis.","PREC7960-CTO","WKS-DELL-004","Dell Technologies","Precision 7960 Tower","Xeon W processor; 128 GB ECC RAM; RTX 5000 GPU; 2 TB NVMe SSD","2.00","Unit","Xeon W processor; 128 GB ECC RAM; RTX 5000 GPU; 2 TB NVMe SSD","Exact Match","2.00","6495.00","12990.00","USD","In stock","4 business days","Sydney, Australia","Workstations will undergo configuration validation before dispatch."
"5","Cisco Catalyst 8300 Edge Router","Cisco Catalyst 8300 Edge Router","5","Cisco Catalyst 8300 Edge Router","Networking Equipment","Router","Enterprise edge router for secure SD-WAN and branch connectivity.","C8300-1N1S-6T","NET-CIS-005","Cisco","Catalyst C8300-1N1S-6T","Base chassis; DNA Essentials license; dual AC power supplies","4.00","Unit","Base chassis; DNA Essentials license; single AC power supply","Partial Match","3.00","5280.00","15840.00","EUR","Backorder","15 business days","Dublin, Ireland","Three units can be allocated initially; redundant power upgrades and one unit are backordered."
"6","Aruba CX 6300M Network Switch","Aruba CX 6300M Network Switch","6","Aruba CX 6300M Network Switch","Networking Equipment","Network Switch","Stackable access switch for campus and enterprise networks.","JL663A","NET-ARU-006","Aruba","CX 6300M 48G","48-port chassis; dual power supplies; advanced feature license","4.00","Unit","48-port chassis; dual power supplies; advanced feature license","Exact Match","4.00","7125.00","28500.00","USD","In stock","6 business days","Singapore","All switches include rack kits and the requested advanced feature license."
"7","Fortinet FortiGate 200F Firewall","Fortinet FortiGate 200F Firewall","7","Fortinet FortiGate 200F Firewall","Networking Equipment","Firewall","Next-generation firewall appliance for mid-sized enterprise networks.","FG-200F-BDL-950-36","NET-FOR-007","Fortinet","FortiGate 200F","Appliance; three-year unified threat protection subscription; rack kit","3.00","Unit","Appliance; three-year unified threat protection subscription; rack kit","Exact Match","3.00","6840.00","20520.00","EUR","In stock","5 business days","Lyon, France","Subscriptions will be registered to the customer before shipment."
"8","Ubiquiti UniFi U6 Enterprise","Ubiquiti UniFi U6 Enterprise","8","Ubiquiti UniFi U6 Enterprise","Networking Equipment","Wireless Access Point","Tri-band indoor wireless access point for high-density office deployments.","U6-ENTERPRISE","NET-UBI-008","Ubiquiti","U6 Enterprise","Access point; mounting kit; PoE+ injector sold separately","15.00","Unit","Access point; mounting kit; PoE+ injector sold separately","Exact Match","15.00","245.00","3675.00","EUR","Limited stock","8 business days","Frankfurt, Germany","Fifteen access points are reserved with compatible ceiling mounting kits."
"9","Cisco Catalyst 9800-L Controller","Cisco Catalyst 9800-L Controller","9","Cisco Catalyst 9800-L Controller","Networking Equipment","Network Controller","Wireless LAN controller for centralized management of enterprise access points.","C9800-L-F-K9","NET-CIS-009","Cisco","Catalyst 9800-L-F","Controller appliance; Network Essentials license; rack mounting kit","2.00","Unit","Controller appliance; Network Essentials license; rack mounting kit","Exact Match","1.00","9850.00","9850.00","EUR","Partial availability","12 business days","Milan, Italy","One controller is available now and the second requires factory allocation."
"10","F5 BIG-IP i2600 Load Balancer","F5 BIG-IP i2600 Load Balancer","10","F5 BIG-IP i2600 Load Balancer","Networking Equipment","Load Balancer","Application delivery controller for traffic management and service availability.","F5-BIG-LTM-I2600","NET-F5-010","F5 Networks","BIG-IP i2600","Local Traffic Manager license; dual PSU; one-year support","2.00","Unit","Local Traffic Manager license; dual PSU; one-year support","Exact Match","2.00","18450.00","36900.00","EUR","In stock","5 business days","Rotterdam, Netherlands","Both appliances include active support and Local Traffic Manager licensing."
"11","Dell PowerVault ME5024 Array","Dell PowerVault ME5024 Array","11","Dell PowerVault ME5024 Array","Storage Equipment","Storage Array","Dual-controller storage array for virtualization and general-purpose workloads.","ME5024-24SFF","STO-DELL-011","Dell Technologies","PowerVault ME5024","12 x 3.84 TB SSD; dual FC controllers; rack rails","1.00","Unit","12 x 3.84 TB SSD; dual FC controllers; rack rails","Exact Match","1.00","26800.00","26800.00","EUR","In stock","6 business days","Madrid, Spain","Array will ship fully populated with the requested SSDs and Fibre Channel controllers."
