"Supplier","Sales_Order","Quote_Date","Currency","Availability","Lead_Time","Dispatch_Location","Supplier_Remarks","Supplier_Quote_ID","Status","Action_Mode"
"Apex Server Distribution","1","01-Sep-2026","USD","In stock","3 business days","Chicago, United States","Rack servers are available with the requested memory and storage configuration.","1","Selected","Create"
"Maple Tech Wholesale","2","02-Sep-2026","USD","In stock","5 business days","Toronto, Canada","Enterprise drives and memory modules can be dispatched together.","2","Selected","Create"
"Britannia Network Supplies","3","03-Sep-2026","EUR","Limited stock","7 business days","Birmingham, United Kingdom","Router and switch are available but firewall stock is limited.","3","Received","Create"
"Pacific Computing Partners","4","04-Sep-2026","USD","In stock","4 business days","Sydney, Australia","Workstation can be supplied with the specified professional graphics card.","4","Selected","Create"
"Emerald Office Systems","5","05-Sep-2026","EUR","Backorder","15 business days","Dublin, Ireland","Wireless equipment requires replenishment before the complete order can ship.","5","Rejected","Create"
"Lion City Components","6","06-Sep-2026","USD","In stock","6 business days","Singapore","Storage array and backup NAS are available for consolidated dispatch.","6","Selected","Create"
"Hexagon Digital Distribution","7","07-Sep-2026","EUR","In stock","5 business days","Lyon, France","Tower server and firewall are ready while the UPS will ship separately.","7","Received","Create"
"Rhine Valley Electronics","8","08-Sep-2026","EUR","Limited stock","8 business days","Frankfurt, Germany","SAN storage is reserved for seven days subject to order confirmation.","8","Selected","Create"
"Milano Hardware Group","9","09-Sep-2026","EUR","Partial availability","12 business days","Milan, Italy","Controller is available but additional access points require factory allocation.","9","Rejected","Create"
"Tulip Infrastructure Supply","10","10-Sep-2026","EUR","In stock","5 business days","Rotterdam, Netherlands","Engineering workstation components are available from regional inventory.","10","Selected","Create"
"Iberia Data Solutions","11","11-Sep-2026","EUR","In stock","6 business days","Madrid, Spain","All branch networking equipment can be delivered in one shipment.","11","Received","Create"
"Nordic Storage Partners","12","12-Sep-2026","EUR","In stock","9 business days","Oslo, Norway","Compute and storage equipment includes standard installation documentation.","12","Selected","Create"
"Scandia Network Trade","13","13-Sep-2026","EUR","Backorder","18 business days","Stockholm, Sweden","Compact server is delayed and the quoted lead time is not guaranteed.","13","Rejected","Create"
"Alpine Enterprise Supply","14","14-Sep-2026","EUR","In stock","4 business days","Zurich, Switzerland","Firewall and switching equipment are available for immediate allocation.","14","Received","Create"
"Southern Cross Technologies","15","14-Sep-2026","USD","In stock","7 business days","Auckland, New Zealand","Graphics workstations and shared storage can be configured before dispatch.","15","Selected","Create"
"Sakura IT Distribution","16","14-Sep-2026","USD","Limited stock","10 business days","Tokyo, Japan","Rack servers are available and network equipment is expected within one week.","16","Received","Create"
"Han River Components","17","15-Sep-2026","USD","In stock","5 business days","Seoul, South Korea","Campus wireless products are available with compatible controller licensing.","17","Selected","Create"
"Aztec Computing Supply","18","16-Sep-2026","USD","Partial availability","14 business days","Monterrey, Mexico","Server is ready but storage array delivery depends on incoming inventory.","18","Rejected","Create"
"Amazonia Business Systems","19","17-Sep-2026","USD","In stock","8 business days","Sao Paulo, Brazil","Tower server and NAS can ship together with the UPS following separately.","19","Received","Create"
"Gulf Enterprise Equipment","20","18-Sep-2026","USD","In stock","6 business days","Dubai, United Arab Emirates","Project office networking bundle is available with regional power accessories.","20","Selected","Create"
"Cape Digital Wholesale","21","19-Sep-2026","USD","Limited stock","9 business days","Cape Town, South Africa","Server inventory is available while additional storage drives require allocation.","21","Received","Create"
"Bharat Infrastructure Supply","22","20-Sep-2026","USD","In stock","5 business days","Mumbai, India","Security operations equipment is available with current firmware and support.","22","Selected","Create"
"Benelux Technology Traders","23","22-Sep-2026","EUR","Backorder","20 business days","Brussels, Belgium","Validated SAN equipment has an extended manufacturer fulfillment schedule.","23","Rejected","Create"
"LuxCore Systems Distribution","24","25-Sep-2026","EUR","In stock","7 business days","Luxembourg City, Luxembourg","Enterprise servers and load balancing equipment are available for staged delivery.","24","Selected","Create"
"Danish Power Solutions","25","28-Sep-2026","EUR","In stock","6 business days","Copenhagen, Denmark","Networking and UPS equipment can be dispatched after final configuration review.","25","Received","Create"
