"Manifest","Bag","Manifest_Type","Load_Status","Loaded_At","Received_At","Seal_Verified","Exception_Photo","Exception_Notes"
"1","7","Feeder","Expected","","","false","",""
"2","1","Feeder","Expected","","","false","",""
"3","2","Feeder","Expected","","","false","",""
"24","3","Feeder","Expected","","","false","",""
"1","4","Feeder","Expected","","","false","",""
"2","5","Feeder","Expected","","","false","",""
"3","6","Feeder","Expected","","","false","",""
"24","8","Feeder","Expected","","","false","",""
"4","9","Linehaul","Expected","","","false","",""
"4","10","Linehaul","Expected","","","false","",""
"5","11","Linehaul","Expected","","","false","",""
"6","12","Linehaul","Expected","","","false","",""
"7","13","Linehaul","Expected","","","false","",""
"8","14","Linehaul","Expected","","","false","",""
"12","15","Delivery Feeder","Expected","","","false","",""
"12","16","Delivery Feeder","Expected","","","false","",""
"14","17","Delivery Feeder","Expected","","","false","",""
"15","18","Delivery Feeder","Expected","","","false","",""
"9","19","Delivery Feeder","Expected","","","false","",""
"13","20","Delivery Feeder","Expected","","","false","",""
"11","21","Delivery Feeder","Expected","","","false","",""
"10","22","Delivery Feeder","Expected","","","false","",""
"17","23","Return","Expected","","","false","",""
"19","24","Return","Expected","","","false","",""
"18","25","Return","Expected","","","false","",""
