"Loyalty_Rule_ID","Rule_Name","Customer_Type","Transport_Mode","Minimum_Shipment_Amount","Points_Per_INR","Maximum_Points_Per_Shipment","Points_Expiry_Months","Effective_From","Effective_To","Status"
"LR-2026-001","Retail Air Starter Rewards","Retail","Air","25.00","0.0200","250.00","12","01-Aug-2026","31-Aug-2026","Draft"
"LR-2026-002","Retail Surface Everyday Rewards","Retail","Surface","50.00","0.0150","300.00","12","03-Aug-2026","31-Aug-2026","Draft"
"LR-2026-003","Corporate Air Priority Rewards","Corporate","Air","500.00","0.0300","1500.00","24","05-Aug-2026","31-Aug-2026","Draft"
"LR-2026-004","Corporate Surface Volume Rewards","Corporate","Surface","1000.00","0.0250","2500.00","24","07-Aug-2026","31-Aug-2026","Draft"
"LR-2026-005","Wholesale Air Partner Rewards","Wholesale","Air","2000.00","0.0350","4000.00","18","09-Aug-2026","31-Aug-2026","Draft"
"LR-2026-006","Wholesale Surface Partner Rewards","Wholesale","Surface","1500.00","0.0300","3500.00","18","11-Aug-2026","31-Aug-2026","Draft"
"LR-2026-007","Universal Shipment Base Rewards","All","Any","0.00","0.0050","100.00","6","13-Aug-2026","31-Aug-2026","Draft"
"LR-2026-008","Retail Express Bonus","Retail","Air","100.00","0.0400","500.00","9","15-Aug-2026","31-Aug-2026","Draft"
"LR-2026-009","Retail Ground Saver Bonus","Retail","Surface","75.00","0.0180","350.00","9","17-Aug-2026","31-Aug-2026","Draft"
"LR-2026-010","Corporate Multimode Advantage","Corporate","Any","2500.00","0.0280","5000.00","36","19-Aug-2026","31-Aug-2026","Draft"
"LR-2026-011","Wholesale Multimode Advantage","Wholesale","Any","5000.00","0.0320","7500.00","36","21-Aug-2026","31-Aug-2026","Draft"
"LR-2026-012","All Customer Air Promotion","All","Air","250.00","0.0225","1000.00","12","23-Aug-2026","31-Aug-2026","Draft"
"LR-2026-013","All Customer Surface Promotion","All","Surface","200.00","0.0200","900.00","12","24-Aug-2026","31-Aug-2026","Draft"
"LR-2026-014","Retail High Value Shipment Bonus","Retail","Any","1000.00","0.0500","2000.00","18","25-Aug-2026","31-Aug-2026","Draft"
"LR-2026-015","Corporate High Value Shipment Bonus","Corporate","Any","10000.00","0.0450","10000.00","36","26-Aug-2026","31-Aug-2026","Draft"
"LR-2026-016","Wholesale High Volume Bonus","Wholesale","Surface","15000.00","0.0400","12000.00","36","27-Aug-2026","31-Aug-2026","Draft"
"LR-2026-017","Air Freight Accelerator","All","Air","5000.00","0.0550","15000.00","24","27-Aug-2026","31-Aug-2026","Draft"
"LR-2026-018","Surface Freight Accelerator","All","Surface","7500.00","0.0425","14000.00","24","28-Aug-2026","31-Aug-2026","Draft"
"LR-2026-019","Retail Month End Booster","Retail","Any","150.00","0.0600","750.00","6","28-Aug-2026","31-Aug-2026","Draft"
"LR-2026-020","Corporate Month End Booster","Corporate","Any","3000.00","0.0525","6000.00","12","29-Aug-2026","31-Aug-2026","Draft"
"LR-2026-021","Wholesale Month End Booster","Wholesale","Any","6000.00","0.0500","9000.00","12","29-Aug-2026","31-Aug-2026","Draft"
"LR-2026-022","New Customer Welcome Rewards","All","Any","10.00","0.0250","200.00","6","30-Aug-2026","31-Aug-2026","Draft"
"LR-2026-023","Retail Same Day Launch Rule","Retail","Air","300.00","0.0700","1200.00","6","31-Aug-2026","31-Aug-2026","Draft"
"LR-2026-024","Corporate Same Day Launch Rule","Corporate","Surface","7500.00","0.0600","8000.00","24","31-Aug-2026","31-Aug-2026","Draft"
"LR-2026-025","Wholesale Same Day Launch Rule","Wholesale","Any","20000.00","0.0650","18000.00","24","31-Aug-2026","31-Aug-2026","Draft"
