"Booking_Date","Logistics_Provider","Suppliers","Pickup_Location","Warehouse_Destination","Expected_Arrival_Date","Actual_Arrival_Date","Tracking_Reference","Received_By","Received_Date","Quality_Checked_By","Quality_Check_Date","Quality_Check_Summary","Receiving_Remarks","Logistics_Booking_ID","Status","Action_Mode"
"01-Sep-2026","DHL Global Forwarding","Apex Server Distribution","Chicago, United States","Central Technology Warehouse, New York","04-Sep-2026","04-Sep-2026","DHL-US-26090101","Benjamin","04-Sep-2026 10:20:00","Matthew","04-Sep-2026 14:15:00","Rack servers passed packaging, configuration, and serial number checks.","Two sealed pallets received without visible transit damage.","1","Products Received","Receive"
"02-Sep-2026","FedEx Freight","Maple Tech Wholesale","Toronto, Canada","Eastern Distribution Center, Boston","05-Sep-2026","05-Sep-2026","FDX-CA-26090202","Lucas","05-Sep-2026 11:35:00","Grace","05-Sep-2026 15:10:00","Drive and memory quantities matched the packing list and passed inspection.","All cartons were dry, sealed, and correctly labeled.","2","Products Received","Receive"
"03-Sep-2026","Kuehne+Nagel","Britannia Network Supplies","Birmingham, United Kingdom","European Technology Hub, Amsterdam","07-Sep-2026","07-Sep-2026","KN-UK-26090303","Harper","07-Sep-2026 09:45:00","Evelyn","07-Sep-2026 13:30:00","Router and switch hardware passed visual and accessory verification.","Shipment arrived in three secured cartons with complete documentation.","3","Products Received","Receive"
"04-Sep-2026","DB Schenker","Pacific Computing Partners","Sydney, Australia","Asia Pacific Warehouse, Singapore","08-Sep-2026","08-Sep-2026","DBS-AU-26090404","Henry","08-Sep-2026 12:05:00","Matthew","08-Sep-2026 16:25:00","Workstation chassis, graphics card, and included accessories passed inspection.","Protective packaging remained intact and no handling damage was observed.","4","Products Received","Receive"
"05-Sep-2026","UPS Supply Chain Solutions","Emerald Office Systems","Dublin, Ireland","European Technology Hub, Amsterdam","09-Sep-2026","09-Sep-2026","UPS-IE-26090505","Benjamin","09-Sep-2026 10:40:00","Grace","09-Sep-2026 14:50:00","Available wireless equipment passed model and quantity verification.","Partial shipment received and remaining backordered items were noted.","5","Products Received","Receive"
"06-Sep-2026","Maersk Logistics","Lion City Components","Singapore","Asia Pacific Warehouse, Singapore","10-Sep-2026","10-Sep-2026","MSK-SG-26090606","Lucas","10-Sep-2026 09:15:00","Evelyn","10-Sep-2026 13:05:00","Storage equipment passed enclosure, controller, and accessory checks.","Crates were received securely strapped with matching shipment seals.","6","Products Received","Receive"
"07-Sep-2026","CEVA Logistics","Hexagon Digital Distribution","Lyon, France","European Technology Hub, Amsterdam","11-Sep-2026","11-Sep-2026","CEVA-FR-26090707","Harper","11-Sep-2026 11:25:00","Matthew","11-Sep-2026 15:40:00","Server and firewall passed visual inspection and part number validation.","Main shipment received; separately shipped UPS remains tracked by procurement.","7","Products Received","Receive"
"08-Sep-2026","Dachser Intelligent Logistics","Rhine Valley Electronics","Frankfurt, Germany","European Technology Hub, Amsterdam","12-Sep-2026","12-Sep-2026","DAC-DE-26090808","Henry","12-Sep-2026 10:10:00","Grace","12-Sep-2026 14:35:00","SAN storage passed controller, drive bay, and documentation checks.","Shock indicators were clear and the equipment crate was undamaged.","8","Products Received","Receive"
"09-Sep-2026","DSV Global Transport","Milano Hardware Group","Milan, Italy","European Technology Hub, Amsterdam","13-Sep-2026","13-Sep-2026","DSV-IT-26090909","Benjamin","13-Sep-2026 09:50:00","Evelyn","13-Sep-2026 13:45:00","Controller and available access points passed quantity and model checks.","Partial delivery accepted with outstanding units recorded for follow-up.","9","Products Received","Receive"
"10-Sep-2026","GEODIS","Tulip Infrastructure Supply","Rotterdam, Netherlands","European Technology Hub, Amsterdam","14-Sep-2026","14-Sep-2026","GEO-NL-26091010","Lucas","14-Sep-2026 08:40:00","Matthew","14-Sep-2026 11:20:00","Workstation components passed serial number and physical condition checks.","Shipment arrived on schedule with all packages accounted for.","10","Products Received","Receive"
