"Parent_Return_Request","Purchase_Order_Product","Product","Product_ID","Product_Name","Product_Category","Product_Type","Product_Description","Manufacturer_Part_Number","Internal_Part_Number","Brand_Make","Model","Configuration","Serial_Number","Delivered_Quantity","Unit_of_Measure","Return_Quantity","Defect_Description","Damage_Responsibility","Remarks"
"1","Dell PowerEdge R760 Rack Server","Dell PowerEdge R760 Rack Server","1","Dell PowerEdge R760 Rack Server","Server","Rack Server","Two-socket enterprise rack server for virtualization and database workloads.","PER760-8SFF","SRV-DELL-001","Dell Technologies","PowerEdge R760","2 x Xeon Gold CPUs; 256 GB RAM; 4 x 1.92 TB SSD; dual 1100 W PSU","DLR760-26090101","2.00","Unit","1.00","Rear mounting bracket is bent and prevents secure installation in the rack.","Supplier","Return the affected server for bracket replacement and chassis inspection."
"2","HPE ProLiant ML350 Gen11","HPE ProLiant ML350 Gen11","2","HPE ProLiant ML350 Gen11","Server","Tower Server","Expandable tower server designed for branch offices and growing businesses.","P53567-B21","SRV-HPE-002","HPE","ProLiant ML350 Gen11","1 x Xeon Silver CPU; 128 GB RAM; 4 x 2.4 TB SAS; redundant 800 W PSU","HPEML350-26090202","3.00","Unit","1.00","Two installed storage drives are not detected consistently during startup diagnostics.","Supplier","Unit retained in original packaging after diagnostic testing."
"3","Lenovo ThinkSystem SN550 V2","Lenovo ThinkSystem SN550 V2","3","Lenovo ThinkSystem SN550 V2","Server","Blade Server","High-density blade server for scalable private cloud infrastructure.","7Z69A01XEA","SRV-LEN-003","Lenovo","ThinkSystem SN550 V2","2 x Xeon Silver CPUs; 256 GB RAM; RAID 1 boot drives","LSN550-26090303","4.00","Unit","1.00","Installed mezzanine interface does not support the required network module specified during review.","Company","Return is required because an incompatible configuration was selected internally."
"4","Dell Precision 7960 Workstation","Dell Precision 7960 Workstation","4","Dell Precision 7960 Workstation","Other IT Equipment","Workstation","Professional workstation for engineering rendering and data analysis.","PREC7960-CTO","WKS-DELL-004","Dell Technologies","Precision 7960 Tower","Xeon W processor; 128 GB ECC RAM; RTX 5000 GPU; 2 TB NVMe SSD","DP7960-26090401","2.00","Unit","1.00","Graphics output shows intermittent artifacts during sustained rendering workloads.","Supplier","Hardware test results accompany the workstation return."
"5","Aruba CX 6300M Network Switch","Aruba CX 6300M Network Switch","6","Aruba CX 6300M Network Switch","Networking Equipment","Network Switch","Stackable access switch for campus and enterprise networks.","JL663A","NET-ARU-006","Aruba","CX 6300M 48G","48-port chassis; dual power supplies; advanced feature license","ACX6300-26090602","4.00","Unit","1.00","Front bezel is cracked and one removable power supply latch does not lock securely.","Supplier","Advance replacement requested to prevent disruption to the deployment schedule."
"6","F5 BIG-IP i2600 Load Balancer","F5 BIG-IP i2600 Load Balancer","10","F5 BIG-IP i2600 Load Balancer","Networking Equipment","Load Balancer","Application delivery controller for traffic management and service availability.","F5-BIG-LTM-I2600","NET-F5-010","F5 Networks","BIG-IP i2600","Local Traffic Manager license; dual PSU; one-year support","F5I2600-26091002","2.00","Unit","1.00","Appliance was supplied with a lower memory allocation than the approved configuration baseline.","Supplier","Return for configuration correction and validation before redelivery."
"7","Dell PowerVault ME5024 Array","Dell PowerVault ME5024 Array","11","Dell PowerVault ME5024 Array","Storage Equipment","Storage Array","Dual-controller storage array for virtualization and general-purpose workloads.","ME5024-24SFF","STO-DELL-011","Dell Technologies","PowerVault ME5024","12 x 3.84 TB SSD; dual FC controllers; rack rails","ME5024-26091101","1.00","Unit","1.00","Primary storage controller repeatedly restarts while the array configuration is being initialized.","Supplier","Firmware recovery did not resolve the controller restart cycle."
"8","Synology RackStation RS3621RPxs","Synology RackStation RS3621RPxs","12","Synology RackStation RS3621RPxs","Storage Equipment","NAS","Twelve-bay rackmount NAS for backup and shared business storage.","RS3621RPXS","STO-SYN-012","Synology","RackStation RS3621RPxs","12-bay chassis; 32 GB ECC RAM; rail kit; disks sold separately","SRS3621-26091201","2.00","Unit","1.00","Cache memory module fails the built-in hardware diagnostic after each restart.","Supplier","Supplier authorization requested for replacement of the defective NAS unit."
"9","Seagate Exos X20 20TB Drive","Seagate Exos X20 20TB Drive","14","Seagate Exos X20 20TB Drive","Storage Component","Hard Disk Drive","Enterprise hard disk drive for high-capacity server and storage arrays.","ST20000NM007D","DRV-SEA-014","Seagate","Exos X20","Single enterprise drive with standard sector format","EX20-26091417","20.00","Piece","1.00","Drive has a damaged SATA connector caused by incorrect internal handling during installation.","Company","Return for non-warranty evaluation; internal handling responsibility has been recorded."
"10","Samsung PM9A3 3.84TB SSD","Samsung PM9A3 3.84TB SSD","15","Samsung PM9A3 3.84TB SSD","Storage Component","Solid-State Drive","Enterprise NVMe solid-state drive for read-intensive server workloads.","MZQL23T8HCLS-00A07","DRV-SAM-015","Samsung","PM9A3","Single U.2 NVMe drive with enterprise firmware","PM9A3-26091508","20.00","Piece","2.00","Drives generate repeated thermal warnings and excessive fan activity during normal operation.","Supplier","Return both affected drives for thermal and firmware inspection."
"11","Intel Xeon Gold 6430 Processor","Intel Xeon Gold 6430 Processor","16","Intel Xeon Gold 6430 Processor","Server Component","Processor","Server processor for compute-intensive enterprise applications.","PK8071305121001","CPU-INT-016","Intel","Xeon Gold 6430","Retail processor; compatible heatsink required","XG6430-26091603","4.00","Piece","1.00","Processor fails one memory-channel initialization test on two validated server boards.","Supplier","Diagnostic logs and processor batch details are included with the return."
"12","Fortinet FortiGate 200F Firewall","Fortinet FortiGate 200F Firewall","7","Fortinet FortiGate 200F Firewall","Networking Equipment","Firewall","Next-generation firewall appliance for mid-sized enterprise networks.","FG-200F-BDL-950-36","NET-FOR-007","Fortinet","FortiGate 200F","Appliance; three-year unified threat protection subscription; rack kit","FG200F-26090703","3.00","Unit","1.00","Internal power module casing is cracked despite undamaged external packaging.","Supplier","Handle under electrical equipment safety procedures and replace the appliance."
"13","Ubiquiti UniFi U6 Enterprise","Ubiquiti UniFi U6 Enterprise","8","Ubiquiti UniFi U6 Enterprise","Networking Equipment","Wireless Access Point","Tri-band indoor wireless access point for high-density office deployments.","U6-ENTERPRISE","NET-UBI-008","Ubiquiti","U6 Enterprise","Access point; mounting kit; PoE+ injector sold separately","U6E-26090809","15.00","Unit","1.00","Management interface disconnects intermittently and the access point drops connected clients.","Supplier","Technical support confirmed a probable hardware fault after firmware reset."
"14","Kingston Server Premier 64GB Memory","Kingston Server Premier 64GB Memory","17","Kingston Server Premier 64GB Memory","Server Component","Memory","Registered ECC memory module for compatible enterprise servers.","KSM48R40BD4TMM-64HMR","MEM-KIN-017","Kingston","Server Premier DDR5-4800","Single 64 GB RDIMM module","KSP64-26091705","16.00","Piece","3.00","Three modules were delivered without protective memory trays and show damaged edge contacts.","Supplier","Return incomplete and damaged modules unless immediate replacements are provided."
