"Parent_Logistics_Booking","Purchase_Order","Supplier","Sales_Order","Purchase_Order_Date","Invoice_Paid_Date","Purchase_Order_Amount","Currency","Remarks"
"1","1","Apex Server Distribution","1","01-Sep-2026","04-Sep-2026","16480.00","USD","Rack server purchase order assigned to the Chicago logistics booking; supplier invoice paid after order matching."
"2","2","Maple Tech Wholesale","2","02-Sep-2026","05-Sep-2026","12300.00","USD","Enterprise drives and memory modules consolidated under the Toronto freight booking."
"3","3","Britannia Network Supplies","3","03-Sep-2026","07-Sep-2026","14760.00","EUR","Branch networking equipment linked to the Birmingham shipment and settled electronically."
"4","4","Pacific Computing Partners","4","04-Sep-2026","08-Sep-2026","12990.00","USD","Engineering workstations booked from Sydney with configuration validation completed before dispatch."
"5","5","Emerald Office Systems","5","05-Sep-2026","","5280.00","EUR","Wireless equipment purchase order linked to a partial shipment; invoice remains pending finance review."
"6","6","Lion City Components","6","06-Sep-2026","10-Sep-2026","14250.00","USD","Storage array and NAS were consolidated for local delivery through the Singapore booking."
"7","7","Hexagon Digital Distribution","7","07-Sep-2026","11-Sep-2026","13680.00","EUR","Tower server and firewall shipment linked to the Lyon booking; separately shipped UPS was also tracked."
"8","8","Rhine Valley Electronics","8","08-Sep-2026","12-Sep-2026","7350.00","EUR","SAN storage purchase order assigned to the Frankfurt logistics booking and paid after inspection."
"9","9","Milano Hardware Group","9","09-Sep-2026","","9850.00","EUR","Wireless controller order linked to the Milan partial delivery; remaining access point allocation is pending."
"10","10","Tulip Infrastructure Supply","10","10-Sep-2026","14-Sep-2026","18450.00","EUR","Engineering workstation equipment received through the Rotterdam booking and paid on the current day."
"11","11","Iberia Data Solutions","11","11-Sep-2026","14-Sep-2026","26800.00","EUR","Branch networking packages were assigned to the Madrid booking and settled after three-way matching."
"12","12","Nordic Storage Partners","12","12-Sep-2026","15-Sep-2026","6900.00","EUR","Compute and storage equipment linked to the Oslo booking; invoice paid under early payment terms."
"13","13","Scandia Network Trade","13","13-Sep-2026","","19750.00","EUR","Backordered SAN purchase order linked to the Stockholm booking; finance review and product fulfillment remain pending."
"14","14","Alpine Enterprise Supply","14","14-Sep-2026","14-Sep-2026","6500.00","EUR","Firewall, switching equipment, and backup components were booked from Zurich and paid the same day."
"15","15","Southern Cross Technologies","15","14-Sep-2026","18-Sep-2026","9300.00","USD","Graphics workstations and storage were assigned to the Auckland booking; payment followed warehouse acceptance."
"16","16","Sakura IT Distribution","16","14-Sep-2026","","8720.00","USD","Rack server and network equipment purchase order linked to the Tokyo staged logistics booking."
"17","17","Han River Components","17","15-Sep-2026","19-Sep-2026","4700.00","USD","Campus wireless equipment assigned to the Seoul booking and paid after serial and license verification."
"18","18","Aztec Computing Supply","18","16-Sep-2026","","7720.00","USD","Server and storage order linked to the Monterrey booking; invoice remains on hold pending supplier verification."
"19","19","Amazonia Business Systems","19","17-Sep-2026","","6900.00","USD","Tower server, NAS, and UPS purchase order assigned to the Sao Paulo shipment; finance approval is pending."
"20","20","Gulf Enterprise Equipment","20","18-Sep-2026","22-Sep-2026","9250.00","USD","Mobile office networking equipment linked to the Dubai booking and paid after delivery confirmation."
"21","21","Cape Digital Wholesale","21","19-Sep-2026","","7700.00","USD","Server and storage equipment assigned to the Cape Town booking; invoice awaits quantity validation."
"22","22","Bharat Infrastructure Supply","22","20-Sep-2026","24-Sep-2026","10740.00","USD","Security operations equipment linked to the Mumbai booking and paid after inspection and acceptance."
"23","23","Benelux Technology Traders","23","22-Sep-2026","","7950.00","EUR","Validated SAN equipment purchase order linked to the provisional Brussels booking; payment approval is pending."
"24","24","LuxCore Systems Distribution","24","25-Sep-2026","","3200.00","EUR","Application connectivity components assigned to the Luxembourg staged booking; settlement remains outstanding."
"25","25","Danish Power Solutions","25","28-Sep-2026","","11900.00","EUR","Networking, storage, and UPS equipment linked to the Copenhagen booking and scheduled for month-end review."
