"Requirement_Source","Customer","Lead","Sales_Order_Date","Requested_Delivery_Date","Customer_Requirements","Additional_Remarks","Comparison_Remarks","Sales_Order_ID","Recommended_Supplier","Selected_Supplier_Quote","Status","Action_Mode"
"Customer Request","Northstar Retail Group","Northstar Retail Group","01-Sep-2026","07-Sep-2026","Provide two rack servers with redundant storage and sufficient memory for retail analytics workloads.","Priority deployment requested for the new analytics platform.","Apex offered the best combination of stock availability and configured pricing.","1","Apex Server Distribution","1","Delivered","Create"
"Customer Request","Maple Ridge Supplies","Maple Ridge Supplies","02-Sep-2026","09-Sep-2026","Supply enterprise SSDs and registered memory modules compatible with the existing server fleet.","All components must be delivered in one consolidated shipment.","Maple Tech confirmed compatibility and the shortest consolidated lead time.","2","Maple Tech Wholesale","2","Delivered","Create"
"Customer Request","Greenfield Manufacturing","Greenfield Manufacturing","03-Sep-2026","11-Sep-2026","Deliver a secure branch networking package with a router, firewall, and managed switch.","Current firmware and rack accessories must be included.","Britannia provided the strongest technical fit despite limited firewall inventory.","3","Britannia Network Supplies","3","Delivered","Create"
"Customer Request","Brightwave Technologies","Brightwave Technologies","04-Sep-2026","12-Sep-2026","Configure a professional engineering workstation with ECC memory and high-performance graphics.","Customer requires configuration validation before dispatch.","Pacific Computing supplied the requested graphics configuration within budget.","4","Pacific Computing Partners","4","Delivered","Create"
"R&D Market Need","Summit Office Solutions","Summit Office Solutions","05-Sep-2026","18-Sep-2026","Provide wireless access points and managed switching equipment for an office network modernization.","Partial delivery is acceptable if backordered items are clearly scheduled.","Emerald was retained for regional support although availability was delayed.","5","Emerald Office Systems","5","Delivered","Create"
"Customer Request","Blue Harbor Logistics","Blue Harbor Logistics","06-Sep-2026","14-Sep-2026","Supply a resilient storage array and rackmount NAS for logistics records and document backups.","Consolidated local delivery is preferred to reduce handling risk.","Lion City confirmed immediate stock for both storage platforms.","6","Lion City Components","6","Delivered","Create"
"Customer Request","Cedar & Stone Interiors","Cedar & Stone Interiors","07-Sep-2026","15-Sep-2026","Provide a tower server, next-generation firewall, and online UPS for the new design studio.","Separate UPS delivery is acceptable if tracked under the same order.","Hexagon offered the best technical coverage and regional service terms.","7","Hexagon Digital Distribution","7","Delivered","Create"
"Customer Request","Silverline Healthcare","Silverline Healthcare","08-Sep-2026","16-Sep-2026","Deliver resilient SAN storage with dual controllers for clinical application workloads.","Technical documentation and quality inspection records are mandatory.","Rhine Valley reserved the required SAN configuration within the project schedule.","8","Rhine Valley Electronics","8","Delivered","Create"
"R&D Market Need","Oakwood Hospitality","Oakwood Hospitality","09-Sep-2026","21-Sep-2026","Supply a wireless controller and enterprise access points for three hospitality properties.","Equipment should support centralized monitoring across all locations.","Milano provided a suitable controller but access point allocation remains constrained.","9","Milano Hardware Group","9","Logistics Pending","Create"
"Customer Request","Vertex Engineering","Vertex Engineering","10-Sep-2026","14-Sep-2026","Configure two engineering workstations with professional graphics and expanded ECC memory.","Factory configuration must be tested before shipment.","Tulip offered complete regional inventory and the fastest delivery schedule.","10","Tulip Infrastructure Supply","10","Delivered","Create"
"Customer Request","Sunrise Food Markets","Sunrise Food Markets","11-Sep-2026","17-Sep-2026","Provide routers, managed switches, and UPS units for four market branches.","Packages must be labeled separately for each destination branch.","Iberia could deliver the complete branch bundle in one shipment.","11","Iberia Data Solutions","11","Delivered","Create"
"R&D Market Need","Evergreen Energy Partners","Evergreen Energy Partners","12-Sep-2026","20-Sep-2026","Supply compute server components and scalable storage for renewable energy modeling.","Firmware compatibility documentation is required with delivery.","Nordic Storage provided the strongest scalability and documentation package.","12","Nordic Storage Partners","12","Delivered","Create"
"Customer Request","Urban Peak Apparel","Urban Peak Apparel","13-Sep-2026","30-Sep-2026","Provide a compact server and NAS platform for inventory and online order processing.","Customer can accept an extended schedule if confirmed in writing.","Scandia matched the technical requirement but the server remains backordered.","13","Scandia Network Trade","13","New","Create"
"Customer Request","Clearwater Consulting","Clearwater Consulting","14-Sep-2026","18-Sep-2026","Supply a secure firewall, managed switch, and backup appliance for the consulting office.","All devices must include current firmware and rack accessories.","Alpine confirmed immediate allocation and comprehensive regional support.","14","Alpine Enterprise Supply","14","Delivered","Create"
"Customer Request","Redwood Media House","Redwood Media House","14-Sep-2026","22-Sep-2026","Provide graphics workstations and shared high-speed storage for media production.","Systems must be configured and tested before international dispatch.","Southern Cross offered the preferred workstation configuration and insured shipping.","15","Southern Cross Technologies","15","Delivered","Create"
"R&D Market Need","Golden Bridge Imports","Golden Bridge Imports","14-Sep-2026","24-Sep-2026","Supply rack servers and managed networking equipment for system modernization.","Staged delivery is permitted if all shipment dates are confirmed.","Sakura offered suitable server stock with acceptable staged network delivery.","16","Sakura IT Distribution","16","Delivered","Create"
"Customer Request","Aurora Learning Systems","Aurora Learning Systems","15-Sep-2026","20-Sep-2026","Provide wireless access points, switches, and controller licensing for a digital campus.","License entitlement records must accompany all hardware.","Han River confirmed compatible licensing and complete regional inventory.","17","Han River Components","17","Delivered","Create"
