"DRS_Number","Hub","Assigned_Agent","Run_Date","Delivery_Zone","Vehicle","DRS_Status","Planned_Stop_Count","Delivered_Count","Failed_Count","Expected_COD_Amount","Collected_COD_Amount","Released_At","Completed_At","Supervisor_Notes"
"1","Pasadena Collection Center","Tyler","31-Aug-2026","Pasadena Central","","Draft","0","0","0","0.00","0.00","","","Morning route draft awaiting shipment allocation."
"2","Oakland Collection Center","Jason","31-Aug-2026","Oakland Waterfront","","Released","0","0","0","0.00","0.00","31-Aug-2026 06:15:00","","Released for early East Bay delivery planning."
"3","San Jose Collection Center","Danielle","31-Aug-2026","North San Jose","","In Progress","0","0","0","0.00","0.00","31-Aug-2026 06:25:00","","Agent checked in and route monitoring has started."
"4","Fort Worth Collection Center","Justin","31-Aug-2026","North Fort Worth","","Completed","0","0","0","0.00","0.00","31-Aug-2026 06:10:00","31-Aug-2026 10:45:00","Administrative test run completed without assigned stops."
"5","Fort Lauderdale Collection Center","Cameron","31-Aug-2026","Fort Lauderdale Central","","Draft","0","0","0","0.00","0.00","","","Afternoon route draft pending final shipment scans."
"6","Newark Collection Center","Vanessa","31-Aug-2026","Newark Industrial","","Released","0","0","0","0.00","0.00","31-Aug-2026 07:05:00","","Released for industrial district delivery coverage."
"7","Brooklyn Collection Center","Rebecca","31-Aug-2026","Brooklyn Atlantic","","In Progress","0","0","0","0.00","0.00","31-Aug-2026 07:20:00","","Local bicycle route activated for Atlantic Avenue."
"8","Pasadena Collection Center","Tyler","31-Aug-2026","Pasadena West","","Cancelled","0","0","0","0.00","0.00","","","Cancelled after consolidation with the central route."
"9","Oakland Collection Center","Jason","31-Aug-2026","Downtown Oakland","","Draft","0","0","0","0.00","0.00","","","Draft reserved for late-arriving downtown consignments."
"10","San Jose Collection Center","Danielle","31-Aug-2026","Berryessa","","Released","0","0","0","0.00","0.00","31-Aug-2026 08:00:00","","Released for the Berryessa outer delivery area."
"11","Fort Worth Collection Center","Justin","31-Aug-2026","West Fort Worth","","In Progress","0","0","0","0.00","0.00","31-Aug-2026 08:15:00","","West Fort Worth route opened for operational tracking."
"12","Fort Lauderdale Collection Center","Cameron","31-Aug-2026","Las Olas","","Completed","0","0","0","0.00","0.00","31-Aug-2026 07:45:00","31-Aug-2026 12:30:00","Route closed after confirming no eligible stops remained."
"13","Newark Collection Center","Vanessa","31-Aug-2026","Newark North","","Draft","0","0","0","0.00","0.00","","","Contingency route draft for the northern service area."
"14","Brooklyn Collection Center","Rebecca","31-Aug-2026","Brooklyn Remote","","Cancelled","0","0","0","0.00","0.00","","","Cancelled because the remote beat had no serviceable stops."
"15","Pasadena Collection Center","Tyler","31-Aug-2026","Old Pasadena","","Released","0","0","0","0.00","0.00","31-Aug-2026 09:10:00","","Released as a standby route for same-day assignments."
"16","Oakland Collection Center","Jason","31-Aug-2026","Jack London Square","","In Progress","0","0","0","0.00","0.00","31-Aug-2026 09:25:00","","Agent available near the waterfront for priority deliveries."
"17","San Jose Collection Center","Danielle","31-Aug-2026","Downtown San Jose","","Draft","0","0","0","0.00","0.00","","","Draft created for potential same-day business deliveries."
"18","Fort Worth Collection Center","Justin","31-Aug-2026","Fort Worth Central","","Released","0","0","0","0.00","0.00","31-Aug-2026 10:05:00","","Central business district route released for standby coverage."
"19","Fort Lauderdale Collection Center","Cameron","31-Aug-2026","South Florida North","","In Progress","0","0","0","0.00","0.00","31-Aug-2026 10:20:00","","Agent is monitoring the queue for local delivery assignments."
"20","Newark Collection Center","Vanessa","31-Aug-2026","Doremus Avenue","","Completed","0","0","0","0.00","0.00","31-Aug-2026 09:50:00","31-Aug-2026 14:15:00","Standby industrial route completed with no allocated stops."
"21","Brooklyn Collection Center","Rebecca","31-Aug-2026","Atlantic Avenue","","Draft","0","0","0","0.00","0.00","","","Evening delivery draft awaiting supervisor release."
"22","Pasadena Collection Center","Tyler","31-Aug-2026","San Gabriel Valley","","Cancelled","0","0","0","0.00","0.00","","","Cancelled due to duplicate geographic coverage."
"23","Oakland Collection Center","Jason","31-Aug-2026","East Bay Central","","Released","0","0","0","0.00","0.00","31-Aug-2026 15:10:00","","Late shift route released for end-of-month demand."
"24","Newark Collection Center","Vanessa","31-Aug-2026","North Jersey Central","","In Progress","0","0","0","0.00","0.00","31-Aug-2026 16:05:00","","Evening standby route is active for urgent deliveries."
"25","Brooklyn Collection Center","Rebecca","31-Aug-2026","Brooklyn Central","","Completed","0","0","0","0.00","0.00","31-Aug-2026 16:20:00","31-Aug-2026 18:45:00","End-of-month standby run closed without assigned shipments."
