"Configuration_Name","Active","KYC_Expiry_Alert_Days","Notification_Retry_Limit","High_Credit_KYC_Threshold","Maximum_NDR_Attempts","COD_Payout_Cycle","Points_Expiry_Months","Default_Volumetric_Divisor","Loyalty_Redemption_Value_Per_Point"
"US Operations Policy - Active","true","30","3","50000.00","3","T+2","12","5000","0.25"
"Standard Domestic Policy v1","false","45","4","75000.00","4","Weekly","18","5000","0.20"
"Standard Domestic Policy v2","false","60","5","100000.00","5","T+2","24","5000","0.25"
"Enterprise Shipping Policy","false","30","5","250000.00","4","Weekly","24","6000","0.30"
"Small Business Policy","false","15","3","30000.00","3","T+2","12","5000","0.20"
"Marketplace Seller Policy","false","30","4","125000.00","5","Weekly","18","5000","0.25"
"High Volume Merchant Policy","false","45","6","500000.00","6","T+2","36","6000","0.35"
"Regional Carrier Policy","false","30","3","80000.00","4","Weekly","12","5000","0.20"
"Holiday Peak Policy","false","15","5","150000.00","6","T+2","18","5500","0.30"
"New Merchant Policy","false","10","3","25000.00","3","Weekly","6","5000","0.15"
"Premium Merchant Policy","false","60","5","300000.00","5","T+2","36","6000","0.40"
"COD Risk Control Policy","false","20","4","100000.00","6","Weekly","12","5000","0.25"
"Loyalty Standard Policy","false","30","3","50000.00","3","T+2","24","5000","0.50"
"Loyalty Premium Policy","false","45","4","200000.00","4","Weekly","36","5000","0.75"
"East Coast Operations Policy","false","30","3","90000.00","4","T+2","18","5000","0.25"
"West Coast Operations Policy","false","30","3","90000.00","4","Weekly","18","5000","0.25"
"Central Region Operations Policy","false","35","4","110000.00","5","T+2","24","5500","0.30"
"Alaska and Hawaii Policy","false","45","5","150000.00","6","Weekly","24","6000","0.35"
"Express Delivery Policy","false","20","4","175000.00","3","T+2","18","5000","0.30"
"Economy Delivery Policy","false","60","3","40000.00","5","Weekly","12","5000","0.20"
"Returns Management Policy","false","30","5","85000.00","7","T+2","18","5500","0.25"
"Fraud Prevention Policy","false","14","6","20000.00","5","Weekly","12","5000","0.20"
"Corporate Account Policy","false","90","4","750000.00","4","T+2","48","6000","0.50"
"Seasonal Seller Policy","false","21","3","60000.00","5","Weekly","9","5000","0.20"
"Pilot Program Policy","false","7","2","15000.00","2","T+2","6","4500","0.10"
