"Supplier","Purchase_Order","Sales_Order","Supplier_Invoice_Number","Invoice_Date","Currency","Invoice_Amount","Paid_Date","Payment_Reference","Payment_Remarks","Supplier_Invoice_ID","Status","Action_Mode"
"Apex Server Distribution","1","1","ASD-INV-260901","01-Sep-2026","USD","16480.00","04-Sep-2026","PAY-SEP-0001","Paid by bank transfer after purchase order matching.","1","Paid","Create"
"Maple Tech Wholesale","2","2","MTW-INV-260902","02-Sep-2026","USD","12300.00","05-Sep-2026","PAY-SEP-0002","Payment completed within the agreed supplier terms.","2","Paid","Create"
"Britannia Network Supplies","3","3","BNS-INV-260903","03-Sep-2026","EUR","14760.00","07-Sep-2026","PAY-SEP-0003","Invoice approved and settled through electronic transfer.","3","Paid","Create"
"Pacific Computing Partners","4","4","PCP-INV-260904","04-Sep-2026","USD","12990.00","08-Sep-2026","PAY-SEP-0004","Payment released after receiving the workstation equipment.","4","Paid","Create"
"Emerald Office Systems","5","5","EOS-INV-260905","05-Sep-2026","EUR","5280.00","","","Invoice is awaiting finance review and payment authorization.","5","New","Create"
"Lion City Components","6","6","LCC-INV-260906","06-Sep-2026","USD","14250.00","10-Sep-2026","PAY-SEP-0006","Supplier payment processed against the approved purchase order.","6","Paid","Create"
"Hexagon Digital Distribution","7","7","HDD-INV-260907","07-Sep-2026","EUR","13680.00","11-Sep-2026","PAY-SEP-0007","Payment completed after invoice and delivery verification.","7","Paid","Create"
"Rhine Valley Electronics","8","8","RVE-INV-260908","08-Sep-2026","EUR","7350.00","12-Sep-2026","PAY-SEP-0008","Paid in full using the supplier banking instructions.","8","Paid","Create"
"Milano Hardware Group","9","9","MHG-INV-260909","09-Sep-2026","EUR","9850.00","","","Invoice received and pending confirmation of delivered quantities.","9","New","Create"
"Tulip Infrastructure Supply","10","10","TIS-INV-260910","10-Sep-2026","EUR","18450.00","14-Sep-2026","PAY-SEP-0010","Settlement completed following final procurement approval.","10","Paid","Create"
"Iberia Data Solutions","11","11","IDS-INV-260911","11-Sep-2026","EUR","26800.00","14-Sep-2026","PAY-SEP-0011","Payment posted after successful three-way invoice matching.","11","Paid","Create"
"Nordic Storage Partners","12","12","NSP-INV-260912","12-Sep-2026","EUR","6900.00","15-Sep-2026","PAY-SEP-0012","Invoice paid according to the negotiated early payment terms.","12","Paid","Create"
"Scandia Network Trade","13","13","SNT-INV-260913","13-Sep-2026","EUR","19750.00","","","Finance team is reviewing the invoice documentation.","13","New","Create"
"Alpine Enterprise Supply","14","14","AES-INV-260914","14-Sep-2026","EUR","6500.00","14-Sep-2026","PAY-SEP-0014","Same-day payment completed for the approved drive shipment.","14","Paid","Create"
"Southern Cross Technologies","15","15","SCT-INV-260914","14-Sep-2026","USD","9300.00","18-Sep-2026","PAY-SEP-0015","Payment released after warehouse acceptance was recorded.","15","Paid","Create"
"Sakura IT Distribution","16","16","SID-INV-260914","14-Sep-2026","USD","8720.00","","","New invoice awaiting the scheduled payment processing cycle.","16","New","Create"
"Han River Components","17","17","HRC-INV-260915","15-Sep-2026","USD","4700.00","19-Sep-2026","PAY-SEP-0017","Paid after confirming memory module serial numbers and quantities.","17","Paid","Create"
"Aztec Computing Supply","18","18","ACS-INV-260916","16-Sep-2026","USD","7720.00","","","Invoice placed on hold pending supplier account verification.","18","New","Create"
"Amazonia Business Systems","19","19","ABS-INV-260917","17-Sep-2026","USD","6900.00","","","Invoice entered and awaiting approval from the finance manager.","19","New","Create"
"Gulf Enterprise Equipment","20","20","GEE-INV-260918","18-Sep-2026","USD","9250.00","22-Sep-2026","PAY-SEP-0020","Payment completed after RAID controller delivery confirmation.","20","Paid","Create"
"Cape Digital Wholesale","21","21","CDW-INV-260919","19-Sep-2026","USD","7700.00","","","Invoice is pending validation of network adapter quantities.","21","New","Create"
"Bharat Infrastructure Supply","22","22","BIS-INV-260920","20-Sep-2026","USD","10740.00","24-Sep-2026","PAY-SEP-0022","Payment remitted after graphics card inspection and acceptance.","22","Paid","Create"
"Benelux Technology Traders","23","23","BTT-INV-260922","22-Sep-2026","EUR","7950.00","","","Invoice requires procurement review before payment approval.","23","New","Create"
"LuxCore Systems Distribution","24","24","LSD-INV-260925","25-Sep-2026","EUR","3200.00","","","Invoice recorded for optical modules and awaiting settlement.","24","New","Create"
"Danish Power Solutions","25","25","DPS-INV-260928","28-Sep-2026","EUR","11900.00","","","Invoice received for UPS units and scheduled for month-end review.","25","New","Create"
