"Parent_Sales_Order","Product","Product_ID","Product_Name","Product_Category","Product_Type","Product_Description","Manufacturer_Part_Number","Internal_Part_Number","Brand_Make","Model","Unit_of_Measure","Configuration","Technical_Requirements","Quantity","Required_Availability","Required_Lead_Time","Recommended_Supplier","Selected_Supplier_Quote","Remarks"
"1","Dell PowerEdge R760 Rack Server","1","Dell PowerEdge R760 Rack Server","Server","Rack Server","Two-socket enterprise rack server for virtualization and database workloads.","PER760-8SFF","SRV-DELL-001","Dell Technologies","PowerEdge R760","Unit","2 x Xeon Gold CPUs; 256 GB RAM; 4 x 1.92 TB SSD; dual 1100 W PSU","Redundant storage and power supplies; rack rails; virtualization-ready firmware.","2.00","In stock","3 business days","Apex Server Distribution","1","Priority servers for the retail analytics platform."
"2","HPE ProLiant ML350 Gen11","2","HPE ProLiant ML350 Gen11","Server","Tower Server","Expandable tower server designed for branch offices and growing businesses.","P53567-B21","SRV-HPE-002","HPE","ProLiant ML350 Gen11","Unit","1 x Xeon Silver CPU; 128 GB RAM; 4 x 2.4 TB SAS; redundant 800 W PSU","Must support registered memory expansion and hot-plug enterprise storage.","3.00","In stock","5 business days","Maple Tech Wholesale","2","Tower servers for the infrastructure refresh project."
"3","Lenovo ThinkSystem SN550 V2","3","Lenovo ThinkSystem SN550 V2","Server","Blade Server","High-density blade server for scalable private cloud infrastructure.","7Z69A01XEA","SRV-LEN-003","Lenovo","ThinkSystem SN550 V2","Unit","2 x Xeon Silver CPUs; 256 GB RAM; RAID 1 boot drives","Compatible blade chassis, redundant networking, and centralized XClarity management required.","4.00","Limited stock","7 business days","Britannia Network Supplies","3","High-density compute nodes for manufacturing application workloads."
"4","Dell Precision 7960 Workstation","4","Dell Precision 7960 Workstation","Other IT Equipment","Workstation","Professional workstation for engineering rendering and data analysis.","PREC7960-CTO","WKS-DELL-004","Dell Technologies","Precision 7960 Tower","Unit","Xeon W processor; 128 GB ECC RAM; RTX 5000 GPU; 2 TB NVMe SSD","Professional graphics certification, ECC memory, and engineering software compatibility required.","2.00","In stock","4 business days","Pacific Computing Partners","4","Workstations require configuration validation before dispatch."
"5","Cisco Catalyst 8300 Edge Router","5","Cisco Catalyst 8300 Edge Router","Networking Equipment","Router","Enterprise edge router for secure SD-WAN and branch connectivity.","C8300-1N1S-6T","NET-CIS-005","Cisco","Catalyst C8300-1N1S-6T","Unit","Base chassis; DNA Essentials license; dual AC power supplies","Secure SD-WAN capability, encrypted throughput, and centralized branch management required.","4.00","Backorder","15 business days","Emerald Office Systems","5","Routers requested for the office network modernization project."
"6","Aruba CX 6300M Network Switch","6","Aruba CX 6300M Network Switch","Networking Equipment","Network Switch","Stackable access switch for campus and enterprise networks.","JL663A","NET-ARU-006","Aruba","CX 6300M 48G","Unit","48-port chassis; dual power supplies; advanced feature license","Layer 3 routing, redundant power, high-speed uplinks, and switch stacking required.","4.00","In stock","6 business days","Lion City Components","6","Switches will provide resilient connectivity for logistics systems."
"7","Fortinet FortiGate 200F Firewall","7","Fortinet FortiGate 200F Firewall","Networking Equipment","Firewall","Next-generation firewall appliance for mid-sized enterprise networks.","FG-200F-BDL-950-36","NET-FOR-007","Fortinet","FortiGate 200F","Unit","Appliance; three-year unified threat protection subscription; rack kit","Threat protection subscription, secure VPN access, rack installation, and current firmware required.","3.00","In stock","5 business days","Hexagon Digital Distribution","7","Security appliances for the new design studio network."
"8","Ubiquiti UniFi U6 Enterprise","8","Ubiquiti UniFi U6 Enterprise","Networking Equipment","Wireless Access Point","Tri-band indoor wireless access point for high-density office deployments.","U6-ENTERPRISE","NET-UBI-008","Ubiquiti","U6 Enterprise","Unit","Access point; mounting kit; PoE+ injector sold separately","Wi-Fi 6E, secure enterprise authentication, ceiling mounts, and PoE+ compatibility required.","15.00","Limited stock","8 business days","Rhine Valley Electronics","8","Access points intended for secure clinical office coverage."
"9","Cisco Catalyst 9800-L Controller","9","Cisco Catalyst 9800-L Controller","Networking Equipment","Network Controller","Wireless LAN controller for centralized management of enterprise access points.","C9800-L-F-K9","NET-CIS-009","Cisco","Catalyst 9800-L-F","Unit","Controller appliance; Network Essentials license; rack mounting kit","Must centrally manage access points across three properties and support redundant power.","2.00","Partial availability","12 business days","Milano Hardware Group","9","Controllers support centralized hospitality wireless management."
"10","F5 BIG-IP i2600 Load Balancer","10","F5 BIG-IP i2600 Load Balancer","Networking Equipment","Load Balancer","Application delivery controller for traffic management and service availability.","F5-BIG-LTM-I2600","NET-F5-010","F5 Networks","BIG-IP i2600","Unit","Local Traffic Manager license; dual PSU; one-year support","SSL offload, application health monitoring, high availability, and redundant power required.","2.00","In stock","5 business days","Tulip Infrastructure Supply","10","Load balancers will provide resilient application delivery."
