"Email_For","Select_Template","Title","Template_Subject","Template_1","Active","plain","plain1"
"Supplier","Supplier Welcome Email","Supplier Welcome Email","Welcome to the Zylker supplier network","<p>Welcome to Zylker. Your supplier profile has been created successfully.</p>","true","Sent after a supplier is approved.","Supplier onboarding communication"
"Supplier","Supplier Approval Request","Supplier Approval Request","Supplier registration requires approval","<p>A new supplier registration is ready for your review and approval.</p>","true","Notifies the assigned supplier approver.","Supplier approval workflow"
"Supplier","Supplier Approved Notice","Supplier Approved Notice","Your supplier account has been approved","<p>Your Zylker supplier account is approved and ready for transactions.</p>","true","Sent when supplier approval is completed.","Supplier status notification"
"Supplier","Supplier Rejection Notice","Supplier Rejection Notice","Update regarding your supplier application","<p>Your supplier application was not approved. Contact procurement for details.</p>","true","Sent when a supplier application is rejected.","Supplier status notification"
"Supplier","Purchase Order Dispatch","Purchase Order Dispatch","New purchase order from Zylker","<p>A new purchase order has been issued. Please review the order details.</p>","true","Includes purchase order instructions.","Procurement communication"
"Supplier","Goods Receipt Confirmation","Goods Receipt Confirmation","Goods receipt confirmation","<p>The delivered goods have been received and recorded by our warehouse.</p>","true","Confirms receipt of supplier goods.","Warehouse communication"
"Supplier","Supplier Payment Advice","Supplier Payment Advice","Supplier payment advice","<p>Your payment has been processed. Please review the remittance details.</p>","true","Sent after supplier payment processing.","Finance communication"
"Customer","Customer Welcome Email","Customer Welcome Email","Welcome to Zylker","<p>Welcome to Zylker. Your customer account is now active.</p>","true","Sent after customer account activation.","Customer onboarding communication"
"Customer","Quotation Email","Quotation Email","Your requested sales quotation","<p>Your quotation is ready. Please review the products and pricing provided.</p>","true","Used to deliver customer quotations.","Sales communication"
"Customer","Sales Order Confirmation","Sales Order Confirmation","Your Zylker sales order is confirmed","<p>Your sales order has been confirmed and is being prepared for fulfillment.</p>","true","Confirms an accepted customer order.","Order communication"
"Customer","Shipment Dispatch Notice","Shipment Dispatch Notice","Your order has been dispatched","<p>Your order has left our warehouse and is on its way to you.</p>","true","Sent when a shipment is dispatched.","Logistics communication"
"Customer","Delivery Confirmation","Delivery Confirmation","Your order has been delivered","<p>Our records show that your order was delivered successfully.</p>","true","Confirms delivery completion.","Logistics communication"
"Customer","Invoice Email","Invoice Email","Your Zylker invoice is available","<p>Your invoice has been generated and is available for payment.</p>","true","Delivers a customer invoice notice.","Finance communication"
"Customer","Payment Receipt","Payment Receipt","Payment received successfully","<p>Thank you. Your payment has been received and applied to your account.</p>","true","Acknowledges a customer payment.","Finance communication"
"Customer","Payment Reminder","Payment Reminder","Reminder regarding your outstanding invoice","<p>This is a friendly reminder that an invoice on your account remains outstanding.</p>","true","Sent before an invoice becomes overdue.","Accounts receivable communication"
"Customer","Overdue Invoice Notice","Overdue Invoice Notice","Action required for overdue invoice","<p>Your invoice is overdue. Please arrange payment or contact our finance team.</p>","true","Sent for overdue customer balances.","Accounts receivable communication"
"Customer","Credit Limit Approval","Credit Limit Approval","Customer credit limit approved","<p>Your requested account credit limit has been approved.</p>","false","Optional credit approval message.","Customer account communication"
"Inventory","Low Stock Alert","Low Stock Alert","Inventory has reached the reorder level","<p>A product has reached its reorder threshold and requires replenishment.</p>","true","Notifies inventory and procurement teams.","Inventory alert"
"Inventory","Out of Stock Alert","Out of Stock Alert","Product is out of stock","<p>A product currently has no available inventory. Immediate action is recommended.</p>","true","Notifies warehouse and sales teams.","Inventory alert"
"Inventory","Stock Transfer Notice","Stock Transfer Notice","Warehouse stock transfer initiated","<p>A stock transfer has been initiated between warehouse locations.</p>","true","Sent when inventory is transferred.","Warehouse workflow"
"Product","Product Approval Request","Product Approval Request","New product requires approval","<p>A newly created product record is waiting for review and approval.</p>","true","Notifies the product approver.","Product workflow"
"Product","Product Price Review","Product Price Review","Product price change requires review","<p>A product selling price has been changed and requires finance review.</p>","true","Used for controlled price changes.","Pricing workflow"
"Support","Service Request Confirmation","Service Request Confirmation","Your service request has been received","<p>Your service request was received and assigned to our support team.</p>","true","Acknowledges a new support request.","Support communication"
"Support","Warranty Expiry Reminder","Warranty Expiry Reminder","Product warranty expires soon","<p>The warranty for a registered product will expire soon. Contact support for options.</p>","false","Optional warranty reminder template.","Warranty communication"
"System","Password Reset Email","Password Reset Email","Reset your Zylker application password","<p>A password reset was requested for your account. Follow the secure reset instructions.</p>","true","System-generated security communication.","Account security notification"
