"Parent_Supplier_Invoice","Purchase_Order_Product","Product","Product_ID","Product_Name","Manufacturer_Part_Number","Brand_Make","Model","Configuration","Unit_of_Measure","Quantity","Unit_Price","Total_Price","Currency","Remarks"
"1","Dell PowerEdge R760 Rack Server","Dell PowerEdge R760 Rack Server","1","Dell PowerEdge R760 Rack Server","PER760-8SFF","Dell Technologies","PowerEdge R760","2 x Xeon Gold CPUs; 256 GB RAM; 4 x 1.92 TB SSD; dual 1100 W PSU","Unit","2.00","8240.00","16480.00","USD","Two configured rack servers matched to supplier invoice ASD-INV-260901."
"2","HPE ProLiant ML350 Gen11","HPE ProLiant ML350 Gen11","2","HPE ProLiant ML350 Gen11","P53567-B21","HPE","ProLiant ML350 Gen11","1 x Xeon Silver CPU; 128 GB RAM; 4 x 2.4 TB SAS; redundant 800 W PSU","Unit","2.00","6150.00","12300.00","USD","Partial invoice covering two tower servers from the approved purchase order."
"3","Lenovo ThinkSystem SN550 V2","Lenovo ThinkSystem SN550 V2","3","Lenovo ThinkSystem SN550 V2","7Z69A01XEA","Lenovo","ThinkSystem SN550 V2","2 x Xeon Silver CPUs; 256 GB RAM; RAID 1 boot drives","Unit","2.00","7380.00","14760.00","EUR","Two blade servers billed with the validated compute configuration."
"4","Dell Precision 7960 Workstation","Dell Precision 7960 Workstation","4","Dell Precision 7960 Workstation","PREC7960-CTO","Dell Technologies","Precision 7960 Tower","Xeon W processor; 128 GB ECC RAM; RTX 5000 GPU; 2 TB NVMe SSD","Unit","2.00","6495.00","12990.00","USD","Two engineering workstations invoiced after configuration verification."
"5","Cisco Catalyst 8300 Edge Router","Cisco Catalyst 8300 Edge Router","5","Cisco Catalyst 8300 Edge Router","C8300-1N1S-6T","Cisco","Catalyst C8300-1N1S-6T","Base chassis; DNA Essentials license; dual AC power supplies","Unit","1.00","5280.00","5280.00","EUR","Invoice covers one available router while remaining units are backordered."
"6","Aruba CX 6300M Network Switch","Aruba CX 6300M Network Switch","6","Aruba CX 6300M Network Switch","JL663A","Aruba","CX 6300M 48G","48-port chassis; dual power supplies; advanced feature license","Unit","2.00","7125.00","14250.00","USD","Two managed switches billed with dual power supplies and licensing."
"7","Fortinet FortiGate 200F Firewall","Fortinet FortiGate 200F Firewall","7","Fortinet FortiGate 200F Firewall","FG-200F-BDL-950-36","Fortinet","FortiGate 200F","Appliance; three-year unified threat protection subscription; rack kit","Unit","2.00","6840.00","13680.00","EUR","Two firewall appliances invoiced with three-year protection subscriptions."
"8","Ubiquiti UniFi U6 Enterprise","Ubiquiti UniFi U6 Enterprise","8","Ubiquiti UniFi U6 Enterprise","U6-ENTERPRISE","Ubiquiti","U6 Enterprise","Access point; mounting kit; PoE+ injector sold separately","Unit","30.00","245.00","7350.00","EUR","Thirty wireless access points billed with standard mounting kits."
"9","Cisco Catalyst 9800-L Controller","Cisco Catalyst 9800-L Controller","9","Cisco Catalyst 9800-L Controller","C9800-L-F-K9","Cisco","Catalyst 9800-L-F","Controller appliance; Network Essentials license; rack mounting kit","Unit","1.00","9850.00","9850.00","EUR","Invoice covers the first controller; the second unit remains pending allocation."
"10","F5 BIG-IP i2600 Load Balancer","F5 BIG-IP i2600 Load Balancer","10","F5 BIG-IP i2600 Load Balancer","F5-BIG-LTM-I2600","F5 Networks","BIG-IP i2600","Local Traffic Manager license; dual PSU; one-year support","Unit","1.00","18450.00","18450.00","EUR","One application delivery controller billed with licensing and support."
"11","Dell PowerVault ME5024 Array","Dell PowerVault ME5024 Array","11","Dell PowerVault ME5024 Array","ME5024-24SFF","Dell Technologies","PowerVault ME5024","12 x 3.84 TB SSD; dual FC controllers; rack rails","Unit","1.00","26800.00","26800.00","EUR","Storage array invoice includes installed SSDs, dual controllers, and rails."
"12","Synology RackStation RS3621RPxs","Synology RackStation RS3621RPxs","12","Synology RackStation RS3621RPxs","RS3621RPXS","Synology","RackStation RS3621RPxs","12-bay chassis; 32 GB ECC RAM; rail kit; disks sold separately","Unit","2.00","3450.00","6900.00","EUR","Two rackmount NAS units billed with ECC memory and rail kits."
"13","HPE MSA 2062 SAN Storage","HPE MSA 2062 SAN Storage","13","HPE MSA 2062 SAN Storage","R0Q80B","HPE","MSA 2062","Dual FC controllers; 2 x 1.92 TB SSD; rail kit; management software","Unit","1.00","19750.00","19750.00","EUR","Invoice records one SAN unit pending final fulfillment documentation."
